pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 691.0, 2835,-33.3,-37.1,-33.8, 69, 95, 0.23, 70, 2.6
 679.0, 2959,-33.9,-34.9,-31.7, 91,126, 0.29, 74, 2.7
 677.0, 2979,-33.1,-34.2,-31.1, 90,124, 0.31, 74, 2.8
 675.0, 3000,-29.1,-29.5,-26.7, 96,128, 0.49, 75, 2.8
 658.0, 3184,-27.3,-34.3,-31.1, 51, 67, 0.32, 81, 3.0
 630.0, 3499,-27.5,-36.5,-33.2, 42, 55, 0.27, 90, 3.5
 616.0, 3661,-27.5,-37.5,-34.2, 38, 50, 0.25, 95, 3.7
 534.0, 4683,-32.9,-34.9,-31.7, 82,113, 0.37,126, 5.0
 529.0, 4750,-31.7,-39.7,-36.2, 45, 61, 0.23,128, 5.1
 523.0, 4831,-31.3,-35.8,-32.6, 64, 88, 0.35,131, 5.2
 506.0, 5066,-32.5,-35.4,-32.2, 75,103, 0.37,138, 5.6
 501.0, 5136,-32.8,-36.2,-33.0, 72, 99, 0.35,140, 5.7
 500.0, 5150,-32.9,-36.4,-33.1, 71, 98, 0.34,140, 5.7
 490.0, 5291,-33.7,-38.6,-35.2, 61, 85, 0.28,138, 5.9
 439.0, 6050,-38.5,-40.9,-37.4, 78,113, 0.24,128, 6.9
 404.0, 6613,-42.8,-46.3,-42.5, 69,104, 0.15,120, 7.7
 400.0, 6680,-43.3,-46.9,-43.1, 67,103, 0.14,120, 8.2
 334.0, 7871,-51.7,-56.2,-52.1, 58, 96, 0.06,123,13.1
 300.0, 8560,-55.9,-60.0,-55.8, 60,102, 0.04,125,16.0
 297.0, 8624,-56.3,-60.8,-56.6, 57, 97, 0.04,125,16.5
 293.0, 8710,-56.9,-61.9,-57.6, 53, 91, 0.03,126,16.3
 282.0, 8953,-58.3,-61.1,-56.9, 70,121, 0.04,130,16.0
 265.0, 9344,-60.1,-63.7,-59.4, 63,110, 0.03,135,15.4
 262.0, 9415,-60.1,-63.4,-59.1, 65,114, 0.03,131,14.3
 258.0, 9512,-59.6,-69.1,-64.8, 28, 49, 0.01,125,12.9
 257.0, 9536,-59.5,-70.5,-66.2, 23, 39, 0.01,126,12.6
 250.0, 9710,-58.9,-72.9,-68.6, 15, 26, 0.01,135,10.3
 246.0, 9812,-58.1,-74.1,-69.8, 11, 19, 0.01,136,10.1
 217.0,10612,-52.9,-80.9,-76.7,  2,  3, 0.00,148, 8.3
 200.0,11140,-52.1,-82.1,-77.9,  2,  3, 0.00,155, 7.2
 199.0,11173,-52.0,-82.1,-77.9,  2,  2, 0.00,160, 7.2
 193.0,11373,-51.5,-82.2,-78.1,  1,  2, 0.00,145, 7.2
 189.0,11510,-51.2,-82.3,-78.2,  1,  2, 0.00,155, 7.7
 168.0,12279,-49.2,-82.8,-78.7,  1,  2, 0.00,145, 5.2
 165.0,12397,-48.9,-82.9,-78.7,  1,  1, 0.00,165, 5.2
 162.0,12517,-48.6,-83.0,-78.8,  1,  1, 0.00,170, 4.1
 158.0,12680,-48.2,-83.1,-78.9,  1,  1, 0.00,175, 5.7
 150.0,13020,-47.3,-83.3,-79.1,  1,  1, 0.00,170, 8.8
 149.0,13065,-47.2,-83.3,-79.1,  1,  1, 0.00,165, 8.8
 145.0,13246,-46.8,-83.2,-79.0,  1,  1, 0.00,145, 8.8
 136.0,13675,-46.0,-83.0,-78.8,  1,  1, 0.00,140, 5.2
 133.0,13824,-45.7,-82.9,-78.8,  1,  1, 0.00,160, 5.2
 131.0,13925,-45.5,-82.9,-78.7,  1,  1, 0.00,140, 5.2
 127.0,14132,-45.1,-82.8,-78.6,  1,  1, 0.00,170, 5.7
 122.0,14400,-44.5,-82.7,-78.5,  1,  1, 0.00,160, 5.2
 118.0,14623,-44.1,-82.6,-78.4,  1,  1, 0.00,200, 6.2
 110.0,15092,-43.1,-82.3,-78.2,  1,  1, 0.00,175,10.8
 102.0,15596,-42.1,-82.1,-77.9,  1,  1, 0.00,125, 7.7
 100.0,15730,-42.3,-82.3,-78.1,  0,  1, 0.00,130, 7.2
  96.0,16007,-42.0,-82.2,-78.0,  0,  1, 0.00,155, 5.7
  92.0,16296,-41.8,-82.0,-77.8,  0,  1, 0.01,135,11.3
  88.0,16597,-41.5,-81.9,-77.7,  0,  1, 0.01,155, 9.3
  83.0,16994,-41.2,-81.7,-77.5,  0,  1, 0.01,120, 6.7
  82.0,17076,-41.1,-81.6,-77.4,  0,  1, 0.01,125, 5.2
  80.0,17244,-40.9,-81.5,-77.4,  0,  1, 0.01,165, 5.2
  76.0,17592,-40.6,-81.4,-77.2,  0,  1, 0.01,145, 9.8
  74.0,17773,-40.4,-81.3,-77.1,  0,  1, 0.01,160, 9.8
  72.0,17959,-40.3,-81.2,-77.0,  0,  1, 0.01,140,10.8
  70.0,18150,-40.1,-81.1,-76.9,  0,  1, 0.01,140, 9.3
  65.0,18659,-39.6,-80.8,-76.6,  0,  1, 0.01,145,10.3
  63.0,18873,-39.3,-80.7,-76.4,  0,  1, 0.01,125,10.8
  59.0,19324,-38.9,-80.4,-76.2,  0,  1, 0.01,125, 8.8
  55.0,19806,-38.4,-80.1,-75.9,  0,  1, 0.01,145, 9.3
  52.0,20191,-38.0,-79.9,-75.6,  0,  1, 0.01,140, 7.7
  51.0,20324,-37.8,-79.8,-75.6,  0,  1, 0.01,165, 9.3
  50.0,20460,-37.7,-79.7,-75.5,  0,  1, 0.01,165,10.8
  49.0,20600,-37.6,-79.6,-75.4,  0,  1, 0.01,150,12.9
  48.0,20744,-37.4,-79.5,-75.3,  0,  1, 0.02,135,12.4
  43.0,21508,-36.8,-79.1,-74.8,  0,  1, 0.02,140, 7.2
  41.0,21839,-36.5,-78.8,-74.6,  0,  1, 0.02,125, 6.2
  40.0,22011,-36.3,-78.7,-74.5,  0,  1, 0.02,135, 5.2
  39.0,22187,-36.1,-78.6,-74.4,  0,  1, 0.02,160, 6.7
  37.0,22553,-35.8,-78.4,-74.2,  0,  1, 0.02,120, 6.7
  36.0,22743,-35.6,-78.3,-74.0,  0,  1, 0.02,140, 7.2
  35.0,22939,-35.5,-78.2,-73.9,  0,  1, 0.03,135, 9.3
  34.0,23140,-35.3,-78.0,-73.8,  0,  1, 0.03, 85, 5.2
  33.0,23348,-35.1,-77.9,-73.7,  0,  1, 0.03, 95, 2.1
  32.0,23561,-34.9,-77.8,-73.5,  0,  1, 0.03,150, 5.2
  30.0,24010,-34.5,-77.5,-73.2,  0,  1, 0.03,150, 4.6
  29.0,24247,-34.3,-77.4,-73.1,  0,  1, 0.03,165, 6.7
  27.0,24748,-34.0,-77.2,-73.0,  0,  1, 0.04,120, 7.7
  26.0,25012,-33.8,-77.1,-72.9,  0,  1, 0.04,105, 5.2
  24.0,25573,-33.4,-76.9,-72.7,  0,  1, 0.05,170, 5.2
  22.0,26182,-33.0,-76.7,-72.5,  0,  1, 0.05,115, 6.7
  20.0,26850,-32.5,-76.5,-72.2,  0,  1, 0.06,190, 3.6
  19.0,27211,-32.9,-76.9,-72.6,  0,  1, 0.06,170, 3.6
