Date(YYYYMMDD_HHMMSS),PWV(um)
20240101_000000,1590.000
20240101_120000,1650.000
20240102_120000,1430.000
20240103_000000,1460.000
20240103_120000,1320.000
20240104_000000,1300.000
20240104_120000,1250.000
20240105_000000,730.000
20240105_120000,640.000
20240106_000000,780.000
20240106_120000,710.000
20240107_000000,790.000
20240107_120000,720.000
20240108_000000,790.000
20240108_120000,780.000
20240109_000000,570.000
20240109_120000,900.000
20240110_000000,1170.000
20240110_120000,1010.000
20240111_000000,940.000
20240112_000000,760.000
20240112_120000,840.000
20240113_000000,760.000
20240113_120000,800.000
20240114_000000,800.000
20240114_120000,840.000
20240115_120000,620.000
20240116_000000,520.000
20240116_120000,500.000
20240117_000000,680.000
20240117_120000,560.000
20240118_120000,760.000
20240119_000000,830.000
20240119_120000,880.000
20240120_000000,970.000
20240120_120000,1070.000
20240121_000000,1130.000
20240121_120000,970.000
20240122_000000,950.000
20240122_120000,810.000
20240123_000000,630.000
20240123_120000,870.000
20240124_000000,760.000
20240124_120000,810.000
20240125_000000,780.000
20240125_120000,760.000
20240126_000000,740.000
20240126_120000,730.000
20240127_000000,630.000
20240127_120000,680.000
20240128_000000,900.000
20240128_120000,880.000
20240129_000000,820.000
20240129_120000,730.000
20240130_000000,880.000
20240130_120000,980.000
20240131_000000,1010.000
20240131_120000,970.000
20240201_000000,790.000
20240201_120000,830.000
20240202_000000,1060.000
20240202_120000,1240.000
20240203_000000,1180.000
20240203_120000,1000.000
20240204_000000,840.000
20240204_120000,830.000
20240205_000000,600.000
20240205_120000,690.000
20240206_120000,790.000
20240207_000000,1110.000
20240207_120000,1130.000
20240208_000000,1040.000
20240208_120000,1130.000
20240209_000000,1140.000
20240209_120000,890.000
20240210_000000,750.000
20240210_120000,960.000
20240211_000000,890.000
20240211_120000,810.000
20240212_000000,760.000
20240213_000000,740.000
20240213_120000,470.000
20240214_000000,500.000
20240214_120000,550.000
20240215_000000,620.000
20240216_000000,890.000
20240216_120000,850.000
20240217_000000,730.000
20240217_120000,650.000
20240218_000000,490.000
20240218_120000,430.000
20240219_000000,550.000
20240219_120000,720.000
20240220_000000,740.000
20240220_120000,2460.000
20240221_000000,690.000
