pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 684.0, 2835,-28.1,-31.8,-28.8, 71, 93, 0.39,315, 3.6
 683.0, 2846,-26.7,-29.1,-26.3, 80,104, 0.51,325, 2.6
 666.0, 3027,-26.7,-28.5,-25.7, 85,110, 0.55,314, 3.5
 639.0, 3323,-27.9,-29.4,-26.6, 87,115, 0.53,295, 5.2
 578.0, 4039,-30.8,-31.5,-28.5, 94,127, 0.48,305,10.3
 561.0, 4252,-31.7,-32.1,-29.1, 96,131, 0.46,298, 8.8
 555.0, 4327,-31.9,-32.4,-29.4, 95,130, 0.46,295, 8.2
 529.0, 4666,-32.7,-33.7,-30.5, 91,125, 0.42,315, 6.2
 528.0, 4679,-32.7,-33.7,-30.6, 91,125, 0.42,315, 6.2
 500.0, 5060,-35.3,-37.7,-34.3, 79,111, 0.30,315, 6.7
 459.0, 5650,-39.1,-43.1,-39.5, 65, 96, 0.18,320, 7.2
 455.0, 5710,-39.5,-43.7,-40.0, 64, 94, 0.18,319, 7.1
 439.0, 5954,-41.3,-42.6,-39.0, 87,130, 0.20,316, 6.5
 434.0, 6032,-41.9,-49.9,-46.0, 41, 62, 0.09,315, 6.4
 416.0, 6317,-43.3,-53.3,-49.2, 32, 49, 0.06,310, 5.7
 414.0, 6350,-43.5,-51.0,-47.0, 43, 66, 0.09,310, 5.7
 412.0, 6382,-43.7,-48.7,-44.8, 58, 88, 0.11,306, 5.8
 404.0, 6513,-44.5,-50.8,-46.9, 49, 76, 0.09,290, 6.2
 400.0, 6580,-44.9,-51.9,-47.9, 45, 70, 0.08,290, 6.2
 392.0, 6714,-45.7,-53.8,-49.7, 40, 62, 0.06,295, 6.2
 385.0, 6834,-46.5,-55.5,-51.4, 35, 55, 0.05,292, 6.2
 375.0, 7008,-47.5,-51.0,-47.0, 67,106, 0.09,289, 6.3
 370.0, 7097,-48.1,-54.1,-50.0, 50, 79, 0.07,287, 6.4
 359.0, 7295,-49.7,-52.4,-48.4, 73,118, 0.08,282, 6.5
 342.0, 7610,-51.7,-54.1,-50.0, 76,124, 0.07,275, 6.7
 329.0, 7861,-53.3,-55.4,-51.3, 78,129, 0.06,278, 6.8
 300.0, 8450,-56.5,-60.6,-56.4, 60,102, 0.04,285, 7.2
 297.0, 8514,-56.7,-60.8,-56.6, 60,102, 0.04,285, 7.7
 289.0, 8688,-56.3,-66.3,-62.0, 27, 46, 0.02,287, 7.0
 279.0, 8914,-56.0,-65.2,-60.9, 30, 52, 0.02,290, 6.2
 276.0, 8983,-55.9,-64.9,-60.6, 31, 53, 0.02,287, 5.9
 269.0, 9148,-54.9,-72.9,-68.6,  9, 15, 0.01,280, 5.1
 251.0, 9594,-53.6,-73.5,-69.2,  7, 12, 0.01,260, 3.1
 250.0, 9620,-53.5,-73.5,-69.2,  7, 12, 0.01,260, 3.1
 230.0,10161,-51.8,-76.3,-72.0,  4,  6, 0.01,235, 5.2
 204.0,10940,-49.3,-80.3,-76.1,  1,  2, 0.00,239, 3.8
 200.0,11070,-49.5,-80.5,-76.3,  1,  2, 0.00,240, 3.6
 199.0,11103,-49.5,-80.5,-76.3,  1,  2, 0.00,242, 4.1
 197.0,11169,-49.5,-80.6,-76.4,  1,  2, 0.00,245, 5.2
 190.0,11407,-49.4,-80.9,-76.7,  1,  2, 0.00,215, 6.7
 182.0,11690,-49.3,-81.3,-77.1,  1,  2, 0.00,230, 7.2
 175.0,11947,-49.2,-81.6,-77.4,  1,  2, 0.00,190, 6.2
 171.0,12099,-49.2,-81.8,-77.6,  1,  2, 0.00,210, 7.2
 150.0,12960,-48.9,-82.9,-78.7,  1,  1, 0.00,220, 7.7
 143.0,13273,-48.6,-83.2,-79.0,  1,  1, 0.00,225, 9.8
 132.0,13799,-48.2,-83.6,-79.5,  1,  1, 0.00,210,12.9
 131.0,13848,-48.1,-83.7,-79.5,  1,  1, 0.00,205,11.3
 126.0,14104,-47.9,-83.9,-79.8,  1,  1, 0.00,209,11.2
 115.0,14711,-45.9,-83.5,-79.4,  1,  1, 0.00,220,10.8
 109.0,15067,-44.8,-83.3,-79.1,  1,  1, 0.00,205,10.8
 105.0,15316,-44.0,-83.1,-79.0,  1,  1, 0.00,225,10.8
 100.0,15640,-42.9,-82.9,-78.7,  0,  1, 0.00,210, 9.8
  92.0,16206,-42.2,-82.5,-78.3,  0,  1, 0.00,225,10.3
  87.0,16585,-41.8,-82.2,-78.0,  0,  1, 0.01,205,11.3
  83.0,16904,-41.4,-82.0,-77.8,  0,  1, 0.01,225, 9.8
  74.0,17683,-40.5,-81.4,-77.2,  0,  1, 0.01,185, 9.3
  70.0,18060,-40.1,-81.1,-76.9,  0,  1, 0.01,210, 7.7
  69.0,18159,-40.0,-81.0,-76.8,  0,  1, 0.01,215, 8.8
  65.0,18569,-39.4,-80.7,-76.4,  0,  1, 0.01,205, 9.8
  62.0,18893,-39.0,-80.4,-76.2,  0,  1, 0.01,210,10.3
  59.0,19234,-38.6,-80.1,-75.9,  0,  1, 0.01,190,10.8
  57.0,19470,-38.3,-79.9,-75.7,  0,  1, 0.01,210, 9.3
  56.0,19592,-38.1,-79.8,-75.5,  0,  1, 0.01,190, 9.3
  54.0,19842,-37.8,-79.6,-75.3,  0,  1, 0.01,210, 9.8
  52.0,20101,-37.4,-79.3,-75.1,  0,  1, 0.01,190,10.3
  51.0,20234,-37.3,-79.2,-75.0,  0,  1, 0.01,205, 8.2
  50.0,20370,-37.1,-79.1,-74.9,  0,  1, 0.02,200, 9.3
  47.0,20801,-36.7,-78.9,-74.7,  0,  1, 0.02,175,10.3
  45.0,21104,-36.4,-78.8,-74.6,  0,  1, 0.02,190,10.8
  40.0,21925,-35.6,-78.5,-74.2,  0,  1, 0.02,165, 6.2
  39.0,22102,-35.4,-78.4,-74.2,  0,  1, 0.02,195, 6.7
  34.0,23058,-34.5,-78.0,-73.8,  0,  1, 0.03,165, 8.8
  32.0,23480,-34.1,-77.9,-73.6,  0,  1, 0.03,185, 7.7
  30.0,23930,-33.7,-77.7,-73.4,  0,  1, 0.03,170, 9.3
  29.0,24170,-33.4,-77.5,-73.2,  0,  1, 0.03,175, 7.2
  28.0,24418,-33.1,-77.3,-73.0,  0,  1, 0.04,200, 9.8
  27.0,24676,-32.8,-77.0,-72.8,  0,  1, 0.04,160, 7.2
  26.0,24943,-32.4,-76.8,-72.5,  0,  1, 0.04,200, 6.2
  25.0,25221,-32.1,-76.5,-72.3,  0,  1, 0.05,175, 7.2
  24.0,25509,-31.7,-76.3,-72.0,  0,  1, 0.05,200, 6.7
  23.0,25811,-31.3,-76.0,-71.7,  0,  1, 0.05,190, 8.2
  22.0,26125,-30.9,-75.7,-71.4,  0,  1, 0.06,205, 8.8
  20.0,26800,-30.1,-75.1,-70.8,  0,  1, 0.07,175,10.3
  19.0,27167,-29.6,-74.8,-70.5,  0,  1, 0.08,160, 8.8
  18.0,27553,-29.1,-74.6,-70.3,  0,  1, 0.09,175, 7.2
