file,rows_used,total_pwv_mm
2024010100-89009.csv,71,1.584
2024010112-89009.csv,65,1.647
2024010212-89009.csv,76,1.432
2024010300-89009.csv,53,1.457
2024010312-89009.csv,65,1.318
2024010400-89009.csv,74,1.301
2024010412-89009.csv,70,1.247
2024010500-89009.csv,80,0.737
2024010512-89009.csv,74,0.631
2024010600-89009.csv,67,0.773
2024010612-89009.csv,60,0.701
2024010700-89009.csv,98,0.757
2024010712-89009.csv,75,0.721
2024010800-89009.csv,69,0.782
2024010812-89009.csv,80,0.773
2024010900-89009.csv,67,0.569
2024010912-89009.csv,85,0.889
2024011000-89009.csv,88,1.164
2024011012-89009.csv,72,1.005
2024011100-89009.csv,71,0.942
2024011109-89009.csv,91,0.857
2024011200-89009.csv,88,0.759
2024011212-89009.csv,94,0.84
2024011300-89009.csv,98,0.759
2024011312-89009.csv,87,0.788
2024011400-89009.csv,90,0.793
2024011412-89009.csv,67,0.83
2024011512-89009.csv,75,0.625
2024011600-89009.csv,68,0.517
2024011612-89009.csv,69,0.496
