DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20240103,010135.641471,010637.184499,301.543028,1696.02 um_pwv,2070.46 um_pwv,35.0,4.028 K,4.00239
20240103,010638.145634,011139.588569,301.442935,1693.16 um_pwv,2066.96 um_pwv,35.0,4.028 K,3.99562
20240103,011140.549927,011641.990716,301.440789,1691.21 um_pwv,2064.59 um_pwv,35.0,4.05 K,3.99102
20240103,011642.952756,012144.399408,301.446652,1696.28 um_pwv,2070.77 um_pwv,35.0,4.04 K,4.00299
20240103,012145.356106,012647.185632,301.829526,1693.74 um_pwv,2067.68 um_pwv,35.0,4.071 K,3.99701
20240103,012648.142445,013149.730545,301.5881,1687.33 um_pwv,2059.84 um_pwv,35.0,4.146 K,3.98184
20240103,013150.692370,013652.713110,302.02074,1685.2 um_pwv,2057.25 um_pwv,35.0,4.124 K,3.97682
20240103,013653.675887,014155.116387,301.4405,1682.56 um_pwv,2054.03 um_pwv,35.0,4.034 K,3.97058
20240103,014156.078271,014657.522681,301.44441,1685.78 um_pwv,2057.96 um_pwv,35.0,3.976 K,3.97820
20240103,014658.479438,015159.926963,301.447525,1691.31 um_pwv,2064.71 um_pwv,35.0,3.923 K,3.99125
20240103,015200.884000,015635.445872,274.561872,1695.89 um_pwv,2070.3 um_pwv,35.0,3.953 K,4.00207
20240103,020136.453705,020637.998630,301.544925,1702.03 um_pwv,2077.8 um_pwv,35.0,3.941 K,4.01659
20240103,020638.959673,021142.276280,303.316607,1694.39 um_pwv,2068.47 um_pwv,35.0,3.973 K,3.99853
20240103,021143.236932,021644.677978,301.441046,1689.34 um_pwv,2062.31 um_pwv,35.0,3.945 K,3.98660
20240103,021645.640526,022147.897661,302.257135,1691.72 um_pwv,2065.2 um_pwv,35.0,3.899 K,3.99221
20240103,022148.860995,022652.848108,303.987113,1690.62 um_pwv,2063.86 um_pwv,35.0,3.773 K,3.98961
20240103,022653.806758,023156.641994,302.835236,1686.06 um_pwv,2058.3 um_pwv,35.0,3.726 K,3.97885
20240103,023157.604681,023659.717881,302.1132,1684.54 um_pwv,2056.44 um_pwv,35.0,3.783 K,3.97525
20240103,023700.680680,024202.121825,301.441145,1683.89 um_pwv,2055.65 um_pwv,35.0,3.793 K,3.97373
20240103,024203.084596,024704.525386,301.44079,1681.87 um_pwv,2053.19 um_pwv,35.0,3.805 K,3.96896
20240103,024705.487504,025206.933571,301.446067,1682.23 um_pwv,2053.62 um_pwv,35.0,3.84 K,3.96980
20240103,025207.890254,025635.732921,267.842667,1681.11 um_pwv,2052.26 um_pwv,35.0,3.832 K,3.96717
20240103,030136.308815,030637.855976,301.547161,1674.72 um_pwv,2044.45 um_pwv,35.0,3.853 K,3.95205
20240103,030638.816459,031140.260225,301.443766,1670.67 um_pwv,2039.51 um_pwv,35.0,3.878 K,3.94248
20240103,031141.221203,031642.664139,301.442936,1668.17 um_pwv,2036.46 um_pwv,35.0,3.921 K,3.93659
20240103,031643.625658,032145.068587,301.442929,1673.1 um_pwv,2042.48 um_pwv,35.0,3.949 K,3.94824
20240103,032146.024694,032647.471708,301.447014,1676.13 um_pwv,2046.17 um_pwv,35.0,3.983 K,3.95538
20240103,032648.433147,033149.875056,301.441909,1677.29 um_pwv,2047.59 um_pwv,35.0,4.058 K,3.95812
20240103,033150.837254,033652.279186,301.441932,1678.24 um_pwv,2048.75 um_pwv,35.0,4.097 K,3.96038
20240103,033653.240975,034154.687244,301.446269,1676.13 um_pwv,2046.17 um_pwv,35.0,4.091 K,3.95538
20240103,034155.643663,034657.087427,301.443764,1676.13 um_pwv,2046.17 um_pwv,35.0,4.08 K,3.95538
20240103,034658.049750,035159.494694,301.444944,1676.13 um_pwv,2046.17 um_pwv,35.0,4.01 K,3.95538
20240103,035200.450452,035635.975715,275.525263,1676.13 um_pwv,2046.17 um_pwv,35.0,3.972 K,3.95538
20240103,050136.405902,050638.720268,302.314366,1684.85 um_pwv,2056.82 um_pwv,35.0,3.672 K,3.97599
20240103,050639.676292,051141.119656,301.443364,1682.48 um_pwv,2053.93 um_pwv,35.0,3.624 K,3.97039
20240103,051142.082043,051643.526815,301.444772,1684.86 um_pwv,2056.83 um_pwv,35.0,3.562 K,3.97601
20240103,051644.484599,052145.927438,301.442839,1690.08 um_pwv,2063.21 um_pwv,35.0,3.562 K,3.98836
20240103,052146.890658,052648.333849,301.443191,1695.09 um_pwv,2069.32 um_pwv,35.0,3.557 K,4.00017
