Delta_T,Mean_PWV_Diff
-2098.0,24.48
-2093.0,28.22
-2088.0,25.08
-2083.0,26.31
-2078.0,24.75
-2073.0,24.42
-2068.0,26.37
-2063.0,27.49
-2058.0,25.23
-2053.0,25.32
-2048.0,26.91
-2038.0,26.52
-2033.0,26.51
-2028.0,26.11
-2023.0,23.98
-2018.0,26.55
-2013.0,25.97
-2008.0,27.57
-2003.0,25.28
-1997.0,25.59
-1992.0,25.69
-1987.0,25.6
-1978.0,25.82
-1973.0,25.77
-1968.0,26.65
-1963.0,26.76
-1958.0,25.73
-1953.0,27.77
-1948.0,26.32
-1943.0,26.73
-1938.0,25.42
-1933.0,28.13
-1928.0,28.35
-1858.0,26.31
-1853.0,24.75
-1848.0,25.58
-1843.0,25.2
-1838.0,25.26
-1833.0,25.62
-1828.0,26.13
-1823.0,26.09
-1818.0,25.83
-1813.0,25.21
-1807.0,27.18
-1798.0,26.53
-1793.0,26.05
-1788.0,26.64
-1783.0,29.19
-1778.0,26.57
-1773.0,27.75
-1768.0,26.43
-1763.0,26.28
-1758.0,27.06
-1753.0,25.14
-1748.0,24.24
-1738.0,25.74
-1733.0,25.2
-1728.0,26.05
-1723.0,26.22
-1718.0,27.34
-1713.0,27.11
-1708.0,26.29
-1703.0,28.33
-1698.0,28.13
-1693.0,26.38
-1688.0,25.76
-1618.0,24.42
-1613.0,24.59
-1608.0,26.26
-1603.0,29.04
-1598.0,27.08
-1593.0,26.81
-1588.0,27.05
-1583.0,27.6
-1578.0,26.68
-1573.0,26.18
-1568.0,26.17
-1558.0,25.52
-1553.0,26.07
-1548.0,25.54
-1543.0,24.45
-1538.0,24.55
-1533.0,25.55
-1528.0,26.34
-1523.0,26.46
-1518.0,26.55
-1513.0,26.33
-1508.0,25.27
-1498.0,25.47
-1493.0,24.96
-1488.0,25.08
-1483.0,24.24
-1478.0,24.3
-1473.0,24.6
-1468.0,24.05
-1463.0,25.36
-1458.0,24.19
-1453.0,23.39
-1448.0,24.92
-1378.0,24.5
-1373.0,24.26
-1368.0,25.77
-1363.0,25.51
-1358.0,24.78
-1353.0,24.82
-1348.0,25.2
-1343.0,25.22
-1338.0,24.6
-1333.0,25.61
-1328.0,26.43
-1318.0,24.56
-1313.0,23.93
-1308.0,24.03
-1303.0,23.63
-1298.0,23.22
-1293.0,25.21
-1288.0,24.48
-1283.0,25.36
-1277.0,24.85
-1272.0,23.87
-1267.0,24.05
-1258.0,22.42
-1253.0,22.95
-1248.0,24.95
-1243.0,24.65
-1238.0,23.64
-1233.0,24.9
-1228.0,24.85
-1223.0,24.27
-1218.0,24.08
-1213.0,25.43
-1208.0,24.51
-1138.0,23.36
-1133.0,24.39
-1128.0,24.89
-1123.0,23.82
-1118.0,25.15
-1113.0,24.1
-1108.0,25.89
-1103.0,25.42
-1098.0,24.43
-1093.0,24.65
-1087.0,24.9
-1078.0,24.68
-1073.0,25.65
-1068.0,23.4
-1063.0,24.16
-1058.0,24.05
-1053.0,24.15
-1048.0,25.84
-1043.0,23.81
-1038.0,24.06
-1033.0,24.61
-1028.0,24.49
-1018.0,24.34
-1013.0,23.71
-1008.0,23.86
-1003.0,24.45
-998.0,24.12
-993.0,24.03
-988.0,24.38
-983.0,24.87
-978.0,25.3
-973.0,25.14
-968.0,24.84
-898.0,24.76
-893.0,23.86
-888.0,24.47
-883.0,24.48
-878.0,24.31
-873.0,24.2
-868.0,24.07
-863.0,24.93
-858.0,25.44
-853.0,24.09
-848.0,23.15
-838.0,23.94
-833.0,25.08
-828.0,23.28
-823.0,24.94
-818.0,25.28
-813.0,25.03
-808.0,25.9
-803.0,25.39
-798.0,25.08
-793.0,24.47
-788.0,23.78
-778.0,26.17
-773.0,26.93
-768.0,27.38
-763.0,28.07
-758.0,26.75
-753.0,27.9
-748.0,27.88
-743.0,27.98
-738.0,26.95
-733.0,25.29
-728.0,26.29
-658.0,23.28
-653.0,22.96
-648.0,23.69
-643.0,24.51
-638.0,23.49
-633.0,23.44
-628.0,24.1
-623.0,23.89
-618.0,23.91
-613.0,23.53
-608.0,23.14
-598.0,24.19
-593.0,23.36
-588.0,23.79
-583.0,23.75
-578.0,24.31
-573.0,23.98
-568.0,23.94
-563.0,24.07
-557.0,23.89
-552.0,23.31
-547.0,23.71
-538.0,24.12
-533.0,24.31
-528.0,23.5
-523.0,24.75
-518.0,24.03
-513.0,23.74
-508.0,23.58
-503.0,24.09
-498.0,24.06
-493.0,24.01
-488.0,23.74
-418.0,24.22
-413.0,24.06
-408.0,23.92
-403.0,23.8
-398.0,24.04
-393.0,24.29
-388.0,24.25
-383.0,24.68
-378.0,24.62
-373.0,24.16
-367.0,23.67
-358.0,24.69
-353.0,23.69
-348.0,24.23
-343.0,24.45
-338.0,24.35
-333.0,24.21
-328.0,23.73
-323.0,24.06
-318.0,23.98
-313.0,23.81
-308.0,23.53
-298.0,23.57
-293.0,23.9
-288.0,23.85
-283.0,23.89
-278.0,24.25
-273.0,24.36
-268.0,24.07
-263.0,23.78
-258.0,23.49
-253.0,23.73
-248.0,23.15
-178.0,24.04
-173.0,24.57
-168.0,24.27
-163.0,24.55
-158.0,24.54
-153.0,24.59
-148.0,24.72
-143.0,24.65
-138.0,24.94
-133.0,24.87
-128.0,24.76
-118.0,24.68
-113.0,24.91
-108.0,24.85
-103.0,24.75
-98.0,24.84
-93.0,24.7
-88.0,24.66
-83.0,24.96
-78.0,24.3
-73.0,24.08
-68.0,24.2
-58.0,23.85
-53.0,24.05
-48.0,24.15
-43.0,24.29
-38.0,23.76
-33.0,23.96
-28.0,24.33
-23.0,24.57
-18.0,24.29
-13.0,23.87
-8.0,23.84
61.0,23.63
66.0,23.75
71.0,23.99
76.0,23.88
81.0,22.97
86.0,23.91
91.0,23.69
96.0,23.89
101.0,23.69
106.0,23.99
112.0,23.55
121.0,24.14
126.0,23.53
131.0,23.51
136.0,23.5
141.0,23.54
146.0,23.9
151.0,23.55
157.0,23.65
162.0,23.3
167.0,23.39
172.0,23.16
181.0,23.83
186.0,23.35
191.0,23.04
196.0,23.4
201.0,23.32
206.0,22.7
211.0,22.99
216.0,23.06
221.0,22.78
226.0,22.68
232.0,22.32
301.0,23.05
306.0,22.42
311.0,22.89
316.0,23.47
321.0,23.68
326.0,22.81
331.0,22.79
336.0,23.34
341.0,22.79
346.0,22.43
352.0,23.42
361.0,22.97
366.0,22.49
371.0,21.82
376.0,23.1
381.0,22.0
386.0,22.97
391.0,22.87
396.0,21.57
401.0,22.11
406.0,21.85
412.0,22.15
421.0,22.47
426.0,22.02
431.0,21.12
436.0,21.94
441.0,23.7
446.0,22.37
451.0,21.35
456.0,21.33
461.0,22.57
466.0,22.99
472.0,21.39
541.0,21.33
546.0,20.27
551.0,22.23
556.0,21.95
561.0,22.59
566.0,22.85
571.0,22.35
576.0,21.89
581.0,22.49
586.0,20.79
592.0,22.46
601.0,20.71
606.0,22.76
611.0,22.12
616.0,21.57
621.0,22.08
626.0,22.51
631.0,21.36
636.0,22.43
641.0,21.6
646.0,22.17
651.0,21.09
661.0,22.75
666.0,22.67
671.0,23.14
676.0,21.37
681.0,24.06
686.0,25.19
691.0,23.06
696.0,21.71
701.0,21.71
706.0,21.56
712.0,22.25
781.0,22.37
786.0,22.82
791.0,22.08
796.0,22.2
801.0,21.81
806.0,22.62
811.0,21.5
816.0,22.87
821.0,22.74
826.0,22.65
832.0,21.18
841.0,21.31
846.0,20.55
851.0,20.33
856.0,22.67
861.0,21.19
866.0,21.46
871.0,21.79
877.0,21.25
882.0,21.78
887.0,23.25
892.0,20.97
901.0,21.27
906.0,22.65
911.0,22.6
916.0,21.03
921.0,23.22
926.0,21.68
931.0,21.7
936.0,21.43
941.0,21.89
946.0,20.38
952.0,20.28
1021.0,20.08
1026.0,21.73
1031.0,20.72
1036.0,20.19
1041.0,19.87
1046.0,21.43
1051.0,22.67
1056.0,22.81
1061.0,20.33
1066.0,19.66
1072.0,20.25
1081.0,21.94
1086.0,19.18
1091.0,21.22
1096.0,23.83
1101.0,21.89
1106.0,22.72
1111.0,20.6
1116.0,20.91
1121.0,20.03
1126.0,21.32
1132.0,21.91
1141.0,22.41
1146.0,22.05
1151.0,23.5
1156.0,23.66
1161.0,21.57
1166.0,20.32
1171.0,24.46
1176.0,22.4
1181.0,21.58
1186.0,21.99
1192.0,21.02
1261.0,22.33
1266.0,22.06
1271.0,21.95
1276.0,22.74
1281.0,21.83
1286.0,23.4
1291.0,23.25
1296.0,22.92
1301.0,23.64
1306.0,22.0
1312.0,23.41
1321.0,21.31
1326.0,19.99
1331.0,23.1
1336.0,22.62
1341.0,22.33
1346.0,22.52
1351.0,23.64
1356.0,25.33
1361.0,24.48
1366.0,22.17
1371.0,21.98
1381.0,18.96
1386.0,19.03
1391.0,22.62
1396.0,19.76
1401.0,20.74
1406.0,20.38
1411.0,20.78
1416.0,21.22
1421.0,19.0
1426.0,20.35
1432.0,18.25
1501.0,22.21
1506.0,22.44
1511.0,21.85
1516.0,21.19
1521.0,21.13
1526.0,22.45
1531.0,22.02
1536.0,20.72
1541.0,21.06
1546.0,21.5
1552.0,21.66
1561.0,22.68
1566.0,20.0
1571.0,20.49
1576.0,20.95
1581.0,22.93
1586.0,19.67
1591.0,20.88
1596.0,21.44
1601.0,22.61
1606.0,22.76
1612.0,19.34
1621.0,21.66
1626.0,22.71
1631.0,24.2
1636.0,23.15
1641.0,23.49
1646.0,24.24
1651.0,23.53
1656.0,22.15
1661.0,22.15
1666.0,22.44
1672.0,21.88
1741.0,22.62
1746.0,22.45
1751.0,21.85
1756.0,22.63
1761.0,22.45
1766.0,23.12
1771.0,23.7
1776.0,24.77
1781.0,21.41
1786.0,21.08
1791.0,20.09
1801.0,22.34
1806.0,20.63
1811.0,24.28
1816.0,21.25
1821.0,21.02
1826.0,21.34
1831.0,22.87
1836.0,20.84
1841.0,20.73
1846.0,22.36
1852.0,21.24
1861.0,24.88
1866.0,23.64
1871.0,22.85
1876.0,19.12
1881.0,21.0
1886.0,22.14
1891.0,19.95
1896.0,21.21
1901.0,21.28
1906.0,22.07
1912.0,22.57
1981.0,20.32
1986.0,18.7
1991.0,19.1
1996.0,18.02
2001.0,21.45
2006.0,21.55
2011.0,21.06
2016.0,21.34
2021.0,22.12
2026.0,23.45
2032.0,23.41
2041.0,22.85
2046.0,20.91
2051.0,21.44
2056.0,22.7
2061.0,22.49
2066.0,22.58
2071.0,23.07
2076.0,22.75
2081.0,22.33
2086.0,22.18
2092.0,23.56
2101.0,20.28
2106.0,19.94
2111.0,22.38
2116.0,20.35
2121.0,23.63
2126.0,19.17
2131.0,25.89
2136.0,21.92
2141.0,23.44
2146.0,20.03
2152.0,24.05
