Delta_T,Mean_PWV_Diff
-2098.0,33.46
-2093.0,33.56
-2088.0,33.64
-2083.0,33.67
-2078.0,33.6
-2073.0,33.56
-2068.0,33.52
-2063.0,33.49
-2058.0,33.38
-2053.0,33.21
-2048.0,32.94
-2038.0,33.1
-2033.0,33.13
-2028.0,33.24
-2023.0,33.3
-2018.0,33.26
-2013.0,33.27
-2008.0,33.23
-2003.0,33.33
-1997.0,33.41
-1992.0,33.4
-1987.0,33.14
-1978.0,33.46
-1973.0,33.54
-1968.0,33.56
-1963.0,33.53
-1958.0,33.38
-1953.0,33.28
-1948.0,33.24
-1943.0,33.31
-1938.0,33.28
-1933.0,33.23
-1928.0,33.0
-1858.0,32.73
-1853.0,32.79
-1848.0,32.87
-1843.0,32.96
-1838.0,33.02
-1833.0,33.02
-1828.0,33.05
-1823.0,33.08
-1818.0,33.06
-1813.0,32.94
-1807.0,32.57
-1798.0,32.74
-1793.0,32.74
-1788.0,32.77
-1783.0,32.81
-1778.0,32.76
-1773.0,32.63
-1768.0,32.55
-1763.0,32.63
-1758.0,32.62
-1753.0,32.61
-1748.0,32.39
-1738.0,32.47
-1733.0,32.45
-1728.0,32.43
-1723.0,32.42
-1718.0,32.34
-1713.0,32.32
-1708.0,32.22
-1703.0,32.12
-1698.0,32.08
-1693.0,32.03
-1688.0,31.63
-1618.0,31.43
-1613.0,31.47
-1608.0,31.53
-1603.0,31.56
-1598.0,31.46
-1593.0,31.47
-1588.0,31.45
-1583.0,31.48
-1578.0,31.47
-1573.0,31.45
-1568.0,31.21
-1558.0,31.27
-1553.0,31.22
-1548.0,31.17
-1543.0,31.14
-1538.0,31.1
-1533.0,31.11
-1528.0,30.98
-1523.0,31.05
-1518.0,31.01
-1513.0,30.92
-1508.0,30.58
-1498.0,28.42
-1493.0,28.45
-1488.0,28.37
-1483.0,28.38
-1478.0,28.39
-1473.0,28.24
-1468.0,28.22
-1463.0,28.12
-1458.0,28.15
-1453.0,27.99
-1448.0,27.79
-1378.0,29.77
-1373.0,29.94
-1368.0,30.05
-1363.0,30.1
-1358.0,29.95
-1353.0,29.88
-1348.0,29.83
-1343.0,29.83
-1338.0,29.8
-1333.0,29.61
-1328.0,29.34
-1318.0,29.48
-1313.0,29.53
-1308.0,29.55
-1303.0,29.58
-1298.0,29.51
-1293.0,29.47
-1288.0,29.5
-1283.0,29.51
-1277.0,29.46
-1272.0,29.43
-1267.0,29.21
-1258.0,29.27
-1253.0,29.28
-1248.0,29.25
-1243.0,29.17
-1238.0,29.1
-1233.0,29.03
-1228.0,28.98
-1223.0,29.04
-1218.0,28.99
-1213.0,28.83
-1208.0,28.52
-1138.0,27.98
-1133.0,28.11
-1128.0,28.24
-1123.0,28.34
-1118.0,28.36
-1113.0,28.36
-1108.0,28.4
-1103.0,28.48
-1098.0,28.54
-1093.0,28.49
-1087.0,28.2
-1078.0,28.27
-1073.0,28.23
-1068.0,28.21
-1063.0,28.09
-1058.0,27.97
-1053.0,27.9
-1048.0,27.85
-1043.0,27.83
-1038.0,27.83
-1033.0,27.8
-1028.0,27.53
-1018.0,27.69
-1013.0,27.63
-1008.0,27.52
-1003.0,27.45
-998.0,27.31
-993.0,27.26
-988.0,27.16
-983.0,27.15
-978.0,27.14
-973.0,27.09
-968.0,26.79
-898.0,26.9
-893.0,26.99
-888.0,27.11
-883.0,27.13
-878.0,27.07
-873.0,27.06
-868.0,27.02
-863.0,27.03
-858.0,27.04
-853.0,26.96
-848.0,26.72
-838.0,26.74
-833.0,26.7
-828.0,26.71
-823.0,26.72
-818.0,26.62
-813.0,26.58
-808.0,26.47
-803.0,26.51
-798.0,26.45
-793.0,26.37
-788.0,26.12
-778.0,30.71
-773.0,30.75
-768.0,30.72
-763.0,30.69
-758.0,30.51
-753.0,30.52
-748.0,30.56
-743.0,30.42
-738.0,30.47
-733.0,30.26
-728.0,30.07
-658.0,26.03
-653.0,26.14
-648.0,26.26
-643.0,26.21
-638.0,26.12
-633.0,26.07
-628.0,26.06
-623.0,25.99
-618.0,25.85
-613.0,25.59
-608.0,25.3
-598.0,25.36
-593.0,25.3
-588.0,25.39
-583.0,25.4
-578.0,25.38
-573.0,25.36
-568.0,25.31
-563.0,25.36
-557.0,25.4
-552.0,25.36
-547.0,25.12
-538.0,25.37
-533.0,25.48
-528.0,25.54
-523.0,25.53
-518.0,25.4
-513.0,25.34
-508.0,25.34
