Delta_T: -2098 min, Count: 516, Mean PWV Diff (%): 33.46, Std Dev: 55.68
Delta_T: -2093 min, Count: 516, Mean PWV Diff (%): 33.56, Std Dev: 55.62
Delta_T: -2088 min, Count: 516, Mean PWV Diff (%): 33.64, Std Dev: 55.52
Delta_T: -2083 min, Count: 516, Mean PWV Diff (%): 33.67, Std Dev: 55.51
Delta_T: -2078 min, Count: 516, Mean PWV Diff (%): 33.60, Std Dev: 55.45
Delta_T: -2073 min, Count: 516, Mean PWV Diff (%): 33.56, Std Dev: 55.45
Delta_T: -2068 min, Count: 516, Mean PWV Diff (%): 33.52, Std Dev: 55.33
Delta_T: -2063 min, Count: 516, Mean PWV Diff (%): 33.49, Std Dev: 55.26
Delta_T: -2058 min, Count: 516, Mean PWV Diff (%): 33.38, Std Dev: 55.19
Delta_T: -2053 min, Count: 516, Mean PWV Diff (%): 33.21, Std Dev: 55.09
Delta_T: -2048 min, Count: 516, Mean PWV Diff (%): 32.94, Std Dev: 54.91
Delta_T: -2038 min, Count: 515, Mean PWV Diff (%): 33.10, Std Dev: 55.06
Delta_T: -2033 min, Count: 515, Mean PWV Diff (%): 33.13, Std Dev: 55.04
Delta_T: -2028 min, Count: 515, Mean PWV Diff (%): 33.24, Std Dev: 55.01
Delta_T: -2023 min, Count: 515, Mean PWV Diff (%): 33.30, Std Dev: 55.06
Delta_T: -2018 min, Count: 515, Mean PWV Diff (%): 33.26, Std Dev: 54.96
Delta_T: -2013 min, Count: 515, Mean PWV Diff (%): 33.27, Std Dev: 54.82
Delta_T: -2008 min, Count: 515, Mean PWV Diff (%): 33.23, Std Dev: 54.67
Delta_T: -2003 min, Count: 515, Mean PWV Diff (%): 33.33, Std Dev: 54.63
Delta_T: -1997 min, Count: 515, Mean PWV Diff (%): 33.41, Std Dev: 54.50
Delta_T: -1992 min, Count: 515, Mean PWV Diff (%): 33.40, Std Dev: 54.43
Delta_T: -1987 min, Count: 515, Mean PWV Diff (%): 33.14, Std Dev: 54.27
Delta_T: -1978 min, Count: 518, Mean PWV Diff (%): 33.46, Std Dev: 54.04
Delta_T: -1973 min, Count: 518, Mean PWV Diff (%): 33.54, Std Dev: 53.93
Delta_T: -1968 min, Count: 518, Mean PWV Diff (%): 33.56, Std Dev: 53.79
Delta_T: -1963 min, Count: 518, Mean PWV Diff (%): 33.53, Std Dev: 53.61
Delta_T: -1958 min, Count: 518, Mean PWV Diff (%): 33.38, Std Dev: 53.39
Delta_T: -1953 min, Count: 518, Mean PWV Diff (%): 33.28, Std Dev: 53.18
Delta_T: -1948 min, Count: 518, Mean PWV Diff (%): 33.24, Std Dev: 53.07
Delta_T: -1943 min, Count: 518, Mean PWV Diff (%): 33.31, Std Dev: 52.96
Delta_T: -1938 min, Count: 518, Mean PWV Diff (%): 33.28, Std Dev: 52.86
Delta_T: -1933 min, Count: 518, Mean PWV Diff (%): 33.23, Std Dev: 52.72
Delta_T: -1928 min, Count: 518, Mean PWV Diff (%): 33.00, Std Dev: 52.63
Delta_T: -1858 min, Count: 516, Mean PWV Diff (%): 32.73, Std Dev: 51.49
Delta_T: -1853 min, Count: 516, Mean PWV Diff (%): 32.79, Std Dev: 51.39
Delta_T: -1848 min, Count: 516, Mean PWV Diff (%): 32.87, Std Dev: 51.35
Delta_T: -1843 min, Count: 516, Mean PWV Diff (%): 32.96, Std Dev: 51.32
Delta_T: -1838 min, Count: 516, Mean PWV Diff (%): 33.02, Std Dev: 51.23
Delta_T: -1833 min, Count: 516, Mean PWV Diff (%): 33.02, Std Dev: 51.05
Delta_T: -1828 min, Count: 516, Mean PWV Diff (%): 33.05, Std Dev: 50.88
Delta_T: -1823 min, Count: 516, Mean PWV Diff (%): 33.08, Std Dev: 50.83
Delta_T: -1818 min, Count: 516, Mean PWV Diff (%): 33.06, Std Dev: 50.68
Delta_T: -1813 min, Count: 516, Mean PWV Diff (%): 32.94, Std Dev: 50.46
Delta_T: -1807 min, Count: 516, Mean PWV Diff (%): 32.57, Std Dev: 50.24
Delta_T: -1798 min, Count: 516, Mean PWV Diff (%): 32.74, Std Dev: 50.30
Delta_T: -1793 min, Count: 516, Mean PWV Diff (%): 32.74, Std Dev: 50.28
Delta_T: -1788 min, Count: 516, Mean PWV Diff (%): 32.77, Std Dev: 50.26
Delta_T: -1783 min, Count: 516, Mean PWV Diff (%): 32.81, Std Dev: 50.22
