Delta_T: -2098 min, Count: 451, Mean PWV Diff (%): 24.48, Std Dev: 36.70
Delta_T: -2093 min, Count: 458, Mean PWV Diff (%): 28.22, Std Dev: 42.97
Delta_T: -2088 min, Count: 441, Mean PWV Diff (%): 25.08, Std Dev: 35.34
Delta_T: -2083 min, Count: 449, Mean PWV Diff (%): 26.31, Std Dev: 34.79
Delta_T: -2078 min, Count: 442, Mean PWV Diff (%): 24.75, Std Dev: 34.80
Delta_T: -2073 min, Count: 438, Mean PWV Diff (%): 24.42, Std Dev: 34.92
Delta_T: -2068 min, Count: 448, Mean PWV Diff (%): 26.37, Std Dev: 35.41
Delta_T: -2063 min, Count: 454, Mean PWV Diff (%): 27.49, Std Dev: 38.08
Delta_T: -2058 min, Count: 438, Mean PWV Diff (%): 25.23, Std Dev: 32.66
Delta_T: -2053 min, Count: 447, Mean PWV Diff (%): 25.32, Std Dev: 33.69
Delta_T: -2048 min, Count: 457, Mean PWV Diff (%): 26.91, Std Dev: 36.77
Delta_T: -2038 min, Count: 456, Mean PWV Diff (%): 26.52, Std Dev: 37.04
Delta_T: -2033 min, Count: 464, Mean PWV Diff (%): 26.51, Std Dev: 36.28
Delta_T: -2028 min, Count: 455, Mean PWV Diff (%): 26.11, Std Dev: 36.79
Delta_T: -2023 min, Count: 453, Mean PWV Diff (%): 23.98, Std Dev: 35.09
Delta_T: -2018 min, Count: 459, Mean PWV Diff (%): 26.55, Std Dev: 37.37
Delta_T: -2013 min, Count: 453, Mean PWV Diff (%): 25.97, Std Dev: 37.14
Delta_T: -2008 min, Count: 451, Mean PWV Diff (%): 27.57, Std Dev: 36.73
Delta_T: -2003 min, Count: 451, Mean PWV Diff (%): 25.28, Std Dev: 35.93
Delta_T: -1997 min, Count: 453, Mean PWV Diff (%): 25.59, Std Dev: 35.43
Delta_T: -1992 min, Count: 456, Mean PWV Diff (%): 25.69, Std Dev: 37.46
Delta_T: -1987 min, Count: 452, Mean PWV Diff (%): 25.60, Std Dev: 36.37
Delta_T: -1978 min, Count: 459, Mean PWV Diff (%): 25.82, Std Dev: 35.03
Delta_T: -1973 min, Count: 454, Mean PWV Diff (%): 25.77, Std Dev: 34.86
Delta_T: -1968 min, Count: 455, Mean PWV Diff (%): 26.65, Std Dev: 36.94
Delta_T: -1963 min, Count: 464, Mean PWV Diff (%): 26.76, Std Dev: 35.16
Delta_T: -1958 min, Count: 450, Mean PWV Diff (%): 25.73, Std Dev: 32.60
Delta_T: -1953 min, Count: 460, Mean PWV Diff (%): 27.77, Std Dev: 37.91
Delta_T: -1948 min, Count: 461, Mean PWV Diff (%): 26.32, Std Dev: 34.34
Delta_T: -1943 min, Count: 461, Mean PWV Diff (%): 26.73, Std Dev: 34.14
Delta_T: -1938 min, Count: 458, Mean PWV Diff (%): 25.42, Std Dev: 33.53
Delta_T: -1933 min, Count: 462, Mean PWV Diff (%): 28.13, Std Dev: 36.66
Delta_T: -1928 min, Count: 468, Mean PWV Diff (%): 28.35, Std Dev: 36.67
Delta_T: -1858 min, Count: 454, Mean PWV Diff (%): 26.31, Std Dev: 35.99
Delta_T: -1853 min, Count: 452, Mean PWV Diff (%): 24.75, Std Dev: 33.35
Delta_T: -1848 min, Count: 460, Mean PWV Diff (%): 25.58, Std Dev: 35.66
Delta_T: -1843 min, Count: 455, Mean PWV Diff (%): 25.20, Std Dev: 33.66
Delta_T: -1838 min, Count: 456, Mean PWV Diff (%): 25.26, Std Dev: 33.70
Delta_T: -1833 min, Count: 461, Mean PWV Diff (%): 25.62, Std Dev: 34.21
Delta_T: -1828 min, Count: 450, Mean PWV Diff (%): 26.13, Std Dev: 34.13
Delta_T: -1823 min, Count: 456, Mean PWV Diff (%): 26.09, Std Dev: 34.07
Delta_T: -1818 min, Count: 446, Mean PWV Diff (%): 25.83, Std Dev: 33.07
Delta_T: -1813 min, Count: 456, Mean PWV Diff (%): 25.21, Std Dev: 35.25
Delta_T: -1807 min, Count: 451, Mean PWV Diff (%): 27.18, Std Dev: 34.66
Delta_T: -1798 min, Count: 451, Mean PWV Diff (%): 26.53, Std Dev: 33.93
Delta_T: -1793 min, Count: 458, Mean PWV Diff (%): 26.05, Std Dev: 33.39
Delta_T: -1788 min, Count: 454, Mean PWV Diff (%): 26.64, Std Dev: 32.52
Delta_T: -1783 min, Count: 454, Mean PWV Diff (%): 29.19, Std Dev: 34.64
Delta_T: -1778 min, Count: 444, Mean PWV Diff (%): 26.57, Std Dev: 31.76
Delta_T: -1773 min, Count: 460, Mean PWV Diff (%): 27.75, Std Dev: 34.05
Delta_T: -1768 min, Count: 450, Mean PWV Diff (%): 26.43, Std Dev: 33.95
Delta_T: -1763 min, Count: 443, Mean PWV Diff (%): 26.28, Std Dev: 32.95
Delta_T: -1758 min, Count: 455, Mean PWV Diff (%): 27.06, Std Dev: 33.65
Delta_T: -1753 min, Count: 457, Mean PWV Diff (%): 25.14, Std Dev: 34.34
Delta_T: -1748 min, Count: 448, Mean PWV Diff (%): 24.24, Std Dev: 32.50
Delta_T: -1738 min, Count: 456, Mean PWV Diff (%): 25.74, Std Dev: 32.07
Delta_T: -1733 min, Count: 455, Mean PWV Diff (%): 25.20, Std Dev: 32.45
Delta_T: -1728 min, Count: 455, Mean PWV Diff (%): 26.05, Std Dev: 32.96
Delta_T: -1723 min, Count: 449, Mean PWV Diff (%): 26.22, Std Dev: 31.01
Delta_T: -1718 min, Count: 459, Mean PWV Diff (%): 27.34, Std Dev: 33.54
Delta_T: -1713 min, Count: 455, Mean PWV Diff (%): 27.11, Std Dev: 32.17
Delta_T: -1708 min, Count: 449, Mean PWV Diff (%): 26.29, Std Dev: 32.46
Delta_T: -1703 min, Count: 464, Mean PWV Diff (%): 28.33, Std Dev: 35.70
Delta_T: -1698 min, Count: 461, Mean PWV Diff (%): 28.13, Std Dev: 34.73
Delta_T: -1693 min, Count: 462, Mean PWV Diff (%): 26.38, Std Dev: 35.00
Delta_T: -1688 min, Count: 455, Mean PWV Diff (%): 25.76, Std Dev: 31.37
Delta_T: -1618 min, Count: 460, Mean PWV Diff (%): 24.42, Std Dev: 32.05
Delta_T: -1613 min, Count: 457, Mean PWV Diff (%): 24.59, Std Dev: 31.29
Delta_T: -1608 min, Count: 457, Mean PWV Diff (%): 26.26, Std Dev: 32.15
Delta_T: -1603 min, Count: 466, Mean PWV Diff (%): 29.04, Std Dev: 34.63
Delta_T: -1598 min, Count: 452, Mean PWV Diff (%): 27.08, Std Dev: 31.18
Delta_T: -1593 min, Count: 462, Mean PWV Diff (%): 26.81, Std Dev: 31.90
Delta_T: -1588 min, Count: 456, Mean PWV Diff (%): 27.05, Std Dev: 32.16
Delta_T: -1583 min, Count: 466, Mean PWV Diff (%): 27.60, Std Dev: 32.89
Delta_T: -1578 min, Count: 458, Mean PWV Diff (%): 26.68, Std Dev: 33.58
Delta_T: -1573 min, Count: 459, Mean PWV Diff (%): 26.18, Std Dev: 32.17
Delta_T: -1568 min, Count: 463, Mean PWV Diff (%): 26.17, Std Dev: 33.26
Delta_T: -1558 min, Count: 461, Mean PWV Diff (%): 25.52, Std Dev: 31.13
Delta_T: -1553 min, Count: 450, Mean PWV Diff (%): 26.07, Std Dev: 30.18
Delta_T: -1548 min, Count: 464, Mean PWV Diff (%): 25.54, Std Dev: 31.12
Delta_T: -1543 min, Count: 462, Mean PWV Diff (%): 24.45, Std Dev: 29.92
Delta_T: -1538 min, Count: 451, Mean PWV Diff (%): 24.55, Std Dev: 28.15
Delta_T: -1533 min, Count: 455, Mean PWV Diff (%): 25.55, Std Dev: 30.38
Delta_T: -1528 min, Count: 460, Mean PWV Diff (%): 26.34, Std Dev: 31.56
Delta_T: -1523 min, Count: 459, Mean PWV Diff (%): 26.46, Std Dev: 29.97
Delta_T: -1518 min, Count: 465, Mean PWV Diff (%): 26.55, Std Dev: 31.52
Delta_T: -1513 min, Count: 460, Mean PWV Diff (%): 26.33, Std Dev: 31.13
Delta_T: -1508 min, Count: 462, Mean PWV Diff (%): 25.27, Std Dev: 30.32
Delta_T: -1498 min, Count: 243, Mean PWV Diff (%): 25.47, Std Dev: 29.82
Delta_T: -1493 min, Count: 226, Mean PWV Diff (%): 24.96, Std Dev: 27.19
Delta_T: -1488 min, Count: 239, Mean PWV Diff (%): 25.08, Std Dev: 28.32
Delta_T: -1483 min, Count: 232, Mean PWV Diff (%): 24.24, Std Dev: 27.34
Delta_T: -1478 min, Count: 235, Mean PWV Diff (%): 24.30, Std Dev: 28.02
Delta_T: -1473 min, Count: 238, Mean PWV Diff (%): 24.60, Std Dev: 29.14
Delta_T: -1468 min, Count: 237, Mean PWV Diff (%): 24.05, Std Dev: 28.53
Delta_T: -1463 min, Count: 232, Mean PWV Diff (%): 25.36, Std Dev: 27.26
Delta_T: -1458 min, Count: 230, Mean PWV Diff (%): 24.19, Std Dev: 26.72
Delta_T: -1453 min, Count: 235, Mean PWV Diff (%): 23.39, Std Dev: 27.09
Delta_T: -1448 min, Count: 230, Mean PWV Diff (%): 24.92, Std Dev: 25.71
Delta_T: -1378 min, Count: 459, Mean PWV Diff (%): 24.50, Std Dev: 27.66
Delta_T: -1373 min, Count: 459, Mean PWV Diff (%): 24.26, Std Dev: 29.68
Delta_T: -1368 min, Count: 465, Mean PWV Diff (%): 25.77, Std Dev: 30.52
Delta_T: -1363 min, Count: 464, Mean PWV Diff (%): 25.51, Std Dev: 30.31
Delta_T: -1358 min, Count: 455, Mean PWV Diff (%): 24.78, Std Dev: 28.18
Delta_T: -1353 min, Count: 460, Mean PWV Diff (%): 24.82, Std Dev: 27.74
Delta_T: -1348 min, Count: 458, Mean PWV Diff (%): 25.20, Std Dev: 27.49
Delta_T: -1343 min, Count: 454, Mean PWV Diff (%): 25.22, Std Dev: 29.21
Delta_T: -1338 min, Count: 463, Mean PWV Diff (%): 24.60, Std Dev: 28.15
Delta_T: -1333 min, Count: 464, Mean PWV Diff (%): 25.61, Std Dev: 29.21
Delta_T: -1328 min, Count: 470, Mean PWV Diff (%): 26.43, Std Dev: 30.53
Delta_T: -1318 min, Count: 467, Mean PWV Diff (%): 24.56, Std Dev: 29.88
