Delta_T: -118 min, Count: 511, Mean PWV Diff (%): 23.81, Std Dev: 10.90
Delta_T: -113 min, Count: 511, Mean PWV Diff (%): 23.83, Std Dev: 10.92
Delta_T: -108 min, Count: 511, Mean PWV Diff (%): 23.82, Std Dev: 10.96
Delta_T: -103 min, Count: 511, Mean PWV Diff (%): 23.82, Std Dev: 11.12
Delta_T: -98 min, Count: 511, Mean PWV Diff (%): 23.84, Std Dev: 11.29
Delta_T: -93 min, Count: 511, Mean PWV Diff (%): 23.88, Std Dev: 11.50
Delta_T: -88 min, Count: 511, Mean PWV Diff (%): 23.84, Std Dev: 11.68
Delta_T: -83 min, Count: 511, Mean PWV Diff (%): 23.99, Std Dev: 12.09
Delta_T: -78 min, Count: 511, Mean PWV Diff (%): 23.99, Std Dev: 12.34
Delta_T: -73 min, Count: 511, Mean PWV Diff (%): 23.98, Std Dev: 12.50
Delta_T: -68 min, Count: 511, Mean PWV Diff (%): 23.75, Std Dev: 12.68
Delta_T: -58 min, Count: 286, Mean PWV Diff (%): 23.85, Std Dev: 15.93
Delta_T: -53 min, Count: 286, Mean PWV Diff (%): 23.93, Std Dev: 16.25
Delta_T: -48 min, Count: 286, Mean PWV Diff (%): 23.93, Std Dev: 16.30
Delta_T: -43 min, Count: 286, Mean PWV Diff (%): 24.00, Std Dev: 16.58
Delta_T: -38 min, Count: 286, Mean PWV Diff (%): 23.98, Std Dev: 16.91
Delta_T: -33 min, Count: 286, Mean PWV Diff (%): 23.84, Std Dev: 17.06
Delta_T: -28 min, Count: 286, Mean PWV Diff (%): 23.85, Std Dev: 17.22
Delta_T: -23 min, Count: 286, Mean PWV Diff (%): 23.79, Std Dev: 17.34
Delta_T: -18 min, Count: 286, Mean PWV Diff (%): 23.84, Std Dev: 17.59
Delta_T: -13 min, Count: 286, Mean PWV Diff (%): 23.76, Std Dev: 17.73
Delta_T: -8 min, Count: 286, Mean PWV Diff (%): 23.55, Std Dev: 17.73
Delta_T: 61 min, Count: 519, Mean PWV Diff (%): 24.75, Std Dev: 18.66
Delta_T: 66 min, Count: 518, Mean PWV Diff (%): 24.88, Std Dev: 18.94
Delta_T: 71 min, Count: 518, Mean PWV Diff (%): 25.04, Std Dev: 19.19
Delta_T: 76 min, Count: 519, Mean PWV Diff (%): 25.07, Std Dev: 19.47
Delta_T: 81 min, Count: 519, Mean PWV Diff (%): 24.97, Std Dev: 19.65
Delta_T: 86 min, Count: 519, Mean PWV Diff (%): 24.96, Std Dev: 19.75
Delta_T: 91 min, Count: 519, Mean PWV Diff (%): 24.99, Std Dev: 19.92
Delta_T: 96 min, Count: 519, Mean PWV Diff (%): 24.99, Std Dev: 20.20
Delta_T: 101 min, Count: 519, Mean PWV Diff (%): 24.91, Std Dev: 20.25
Delta_T: 106 min, Count: 519, Mean PWV Diff (%): 24.73, Std Dev: 20.36
Delta_T: 112 min, Count: 519, Mean PWV Diff (%): 24.47, Std Dev: 20.54
