am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-01-28 22:01:35, 1001.1, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:06:38, 994.708, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:11:40, 975.673, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:16:43, 968.986, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:21:45, 971.778, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:26:48, 976.697, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:31:50, 977.723, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:36:52, 980.999, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:41:55, 982.782, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:46:57, 974.156, 2024-01-29 00:00:00, 820.0 
2024-01-28 22:52:00, 970.088, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:01:36, 926.877, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:06:39, 925.071, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:11:41, 923.165, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:16:43, 923.781, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:21:46, 927.083, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:26:48, 932.638, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:31:51, 933.087, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:36:53, 930.798, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:41:55, 929.971, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:46:58, 934.263, 2024-01-29 00:00:00, 820.0 
2024-01-29 01:52:00, 939.572, 2024-01-29 00:00:00, 820.0 
