TIME, am_PWV(um), balloon_PWV(um) 
2024-01-22 11:01:36, 927.884, 810.0 
2024-01-22 11:06:38, 927.254, 810.0 
2024-01-22 11:11:41, 925.733, 810.0 
2024-01-22 11:16:43, 924.842, 810.0 
2024-01-22 11:21:45, 925.116, 810.0 
2024-01-22 11:26:48, 926.076, 810.0 
2024-01-22 11:31:50, 924.934, 810.0 
2024-01-22 11:36:53, 923.428, 810.0 
2024-01-22 11:41:55, 921.333, 810.0 
2024-01-22 11:46:57, 920.685, 810.0 
2024-01-22 11:52:00, 917.904, 810.0 
2024-01-22 11:01:36, 927.884, 810.0 
2024-01-22 11:06:38, 927.254, 810.0 
2024-01-22 11:11:41, 925.733, 810.0 
2024-01-22 11:16:43, 924.842, 810.0 
2024-01-22 11:21:45, 925.116, 810.0 
2024-01-22 11:26:48, 926.076, 810.0 
2024-01-22 11:31:50, 924.934, 810.0 
2024-01-22 11:36:53, 923.428, 810.0 
2024-01-22 11:41:55, 921.333, 810.0 
2024-01-22 11:46:57, 920.685, 810.0 
2024-01-22 11:52:00, 917.904, 810.0 
