datetime,PWV,station
2024-01-01 00:00:00,1.59,SouthPole
2024-01-01 12:00:00,1.65,SouthPole
2024-01-02 12:00:00,1.43,SouthPole
2024-01-03 00:00:00,1.46,SouthPole
2024-01-03 12:00:00,1.32,SouthPole
2024-01-04 00:00:00,1.3,SouthPole
2024-01-04 12:00:00,1.25,SouthPole
2024-01-05 00:00:00,0.73,SouthPole
2024-01-05 12:00:00,0.64,SouthPole
2024-01-06 00:00:00,0.78,SouthPole
2024-01-06 12:00:00,0.71,SouthPole
2024-01-07 00:00:00,0.79,SouthPole
2024-01-07 12:00:00,0.72,SouthPole
2024-01-08 00:00:00,0.79,SouthPole
2024-01-08 12:00:00,0.78,SouthPole
2024-01-09 00:00:00,0.57,SouthPole
2024-01-09 12:00:00,0.9,SouthPole
2024-01-10 00:00:00,1.17,SouthPole
2024-01-10 12:00:00,1.01,SouthPole
2024-01-11 00:00:00,0.94,SouthPole
2024-01-11 09:00:00,0.86,SouthPole
2024-01-12 00:00:00,0.76,SouthPole
2024-01-12 12:00:00,0.84,SouthPole
2024-01-13 00:00:00,0.76,SouthPole
2024-01-13 12:00:00,0.8,SouthPole
2024-01-14 00:00:00,0.8,SouthPole
2024-01-14 12:00:00,0.84,SouthPole
2024-01-15 12:00:00,0.62,SouthPole
2024-01-16 00:00:00,0.52,SouthPole
2024-01-16 12:00:00,0.5,SouthPole
2024-01-17 00:00:00,0.68,SouthPole
2024-01-17 12:00:00,0.56,SouthPole
2024-01-18 12:00:00,0.76,SouthPole
2024-01-19 00:00:00,0.83,SouthPole
2024-01-19 12:00:00,0.88,SouthPole
2024-01-20 00:00:00,0.97,SouthPole
2024-01-20 12:00:00,1.07,SouthPole
2024-01-21 00:00:00,1.13,SouthPole
2024-01-21 12:00:00,0.97,SouthPole
2024-01-22 00:00:00,0.95,SouthPole
2024-01-22 12:00:00,0.81,SouthPole
2024-01-23 00:00:00,0.63,SouthPole
2024-01-23 12:00:00,0.87,SouthPole
2024-01-24 00:00:00,0.76,SouthPole
2024-01-24 12:00:00,0.81,SouthPole
2024-01-25 00:00:00,0.78,SouthPole
2024-01-25 12:00:00,0.76,SouthPole
2024-01-26 00:00:00,0.74,SouthPole
2024-01-26 12:00:00,0.73,SouthPole
2024-01-27 00:00:00,0.63,SouthPole
2024-01-27 12:00:00,0.68,SouthPole
2024-01-28 00:00:00,0.9,SouthPole
2024-01-28 12:00:00,0.88,SouthPole
2024-01-29 00:00:00,0.82,SouthPole
2024-01-29 12:00:00,0.73,SouthPole
2024-01-30 00:00:00,0.88,SouthPole
2024-01-30 12:00:00,0.98,SouthPole
2024-01-31 00:00:00,1.01,SouthPole
2024-01-31 12:00:00,0.97,SouthPole
