DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20260209,090135.772958,090135.772958,0.0,1054 um_pwv,1286.7 um_pwv,35.0,2.089 K,2.48548
20260209,090136.835942,090136.835942,0.0,1056.33 um_pwv,1289.54 um_pwv,35.0,2.023 K,2.49099
20260209,090137.795450,090137.795450,0.0,1058.59 um_pwv,1292.3 um_pwv,35.0,2.048 K,2.49633
20260209,090138.752705,090138.752705,0.0,1061.55 um_pwv,1295.91 um_pwv,35.0,0.7034 K,2.50332
20260209,090139.713082,090139.713082,0.0,1064.1 um_pwv,1299.02 um_pwv,35.0,1.225 K,2.50933
20260209,090140.671920,090140.671920,0.0,1064.48 um_pwv,1299.49 um_pwv,35.0,1.23 K,2.51024
20260209,090141.632061,090141.632061,0.0,1066.5 um_pwv,1301.96 um_pwv,35.0,1.335 K,2.51502
20260209,090142.592118,090142.592118,0.0,1069.35 um_pwv,1305.44 um_pwv,35.0,1.218 K,2.52175
20260209,090143.555119,090143.555119,0.0,1068.39 um_pwv,1304.26 um_pwv,35.0,1.198 K,2.51948
20260209,090144.516520,090144.516520,0.0,1069.11 um_pwv,1305.15 um_pwv,35.0,1.175 K,2.52119
20260209,090145.476377,090145.476377,0.0,1065.13 um_pwv,1300.29 um_pwv,35.0,0.7117 K,2.51179
20260209,090146.432966,090146.432966,0.0,1065.84 um_pwv,1301.16 um_pwv,35.0,0.7846 K,2.51347
20260209,090147.393791,090147.393791,0.0,1069.97 um_pwv,1306.19 um_pwv,35.0,0.8191 K,2.52322
20260209,090148.355180,090148.355180,0.0,1067.81 um_pwv,1303.55 um_pwv,35.0,0.7407 K,2.51811
20260209,090149.315818,090149.315818,0.0,1071.85 um_pwv,1308.49 um_pwv,35.0,0.7384 K,2.52766
20260209,090150.275177,090150.275177,0.0,1073.88 um_pwv,1310.96 um_pwv,35.0,0.729 K,2.53245
20260209,090151.234347,090151.234347,0.0,1074.37 um_pwv,1311.56 um_pwv,35.0,0.7653 K,2.53361
20260209,090152.194844,090152.194844,0.0,1078.77 um_pwv,1316.93 um_pwv,35.0,0.8094 K,2.54401
20260209,090153.153583,090153.153583,0.0,1080.1 um_pwv,1318.56 um_pwv,35.0,1.048 K,2.54716
20260209,090154.116740,090154.116740,0.0,1084.5 um_pwv,1323.93 um_pwv,35.0,1.111 K,2.55755
