TIME,take TIME (seconds)
read results2602/20260209_010134_scanAz_slow.txt,0.0105
results2602/20260209S010135.332105E010135.332105_scanAz_slow.dat,3.6154
results2602/20260209S010136.393014E010136.393014_scanAz_slow.dat,3.6316
results2602/20260209S010137.353178E010137.353178_scanAz_slow.dat,3.6397
results2602/20260209S010138.312426E010138.312426_scanAz_slow.dat,3.6146
results2602/20260209S010139.274201E010139.274201_scanAz_slow.dat,3.6484
results2602/20260209S010140.232459E010140.232459_scanAz_slow.dat,3.6482
results2602/20260209S010141.189418E010141.189418_scanAz_slow.dat,3.6510
results2602/20260209S010142.153441E010142.153441_scanAz_slow.dat,3.6491
results2602/20260209S010143.109410E010143.109410_scanAz_slow.dat,3.6770
results2602/20260209S010144.071178E010144.071178_scanAz_slow.dat,3.6550
results2602/20260209S010145.029768E010145.029768_scanAz_slow.dat,3.6353
results2602/20260209S010145.991013E010145.991013_scanAz_slow.dat,3.6488
results2602/20260209S010146.952269E010146.952269_scanAz_slow.dat,3.6449
results2602/20260209S010147.910659E010147.910659_scanAz_slow.dat,3.6368
results2602/20260209S010148.869381E010148.869381_scanAz_slow.dat,3.6509
results2602/20260209S010149.830691E010149.830691_scanAz_slow.dat,3.6510
results2602/20260209S010150.791554E010150.791554_scanAz_slow.dat,3.6585
results2602/20260209S010151.751458E010151.751458_scanAz_slow.dat,3.6788
results2602/20260209S010152.710976E010152.710976_scanAz_slow.dat,3.6677
results2602/20260209S010153.671163E010153.671163_scanAz_slow.dat,3.6630
results2602/20260209S010154.634329E010154.634329_scanAz_slow.dat,3.6685
results2602/20260209S010155.592072E010155.592072_scanAz_slow.dat,3.5851
results2602/20260209S010156.550736E010156.550736_scanAz_slow.dat,3.6660
results2602/20260209S010157.512010E010157.512010_scanAz_slow.dat,3.6460
results2602/20260209S010158.470945E010158.470945_scanAz_slow.dat,3.6193
results2602/20260209S010159.433107E010159.433107_scanAz_slow.dat,3.6322
results2602/20260209S010200.392306E010200.392306_scanAz_slow.dat,3.6131
results2602/20260209S010201.353505E010201.353505_scanAz_slow.dat,3.6444
results2602/20260209S010202.312917E010202.312917_scanAz_slow.dat,3.6573
results2602/20260209S010203.270889E010203.270889_scanAz_slow.dat,3.6205
results2602/20260209S010204.230873E010204.230873_scanAz_slow.dat,3.6345
results2602/20260209S010205.190397E010205.190397_scanAz_slow.dat,3.6638
results2602/20260209S010206.148761E010206.148761_scanAz_slow.dat,3.6596
results2602/20260209S010207.108996E010207.108996_scanAz_slow.dat,3.6440
results2602/20260209S010208.071363E010208.071363_scanAz_slow.dat,3.6154
results2602/20260209S010209.029660E010209.029660_scanAz_slow.dat,3.6790
results2602/20260209S010209.988702E010209.988702_scanAz_slow.dat,3.6492
results2602/20260209S010210.954082E010210.954082_scanAz_slow.dat,3.5593
results2602/20260209S010211.913807E010211.913807_scanAz_slow.dat,3.4318
results2602/20260209S010212.871004E010212.871004_scanAz_slow.dat,3.4385
results2602/20260209S010213.830178E010213.830178_scanAz_slow.dat,3.4806
results2602/20260209S010214.790834E010214.790834_scanAz_slow.dat,3.5600
