DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20260210,130135.740837,130135.740837,0.0,823.462 um_pwv,1005.26 um_pwv,35.0,2.142 K,1.94070
20260210,130136.803600,130136.803600,0.0,823.677 um_pwv,1005.52 um_pwv,35.0,2.149 K,1.94121
20260210,130137.764067,130137.764067,0.0,824.787 um_pwv,1006.88 um_pwv,35.0,2.146 K,1.94383
20260210,130138.723664,130138.723664,0.0,825.488 um_pwv,1007.74 um_pwv,35.0,2.123 K,1.94549
20260210,130139.681904,130139.681904,0.0,827.925 um_pwv,1010.71 um_pwv,35.0,2.358 K,1.95125
20260210,130140.645546,130140.645546,0.0,829.819 um_pwv,1013.02 um_pwv,35.0,2.473 K,1.95572
20260210,130141.604578,130141.604578,0.0,833.319 um_pwv,1017.3 um_pwv,35.0,2.4 K,1.96399
20260210,130142.561740,130142.561740,0.0,835.78 um_pwv,1020.3 um_pwv,35.0,2.48 K,1.96981
20260210,130143.525665,130143.525665,0.0,836.016 um_pwv,1020.59 um_pwv,35.0,2.288 K,1.97037
20260210,130144.483663,130144.483663,0.0,836.481 um_pwv,1021.15 um_pwv,35.0,2.229 K,1.97147
20260210,130145.441886,130145.441886,0.0,838.134 um_pwv,1023.17 um_pwv,35.0,2.162 K,1.97537
20260210,130146.404249,130146.404249,0.0,836.337 um_pwv,1020.98 um_pwv,35.0,1.99 K,1.97113
20260210,130147.364189,130147.364189,0.0,834.213 um_pwv,1018.39 um_pwv,35.0,1.847 K,1.96611
20260210,130148.322853,130148.322853,0.0,836.936 um_pwv,1021.71 um_pwv,35.0,1.815 K,1.97254
20260210,130149.282762,130149.282762,0.0,838.351 um_pwv,1023.44 um_pwv,35.0,1.851 K,1.97588
20260210,130150.243459,130150.243459,0.0,839.48 um_pwv,1024.82 um_pwv,35.0,1.851 K,1.97855
20260210,130151.203215,130151.203215,0.0,840.962 um_pwv,1026.62 um_pwv,35.0,1.893 K,1.98206
20260210,130152.166973,130152.166973,0.0,843.688 um_pwv,1029.95 um_pwv,35.0,1.981 K,1.98850
20260210,130153.124484,130153.124484,0.0,848.437 um_pwv,1035.75 um_pwv,35.0,2.067 K,1.99972
20260210,130154.083801,130154.083801,0.0,849.422 um_pwv,1036.95 um_pwv,35.0,2.144 K,2.00205
20260210,130155.044240,130155.044240,0.0,851.521 um_pwv,1039.52 um_pwv,35.0,2.342 K,2.00701
20260210,130156.004153,130156.004153,0.0,850.723 um_pwv,1038.54 um_pwv,35.0,2.342 K,2.00512
20260210,130156.967932,130156.967932,0.0,848.71 um_pwv,1036.08 um_pwv,35.0,2.403 K,2.00036
20260210,130157.924310,130157.924310,0.0,846.91 um_pwv,1033.89 um_pwv,35.0,2.35 K,1.99611
20260210,130158.886223,130158.886223,0.0,842.709 um_pwv,1028.76 um_pwv,35.0,2.271 K,1.98619
20260210,130159.845920,130159.845920,0.0,840.132 um_pwv,1025.61 um_pwv,35.0,2.109 K,1.98009
20260210,130200.803971,130200.803971,0.0,838.321 um_pwv,1023.4 um_pwv,35.0,2.142 K,1.97581
20260210,130201.764731,130201.764731,0.0,834.522 um_pwv,1018.76 um_pwv,35.0,2.135 K,1.96684
20260210,130202.724226,130202.724226,0.0,832.198 um_pwv,1015.93 um_pwv,35.0,2.108 K,1.96134
20260210,130203.686110,130203.686110,0.0,827.508 um_pwv,1010.2 um_pwv,35.0,2.016 K,1.95026
20260210,130204.645116,130204.645116,0.0,824.837 um_pwv,1006.94 um_pwv,35.0,1.975 K,1.94395
20260210,130205.604193,130205.604193,0.0,823.453 um_pwv,1005.25 um_pwv,35.0,2.033 K,1.94068
20260210,130206.562613,130206.562613,0.0,822.6 um_pwv,1004.21 um_pwv,35.0,2.111 K,1.93866
20260210,130207.522189,130207.522189,0.0,826.406 um_pwv,1008.85 um_pwv,35.0,2.242 K,1.94766
20260210,130208.486690,130208.486690,0.0,826.845 um_pwv,1009.39 um_pwv,35.0,2.345 K,1.94870
20260210,130209.442816,130209.442816,0.0,828.661 um_pwv,1011.61 um_pwv,35.0,2.392 K,1.95299
20260210,130210.400994,130210.400994,0.0,830.433 um_pwv,1013.77 um_pwv,35.0,2.383 K,1.95717
20260210,130211.364203,130211.364203,0.0,834.46 um_pwv,1018.69 um_pwv,35.0,2.428 K,1.96669
20260210,130212.322078,130212.322078,0.0,834.955 um_pwv,1019.29 um_pwv,35.0,2.427 K,1.96786
20260210,130213.281951,130213.281951,0.0,837.608 um_pwv,1022.53 um_pwv,35.0,2.294 K,1.97413
20260210,130214.244356,130214.244356,0.0,837.092 um_pwv,1021.9 um_pwv,35.0,2.2 K,1.97291
20260210,130215.204421,130215.204421,0.0,838.714 um_pwv,1023.88 um_pwv,35.0,1.963 K,1.97674
20260210,130216.165493,130216.165493,0.0,834.852 um_pwv,1019.17 um_pwv,35.0,2.03 K,1.96762
20260210,130217.127956,130217.127956,0.0,837.059 um_pwv,1021.86 um_pwv,35.0,1.937 K,1.97283
20260210,130218.087220,130218.087220,0.0,837.307 um_pwv,1022.16 um_pwv,35.0,1.825 K,1.97342
20260210,130219.043328,130219.043328,0.0,838.693 um_pwv,1023.86 um_pwv,35.0,1.812 K,1.97669
20260210,130220.004711,130220.004711,0.0,840.879 um_pwv,1026.52 um_pwv,35.0,1.885 K,1.98186
20260210,130220.961559,130220.961559,0.0,840.953 um_pwv,1026.61 um_pwv,35.0,1.868 K,1.98203
20260210,130221.927246,130221.927246,0.0,845.49 um_pwv,1032.15 um_pwv,35.0,2.04 K,1.99276
20260210,130222.884444,130222.884444,0.0,850.061 um_pwv,1037.73 um_pwv,35.0,2.143 K,2.00356
