TIME,take TIME (seconds)
read results2602/20260210_170134_scanAz_slow.txt,0.0092
results2602/20260210S170135.597006E170135.597006_scanAz_slow.dat,3.8669
results2602/20260210S170136.658848E170136.658848_scanAz_slow.dat,3.8499
results2602/20260210S170137.616676E170137.616676_scanAz_slow.dat,3.6898
results2602/20260210S170138.579741E170138.579741_scanAz_slow.dat,3.7008
results2602/20260210S170139.539920E170139.539920_scanAz_slow.dat,3.7415
results2602/20260210S170140.499347E170140.499347_scanAz_slow.dat,3.8151
results2602/20260210S170141.460006E170141.460006_scanAz_slow.dat,3.6498
results2602/20260210S170142.417877E170142.417877_scanAz_slow.dat,3.6546
results2602/20260210S170143.383117E170143.383117_scanAz_slow.dat,3.7583
results2602/20260210S170144.337923E170144.337923_scanAz_slow.dat,3.8595
results2602/20260210S170145.301984E170145.301984_scanAz_slow.dat,3.7264
results2602/20260210S170146.262162E170146.262162_scanAz_slow.dat,4.3444
results2602/20260210S170147.220055E170147.220055_scanAz_slow.dat,4.3847
results2602/20260210S170148.178659E170148.178659_scanAz_slow.dat,3.9828
results2602/20260210S170149.141192E170149.141192_scanAz_slow.dat,3.9948
results2602/20260210S170150.101998E170150.101998_scanAz_slow.dat,4.1153
results2602/20260210S170151.058477E170151.058477_scanAz_slow.dat,4.2505
results2602/20260210S170152.020067E170152.020067_scanAz_slow.dat,4.2287
results2602/20260210S170152.978968E170152.978968_scanAz_slow.dat,4.2126
results2602/20260210S170153.946861E170153.946861_scanAz_slow.dat,4.0234
results2602/20260210S170154.901136E170154.901136_scanAz_slow.dat,4.0986
results2602/20260210S170155.858776E170155.858776_scanAz_slow.dat,4.1308
results2602/20260210S170156.821366E170156.821366_scanAz_slow.dat,4.0436
results2602/20260210S170157.782050E170157.782050_scanAz_slow.dat,4.0927
results2602/20260210S170158.738847E170158.738847_scanAz_slow.dat,4.2368
results2602/20260210S170159.699097E170159.699097_scanAz_slow.dat,4.0304
results2602/20260210S170200.659021E170200.659021_scanAz_slow.dat,4.2869
results2602/20260210S170201.619454E170201.619454_scanAz_slow.dat,4.3729
results2602/20260210S170202.578579E170202.578579_scanAz_slow.dat,4.3101
results2602/20260210S170203.540016E170203.540016_scanAz_slow.dat,4.3453
results2602/20260210S170204.498548E170204.498548_scanAz_slow.dat,4.2191
results2602/20260210S170205.460503E170205.460503_scanAz_slow.dat,4.1289
results2602/20260210S170206.419988E170206.419988_scanAz_slow.dat,4.2755
results2602/20260210S170207.378759E170207.378759_scanAz_slow.dat,4.3613
results2602/20260210S170208.341222E170208.341222_scanAz_slow.dat,4.2025
results2602/20260210S170209.299596E170209.299596_scanAz_slow.dat,4.1929
results2602/20260210S170210.260316E170210.260316_scanAz_slow.dat,4.3407
results2602/20260210S170211.223457E170211.223457_scanAz_slow.dat,4.1195
results2602/20260210S170212.180448E170212.180448_scanAz_slow.dat,4.1676
results2602/20260210S170213.141018E170213.141018_scanAz_slow.dat,4.1539
results2602/20260210S170214.100666E170214.100666_scanAz_slow.dat,4.2810
results2602/20260210S170215.060898E170215.060898_scanAz_slow.dat,4.0354
results2602/20260210S170216.021610E170216.021610_scanAz_slow.dat,4.2546
results2602/20260210S170216.982211E170216.982211_scanAz_slow.dat,4.1470
results2602/20260210S170217.942302E170217.942302_scanAz_slow.dat,4.0776
results2602/20260210S170218.899119E170218.899119_scanAz_slow.dat,4.3581
results2602/20260210S170219.859270E170219.859270_scanAz_slow.dat,4.1207
results2602/20260210S170220.818987E170220.818987_scanAz_slow.dat,4.1520
results2602/20260210S170221.778392E170221.778392_scanAz_slow.dat,4.1842
results2602/20260210S170222.737346E170222.737346_scanAz_slow.dat,4.2782
