Time,AZ,Zen
2026-02-02 21:01:36.111481,2.625,35.0
2026-02-02 21:01:37.193327,14.55,35.0
2026-02-02 21:01:38.161750,26.4,35.0
2026-02-02 21:01:39.119318,38.1,35.0
2026-02-02 21:01:40.085515,49.875,35.0
2026-02-02 21:01:41.040915,61.5,35.0
2026-02-02 21:01:42.006353,73.2,35.0
2026-02-02 21:01:42.966217,84.9,35.0
2026-02-02 21:01:43.923941,96.675,35.0
2026-02-02 21:01:44.882765,108.375,35.0
2026-02-02 21:01:45.839739,120.075,35.0
2026-02-02 21:01:46.803020,131.775,35.0
2026-02-02 21:01:47.761716,143.475,35.0
2026-02-02 21:01:48.725895,155.175,35.0
2026-02-02 21:01:49.684547,166.95,35.0
2026-02-02 21:01:50.643693,178.65,35.0
2026-02-02 21:01:51.601605,190.35,35.0
2026-02-02 21:01:52.563963,202.05,35.0
2026-02-02 21:01:53.525577,213.75,35.0
2026-02-02 21:01:54.483342,225.45,35.0
2026-02-02 21:01:55.441301,237.075,35.0
2026-02-02 21:01:56.404311,248.85,35.0
2026-02-02 21:01:57.364559,260.55,35.0
2026-02-02 21:01:58.326297,272.175,35.0
2026-02-02 21:01:59.281631,283.95,35.0
2026-02-02 21:02:00.239777,295.575,35.0
2026-02-02 21:02:01.203092,307.35,35.0
2026-02-02 21:02:02.163408,319.05,35.0
2026-02-02 21:02:03.123881,330.75,35.0
2026-02-02 21:02:04.082133,342.45,35.0
2026-02-02 21:02:05.041640,354.225,35.0
2026-02-02 21:02:06.001832,365.85,35.0
2026-02-02 21:02:06.961775,377.475,35.0
2026-02-02 21:02:07.921906,389.175,35.0
2026-02-02 21:02:08.883517,400.875,35.0
2026-02-02 21:02:09.844408,412.575,35.0
2026-02-02 21:02:10.804401,424.275,35.0
2026-02-02 21:02:11.764909,435.975,35.0
2026-02-02 21:02:12.724633,447.675,35.0
2026-02-02 21:02:13.682052,459.375,35.0
2026-02-02 21:02:14.643200,471.075,35.0
2026-02-02 21:02:15.602335,482.775,35.0
2026-02-02 21:02:16.563708,494.4,35.0
2026-02-02 21:02:17.525078,506.1,35.0
2026-02-02 21:02:18.482388,517.8,35.0
2026-02-02 21:02:19.444238,529.5,35.0
2026-02-02 21:02:20.405227,541.2,35.0
2026-02-02 21:02:21.362345,552.9,35.0
2026-02-02 21:02:22.326272,564.525,35.0
2026-02-02 21:02:23.281764,576.3,35.0
2026-02-02 21:02:24.249950,587.925,35.0
2026-02-02 21:02:25.202947,599.625,35.0
2026-02-02 21:02:26.165877,611.325,35.0
2026-02-02 21:02:27.123656,623.1,35.0
2026-02-02 21:02:28.080828,634.8,35.0
2026-02-02 21:02:29.045401,646.575,35.0
2026-02-02 21:02:30.008211,658.275,35.0
2026-02-02 21:02:30.962246,669.975,35.0
2026-02-02 21:02:31.925052,681.675,35.0
2026-02-02 21:02:32.886755,693.45,35.0
2026-02-02 21:02:33.842659,705.075,35.0
2026-02-02 21:02:34.805102,716.775,35.0
2026-02-02 21:02:35.762067,728.4,35.0
2026-02-02 21:02:36.722126,740.175,35.0
2026-02-02 21:02:37.685267,751.8,35.0
2026-02-02 21:02:38.644076,763.5,35.0
2026-02-02 21:02:39.604959,775.2,35.0
2026-02-02 21:02:40.565382,786.9,35.0
2026-02-02 21:02:41.526658,798.6,35.0
2026-02-02 21:02:42.485213,810.3,35.0
2026-02-02 21:02:43.445260,822.0,35.0
2026-02-02 21:02:44.405167,833.7,35.0
2026-02-02 21:02:45.366440,845.4,35.0
2026-02-02 21:02:46.326215,857.1,35.0
2026-02-02 21:02:47.285297,868.725,35.0
2026-02-02 21:02:48.246503,880.5,35.0
2026-02-02 21:02:49.203060,892.2,35.0
2026-02-02 21:02:50.164764,903.9,35.0
2026-02-02 21:02:51.126046,915.6,35.0
2026-02-02 21:02:52.083948,927.3,35.0
2026-02-02 21:02:53.047191,938.925,35.0
2026-02-02 21:02:54.002805,950.625,35.0
2026-02-02 21:02:54.965991,962.325,35.0
2026-02-02 21:02:55.923342,974.025,35.0
2026-02-02 21:02:56.882709,985.65,35.0
2026-02-02 21:02:57.844056,997.35,35.0
2026-02-02 21:02:58.805201,1009.05,35.0
2026-02-02 21:02:59.765656,1020.75,35.0
2026-02-02 21:03:00.723114,1032.45,35.0
2026-02-02 21:03:01.686354,1044.225,35.0
2026-02-02 21:03:02.646582,1055.925,35.0
2026-02-02 21:03:03.606069,1067.55,35.0
2026-02-02 21:03:04.565868,1079.325,35.0
2026-02-02 21:03:05.525769,1091.025,35.0
2026-02-02 21:03:06.481618,1102.65,35.0
2026-02-02 21:03:07.447354,1114.35,35.0
2026-02-02 21:03:08.403173,1126.05,35.0
2026-02-02 21:03:09.364401,1137.75,35.0
2026-02-02 21:03:10.325276,1149.45,35.0
2026-02-02 21:03:11.283994,1161.15,35.0
2026-02-02 21:03:12.244374,1172.85,35.0
2026-02-02 21:03:13.205072,1184.55,35.0
2026-02-02 21:03:14.163420,1196.25,35.0
2026-02-02 21:03:15.124936,1207.95,35.0
2026-02-02 21:03:16.083505,1219.65,35.0
