# WVR data file, version 2017-12-05
#As Scanning Observation 
#
TIME TIMEWVR CH0C CH0A CH0H CH0B CH1C CH1A CH1H CH1B CH2C CH2A CH2H CH2B CH3C CH3A CH3H CH3B EL AZ
2025-01-01T02:01:36.339059 93.5999984741 0 0 0 61276 0 0 0 60981 0 0 0 49526 0 0 0 45991 55.0 2.625
2025-01-01T02:01:36.530696 93.7440032959 0 0 69949 0 0 0 74837 0 0 0 63787 0 0 0 58632 0 55.0 3.3
2025-01-01T02:01:36.553713 93.7919998169 0 0 0 61285 0 0 0 60973 0 0 0 49514 0 0 0 45963 55.0 3.675
2025-01-01T02:01:36.585561 93.8399963379 66430 0 0 0 70721 0 0 0 60138 0 0 0 55529 0 0 0 55.0 4.275
2025-01-01T02:01:36.634668 93.8880004883 0 61302 0 0 0 60970 0 0 0 49527 0 0 0 45981 0 0 55.0 4.875
2025-01-01T02:01:36.683813 93.9359970093 0 0 69971 0 0 0 74865 0 0 0 63809 0 0 0 58678 0 55.0 5.4
2025-01-01T02:01:36.727435 93.9840011597 0 0 0 61309 0 0 0 60982 0 0 0 49535 0 0 0 45967 55.0 6.0
2025-01-01T02:01:36.776488 94.0319976807 66436 0 0 0 70726 0 0 0 60154 0 0 0 55546 0 0 0 55.0 6.6
2025-01-01T02:01:36.825626 94.0800018311 0 61321 0 0 0 60991 0 0 0 49539 0 0 0 45991 0 0 55.0 7.2
2025-01-01T02:01:36.874746 94.1279983521 0 0 69966 0 0 0 74846 0 0 0 63809 0 0 0 58656 0 55.0 7.8
2025-01-01T02:01:36.923833 94.1760025024 0 0 0 61318 0 0 0 60984 0 0 0 49549 0 0 0 45987 55.0 8.325
2025-01-01T02:01:36.967173 94.2239990234 66453 0 0 0 70725 0 0 0 60159 0 0 0 55548 0 0 0 55.0 8.925
2025-01-01T02:01:37.016622 94.2720031738 0 61319 0 0 0 60969 0 0 0 49537 0 0 0 45987 0 0 55.0 9.525
2025-01-01T02:01:37.065750 94.3199996948 0 0 69967 0 0 0 74855 0 0 0 63798 0 0 0 58675 0 55.0 10.125
2025-01-01T02:01:37.114872 94.3679962158 0 0 0 61288 0 0 0 60998 0 0 0 49538 0 0 0 45992 55.0 10.65
2025-01-01T02:01:37.158544 94.4160003662 66433 0 0 0 70730 0 0 0 60154 0 0 0 55550 0 0 0 55.0 11.25
2025-01-01T02:01:37.207982 94.4639968872 0 61295 0 0 0 60979 0 0 0 49540 0 0 0 45989 0 0 55.0 11.85
2025-01-01T02:01:37.257670 94.5120010376 0 0 69978 0 0 0 74849 0 0 0 63817 0 0 0 58665 0 55.0 12.45
2025-01-01T02:01:37.306725 94.5599975586 0 0 0 61306 0 0 0 60980 0 0 0 49535 0 0 0 45985 55.0 13.05
