DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20240103,10135.64147,11149.18966,613.548184,1694.67 um_pwv,2068.81 um_pwv,35,4.029 K,3.99918
20240103,11150.15038,12203.59588,613.445501,1693.51 um_pwv,2067.4 um_pwv,35,4.042 K,3.99645
20240103,12204.55768,13218.53176,613.974079,1690.42 um_pwv,2063.62 um_pwv,35,4.113 K,3.98914
20240103,13219.48991,14233.51452,614.024614,1683.89 um_pwv,2055.65 um_pwv,35,4.069 K,3.97373
20240103,14234.47662,15247.92397,613.44735,1690.33 um_pwv,2063.51 um_pwv,35,3.945 K,3.98894
20240103,15248.8864,15635.44587,226.559473,1695.16 um_pwv,2069.4 um_pwv,35,3.953 K,4.00034
20240103,20136.45371,21151.87591,615.422205,1698.76 um_pwv,2073.81 um_pwv,35,3.956 K,4.00886
20240103,21152.83299,22207.14959,614.316599,1690.18 um_pwv,2063.33 um_pwv,35,3.919 K,3.98858
20240103,22208.10535,23225.87752,617.772168,1688.15 um_pwv,2060.85 um_pwv,35,3.748 K,3.98379
20240103,23226.83454,24240.52406,613.68952,1683.89 um_pwv,2055.65 um_pwv,35,3.789 K,3.97373
20240103,24241.48593,25254.93309,613.447156,1682.58 um_pwv,2054.05 um_pwv,35,3.826 K,3.97063
20240103,25255.88951,25635.73292,219.843414,1679.96 um_pwv,2050.86 um_pwv,35,3.828 K,3.96445
20240103,30136.30882,31149.8597,613.550882,1672.79 um_pwv,2042.1 um_pwv,35,3.867 K,3.94751
20240103,31150.82158,32204.27008,613.448499,1670.42 um_pwv,2039.2 um_pwv,35,3.935 K,3.9419
20240103,32205.2287,33218.67423,613.445532,1676.13 um_pwv,2046.17 um_pwv,35,4.028 K,3.95538
20240103,33219.6361,34233.08532,613.449212,1676.75 um_pwv,2046.93 um_pwv,35,4.095 K,3.95685
20240103,34234.0475,35247.49264,613.445148,1676.13 um_pwv,2046.17 um_pwv,35,4.035 K,3.95538
20240103,35248.45446,35635.97572,227.521253,1676.13 um_pwv,2046.17 um_pwv,35,3.971 K,3.95538
20240103,50136.4059,51150.72352,614.317614,1683.89 um_pwv,2055.65 um_pwv,35,3.648 K,3.97373
20240103,51151.68127,52205.1291,613.447821,1687.14 um_pwv,2059.62 um_pwv,35,3.558 K,3.98141
20240103,52206.08936,53219.53655,613.447187,1695.13 um_pwv,2069.37 um_pwv,35,3.572 K,4.00027
20240103,53220.49935,54233.94286,613.443514,1702.1 um_pwv,2077.88 um_pwv,35,3.641 K,4.01674
20240103,54234.90651,55248.35591,613.449404,1712.84 um_pwv,2090.99 um_pwv,35,3.809 K,4.04212
20240103,55249.31342,55635.87419,226.560772,1718.75 um_pwv,2098.2 um_pwv,35,3.775 K,4.05607
20240103,60136.21816,61149.7615,613.543343,1718.34 um_pwv,2097.71 um_pwv,35,3.864 K,4.05512
20240103,61150.71785,62204.1681,613.450251,1720.93 um_pwv,2100.86 um_pwv,35,3.886 K,4.06122
20240103,62205.12503,63218.57582,613.450794,1715.2 um_pwv,2093.88 um_pwv,35,3.868 K,4.0477
