TIME,take TIME (seconds)
read results2409/20240901_010133_scanAz_slow.txt,0.0063
results2409/20240901S010134.989393E011148.537947_scanAz_slow.dat,21.0819
results2409/20240901S011149.500636E012202.948041_scanAz_slow.dat,21.0795
results2409/20240901S012203.908293E013217.354581_scanAz_slow.dat,21.1147
results2409/20240901S013218.311842E014231.760831_scanAz_slow.dat,21.0871
results2409/20240901S014232.724174E015246.167796_scanAz_slow.dat,21.0731
results2409/20240901S015247.130423E015634.648286_scanAz_slow.dat,21.1059
read results2409/20240901_020119_scanAz_slow.txt,0.0051
results2409/20240901S020120.491409E021134.034959_scanAz_slow.dat,21.0847
results2409/20240901S021134.997740E022148.443183_scanAz_slow.dat,21.0645
results2409/20240901S022149.406109E023202.849374_scanAz_slow.dat,21.0985
results2409/20240901S023203.812341E024217.261025_scanAz_slow.dat,21.0970
results2409/20240901S024218.218831E025231.667776_scanAz_slow.dat,21.0950
results2409/20240901S025232.624928E025620.147051_scanAz_slow.dat,21.0748
read results2409/20240901_030114_scanAz_slow.txt,0.0126
results2409/20240901S030115.893701E031129.473710_scanAz_slow.dat,21.1088
results2409/20240901S031130.429774E032143.880123_scanAz_slow.dat,21.0707
results2409/20240901S032144.837325E033158.285675_scanAz_slow.dat,21.0991
results2409/20240901S033159.244162E034212.692152_scanAz_slow.dat,21.0911
results2409/20240901S034213.651552E035227.099608_scanAz_slow.dat,21.1426
results2409/20240901S035228.058913E035615.583522_scanAz_slow.dat,21.1100
read results2409/20240901_050135_scanAz_slow.txt,0.0133
results2409/20240901S050136.428291E051150.004184_scanAz_slow.dat,21.0962
results2409/20240901S051150.965738E052204.415537_scanAz_slow.dat,21.0649
results2409/20240901S052205.372171E053218.823080_scanAz_slow.dat,21.0911
results2409/20240901S053219.779702E054233.229627_scanAz_slow.dat,21.0879
results2409/20240901S054234.185342E055247.638391_scanAz_slow.dat,21.0880
results2409/20240901S055248.594755E055636.116867_scanAz_slow.dat,21.1931
read results2409/20240901_060108_scanAz_slow.txt,0.0066
results2409/20240901S060110.008635E061123.554248_scanAz_slow.dat,21.0828
results2409/20240901S061124.510548E062137.959213_scanAz_slow.dat,21.0482
results2409/20240901S062138.921948E063152.367566_scanAz_slow.dat,21.0753
results2409/20240901S063153.329586E064206.778589_scanAz_slow.dat,21.0883
results2409/20240901S064207.734650E065221.186677_scanAz_slow.dat,21.0643
results2409/20240901S065222.142654E065609.665519_scanAz_slow.dat,21.0836
read results2409/20240901_070108_scanAz_slow.txt,0.0132
results2409/20240901S070109.426435E071122.973807_scanAz_slow.dat,21.0636
results2409/20240901S071123.934773E072137.384017_scanAz_slow.dat,21.0558
results2409/20240901S072138.339963E073151.788448_scanAz_slow.dat,21.0987
results2409/20240901S073152.750800E074206.198748_scanAz_slow.dat,21.0944
results2409/20240901S074207.155952E075220.604606_scanAz_slow.dat,21.0941
results2409/20240901S075221.567083E075609.085872_scanAz_slow.dat,21.0796
read results2409/20240901_090135_scanAz_slow.txt,0.0133
results2409/20240901S090136.206629E091149.752752_scanAz_slow.dat,21.0908
results2409/20240901S091150.714390E092204.160469_scanAz_slow.dat,21.0766
results2409/20240901S092205.117806E093218.564392_scanAz_slow.dat,21.0937
results2409/20240901S093219.527987E094232.972234_scanAz_slow.dat,21.0892
results2409/20240901S094233.935176E095247.382708_scanAz_slow.dat,21.1585
results2409/20240901S095248.339944E095635.862128_scanAz_slow.dat,21.0658
read results2409/20240901_100134_scanAz_slow.txt,0.0135
results2409/20240901S100136.017594E101149.555238_scanAz_slow.dat,21.0940
results2409/20240901S101150.517085E102203.964320_scanAz_slow.dat,21.1648
results2409/20240901S102204.921913E103218.370801_scanAz_slow.dat,21.0993
results2409/20240901S103219.327695E104232.777481_scanAz_slow.dat,21.0899
results2409/20240901S104233.740147E105247.185486_scanAz_slow.dat,21.0674
results2409/20240901S105248.142426E105635.666869_scanAz_slow.dat,21.1225
read results2409/20240901_110107_scanAz_slow.txt,0.0134
results2409/20240901S110108.900111E111122.480202_scanAz_slow.dat,21.0908
results2409/20240901S111123.438657E112136.882834_scanAz_slow.dat,21.0896
results2409/20240901S112137.847115E113151.293227_scanAz_slow.dat,21.0831
results2409/20240901S113152.251084E114205.699562_scanAz_slow.dat,21.1060
results2409/20240901S114206.663110E115220.109687_scanAz_slow.dat,21.0914
results2409/20240901S115221.067233E115608.589287_scanAz_slow.dat,21.0630
read results2409/20240901_130135_scanAz_slow.txt,0.0134
results2409/20240901S130136.585428E131150.166707_scanAz_slow.dat,21.0843
results2409/20240901S131151.124623E132204.571690_scanAz_slow.dat,21.0789
results2409/20240901S132205.533529E133218.988870_scanAz_slow.dat,21.1104
results2409/20240901S133219.940284E134233.387553_scanAz_slow.dat,21.0940
results2409/20240901S134234.350287E135247.796366_scanAz_slow.dat,21.0845
results2409/20240901S135248.758442E135636.278057_scanAz_slow.dat,21.0813
read results2409/20240901_140108_scanAz_slow.txt,0.0134
results2409/20240901S140109.213842E141122.752113_scanAz_slow.dat,21.0902
