DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20240401,010135.828335,010637.369994,301.541659,632.74 um_pwv,772.433 um_pwv,35.0,2.457 K,1.48997
20240401,010638.331796,011139.773841,301.442045,634.412 um_pwv,774.474 um_pwv,35.0,2.414 K,1.49392
20240401,011140.736032,011642.179992,301.44396,634.787 um_pwv,774.932 um_pwv,35.0,2.397 K,1.49481
20240401,011643.137177,012144.585098,301.447921,635.006 um_pwv,775.2 um_pwv,35.0,2.396 K,1.49533
20240401,012145.542003,012646.988711,301.446708,635.57 um_pwv,775.888 um_pwv,35.0,2.435 K,1.49666
20240401,012647.945612,013149.393854,301.448242,635.602 um_pwv,775.926 um_pwv,35.0,2.412 K,1.49674
20240401,013150.351721,013651.793222,301.441501,634.924 um_pwv,775.099 um_pwv,35.0,2.448 K,1.49513
20240401,013652.756823,014154.199024,301.442201,635.696 um_pwv,776.041 um_pwv,35.0,2.463 K,1.49696
20240401,014155.162023,014656.604521,301.442498,636.527 um_pwv,777.056 um_pwv,35.0,2.537 K,1.49892
20240401,014657.562653,015159.006402,301.443749,634.505 um_pwv,774.588 um_pwv,35.0,2.621 K,1.49415
20240401,015159.969416,015635.490316,275.5209,632.101 um_pwv,771.652 um_pwv,35.0,2.641 K,1.48846
20240401,020135.681442,020637.228948,301.547506,634.208 um_pwv,774.225 um_pwv,35.0,2.623 K,1.49344
20240401,020638.184619,021139.628038,301.443419,638.681 um_pwv,779.686 um_pwv,35.0,2.568 K,1.50401
20240401,021140.589807,021642.034594,301.444787,644.944 um_pwv,787.331 um_pwv,35.0,2.462 K,1.51882
20240401,021642.992088,022144.436971,301.444883,651.337 um_pwv,795.135 um_pwv,35.0,2.356 K,1.53392
20240401,022145.400291,022646.845040,301.444749,655.806 um_pwv,800.592 um_pwv,35.0,2.349 K,1.54449
20240401,022647.802834,023149.248048,301.445214,658.037 um_pwv,803.315 um_pwv,35.0,2.337 K,1.54976
20240401,023150.207694,023651.649302,301.441608,658.074 um_pwv,803.361 um_pwv,35.0,2.429 K,1.54985
20240401,023652.612526,024154.053105,301.440579,657.62 um_pwv,802.806 um_pwv,35.0,2.601 K,1.54877
20240401,024155.016570,024656.459722,301.443152,658.123 um_pwv,803.42 um_pwv,35.0,2.604 K,1.54996
20240401,024657.416598,025158.859516,301.442918,661.231 um_pwv,807.213 um_pwv,35.0,2.572 K,1.55731
20240401,025159.823671,025635.343289,275.519618,663.267 um_pwv,809.699 um_pwv,35.0,2.463 K,1.56212
20240401,030136.542912,030638.087188,301.544276,661.431 um_pwv,807.459 um_pwv,35.0,2.62 K,1.55778
