TIME,take TIME (seconds)
read results2408/20240801_010135_scanAz_slow.txt,0.0215
results2408/20240801S010136.514103E010638.057528_scanAz_slow.dat,5.2974
results2408/20240801S010639.019355E011140.461809_scanAz_slow.dat,10.5269
results2408/20240801S011141.424461E011642.864007_scanAz_slow.dat,15.6588
results2408/20240801S011643.828252E012145.267757_scanAz_slow.dat,20.8182
results2408/20240801S012146.231061E012647.671314_scanAz_slow.dat,26.0578
results2408/20240801S012648.635328E013150.076281_scanAz_slow.dat,31.1864
results2408/20240801S013151.039846E013652.479029_scanAz_slow.dat,36.3505
results2408/20240801S013653.441764E014154.887624_scanAz_slow.dat,41.5453
results2408/20240801S014155.845470E014657.289639_scanAz_slow.dat,46.7209
results2408/20240801S014658.249288E015159.690325_scanAz_slow.dat,52.2658
results2408/20240801S015200.653041E015636.173647_scanAz_slow.dat,57.8461
read results2408/20240801_020135_scanAz_slow.txt,0.0173
results2408/20240801S020136.319205E020637.864716_scanAz_slow.dat,5.9759
results2408/20240801S020638.826237E021140.268572_scanAz_slow.dat,10.7718
results2408/20240801S021141.224620E021642.672989_scanAz_slow.dat,16.2407
results2408/20240801S021643.630161E022145.076177_scanAz_slow.dat,21.4400
results2408/20240801S022146.033650E022647.480664_scanAz_slow.dat,26.7424
results2408/20240801S022648.439437E023149.884738_scanAz_slow.dat,32.4509
results2408/20240801S023150.841937E023652.287977_scanAz_slow.dat,39.7504
results2408/20240801S023653.245150E024154.692346_scanAz_slow.dat,46.2151
results2408/20240801S024155.652015E024657.095941_scanAz_slow.dat,52.6770
results2408/20240801S024658.054057E025159.498641_scanAz_slow.dat,58.8899
results2408/20240801S025200.455861E025635.979965_scanAz_slow.dat,65.4902
read results2408/20240801_030135_scanAz_slow.txt,0.0157
results2408/20240801S030136.121913E030637.670312_scanAz_slow.dat,6.2969
results2408/20240801S030638.631834E031140.070104_scanAz_slow.dat,12.9357
results2408/20240801S031141.033246E031642.478798_scanAz_slow.dat,19.6474
results2408/20240801S031643.438699E032144.878352_scanAz_slow.dat,25.8939
results2408/20240801S032145.842008E032647.287778_scanAz_slow.dat,32.0995
results2408/20240801S032648.246775E033149.686923_scanAz_slow.dat,39.2331
results2408/20240801S033150.650552E033652.090520_scanAz_slow.dat,46.3516
results2408/20240801S033653.054729E034154.497972_scanAz_slow.dat,53.4625
results2408/20240801S034155.454901E034656.901837_scanAz_slow.dat,60.3077
results2408/20240801S034657.859064E035159.305179_scanAz_slow.dat,67.4071
results2408/20240801S035200.262192E035635.786915_scanAz_slow.dat,74.7995
read results2408/20240801_050134_scanAz_slow.txt,0.0088
results2408/20240801S050135.940856E050637.474521_scanAz_slow.dat,8.3114
results2408/20240801S050638.435025E051139.876053_scanAz_slow.dat,15.8410
