TIME,take TIME (seconds)
read results/20240103_010134_scanAz_slow.txt,0.0055
results/20240103S010135.641471E011149.189655_scanAz_slow.dat,1.1668
results/20240103S011150.150376E012203.595877_scanAz_slow.dat,1.1833
results/20240103S012204.557681E013218.531760_scanAz_slow.dat,1.1712
results/20240103S013219.489906E014233.514520_scanAz_slow.dat,1.2365
results/20240103S014234.476620E015247.923970_scanAz_slow.dat,1.2778
results/20240103S015248.886399E015635.445872_scanAz_slow.dat,1.2634
read results/20240103_020135_scanAz_slow.txt,0.0054
results/20240103S020136.453705E021151.875910_scanAz_slow.dat,1.1785
results/20240103S021152.832987E022207.149586_scanAz_slow.dat,1.1509
results/20240103S022208.105354E023225.877522_scanAz_slow.dat,1.1960
results/20240103S023226.834544E024240.524064_scanAz_slow.dat,1.2847
results/20240103S024241.485929E025254.933085_scanAz_slow.dat,1.1636
results/20240103S025255.889507E025635.732921_scanAz_slow.dat,1.1405
read results/20240103_030135_scanAz_slow.txt,0.0053
results/20240103S030136.308815E031149.859697_scanAz_slow.dat,1.2060
results/20240103S031150.821583E032204.270082_scanAz_slow.dat,1.2913
results/20240103S032205.228696E033218.674228_scanAz_slow.dat,1.1529
results/20240103S033219.636104E034233.085316_scanAz_slow.dat,1.1683
results/20240103S034234.047496E035247.492644_scanAz_slow.dat,1.5172
results/20240103S035248.454462E035635.975715_scanAz_slow.dat,1.1808
read results/20240103_050135_scanAz_slow.txt,0.0067
results/20240103S050136.405902E051150.723516_scanAz_slow.dat,1.3263
results/20240103S051151.681274E052205.129095_scanAz_slow.dat,1.1954
results/20240103S052206.089358E053219.536545_scanAz_slow.dat,1.2105
results/20240103S053220.499349E054233.942863_scanAz_slow.dat,1.1758
results/20240103S054234.906508E055248.355912_scanAz_slow.dat,1.2188
results/20240103S055249.313416E055635.874188_scanAz_slow.dat,1.2631
read results/20240103_060135_scanAz_slow.txt,0.0053
results/20240103S060136.218156E061149.761499_scanAz_slow.dat,1.1392
results/20240103S061150.717851E062204.168102_scanAz_slow.dat,1.1652
results/20240103S062205.125027E063218.575821_scanAz_slow.dat,1.2114
results/20240103S063219.532809E064232.980343_scanAz_slow.dat,1.2945
results/20240103S064233.943375E065247.388330_scanAz_slow.dat,1.1400
results/20240103S065248.351961E065635.873085_scanAz_slow.dat,1.1878
read results/20240103_070134_scanAz_slow.txt,0.0053
results/20240103S070136.026500E071149.564372_scanAz_slow.dat,1.1660
results/20240103S071150.526501E072203.974402_scanAz_slow.dat,1.1927
results/20240103S072204.931388E073218.429633_scanAz_slow.dat,1.1990
results/20240103S073219.392669E074232.835768_scanAz_slow.dat,1.1573
results/20240103S074233.799777E075247.246285_scanAz_slow.dat,1.1264
results/20240103S075248.203545E075635.726221_scanAz_slow.dat,1.1268
read results/20240103_090134_scanAz_slow.txt,0.0054
results/20240103S090135.870285E091149.417791_scanAz_slow.dat,1.1765
results/20240103S091150.379143E092203.826086_scanAz_slow.dat,1.3470
results/20240103S092204.787667E093218.239121_scanAz_slow.dat,1.3420
results/20240103S093219.194853E094232.645421_scanAz_slow.dat,1.1345
results/20240103S094233.607022E095247.053736_scanAz_slow.dat,1.1623
results/20240103S095248.015221E095635.534133_scanAz_slow.dat,1.3746
read results/20240103_100134_scanAz_slow.txt,0.0053
results/20240103S100135.680312E101149.226728_scanAz_slow.dat,1.1337
results/20240103S101150.187998E102203.636417_scanAz_slow.dat,1.1623
results/20240103S102204.598436E103218.044463_scanAz_slow.dat,1.3237
results/20240103S103219.006390E104232.455948_scanAz_slow.dat,1.1403
results/20240103S104233.412963E105246.860051_scanAz_slow.dat,1.1352
results/20240103S105247.821861E105635.341513_scanAz_slow.dat,1.1591
read results/20240103_110135_scanAz_slow.txt,0.0053
results/20240103S110136.494951E111150.044144_scanAz_slow.dat,1.1594
results/20240103S111151.005429E112204.451594_scanAz_slow.dat,1.1485
results/20240103S112205.414028E113218.863728_scanAz_slow.dat,1.2122
results/20240103S113219.819442E114233.269599_scanAz_slow.dat,1.2217
results/20240103S114234.231538E115247.677882_scanAz_slow.dat,1.1340
results/20240103S115248.639534E115636.158321_scanAz_slow.dat,1.1811
read results/20240103_130135_scanAz_slow.txt,0.0053
results/20240103S130136.348704E131149.901167_scanAz_slow.dat,1.1271
results/20240103S131150.857557E132204.310642_scanAz_slow.dat,1.1235
results/20240103S132205.268169E133218.716070_scanAz_slow.dat,1.1701
results/20240103S133219.678804E134233.121158_scanAz_slow.dat,1.1560
results/20240103S134234.084486E135247.534715_scanAz_slow.dat,1.1290
results/20240103S135248.492576E135636.014507_scanAz_slow.dat,1.2160
read results/20240103_140135_scanAz_slow.txt,0.0053
results/20240103S140136.162063E141149.709131_scanAz_slow.dat,1.2426
results/20240103S141150.665900E142204.113454_scanAz_slow.dat,1.2282
results/20240103S142205.077279E143218.521355_scanAz_slow.dat,1.2522
results/20240103S143219.485299E144232.933406_scanAz_slow.dat,1.1709
results/20240103S144233.891865E145247.338928_scanAz_slow.dat,1.4894
results/20240103S145248.296807E145635.821374_scanAz_slow.dat,1.1961
read results/20240103_150134_scanAz_slow.txt,0.0053
results/20240103S150135.986394E151149.564491_scanAz_slow.dat,1.1438
results/20240103S151150.522439E152203.973539_scanAz_slow.dat,1.3066
results/20240103S152204.930823E153218.384938_scanAz_slow.dat,1.2501
results/20240103S153219.341908E154232.790202_scanAz_slow.dat,1.3224
results/20240103S154233.749319E155247.198226_scanAz_slow.dat,1.1970
results/20240103S155248.157346E155635.677120_scanAz_slow.dat,1.1674
read results/20240103_170134_scanAz_slow.txt,0.0053
results/20240103S170135.797113E171149.372261_scanAz_slow.dat,1.3207
results/20240103S171150.333204E172203.780939_scanAz_slow.dat,1.3367
results/20240103S172204.737316E173218.189146_scanAz_slow.dat,1.2817
results/20240103S173219.145782E174232.597073_scanAz_slow.dat,1.1592
results/20240103S174233.554080E175247.002890_scanAz_slow.dat,1.3390
results/20240103S175247.965063E175635.484206_scanAz_slow.dat,1.3253
read results/20240103_180135_scanAz_slow.txt,0.0107
results/20240103S180136.589402E181150.140069_scanAz_slow.dat,1.2273
results/20240103S181151.101089E182204.546541_scanAz_slow.dat,1.1592
results/20240103S182205.508292E183218.954755_scanAz_slow.dat,1.1610
results/20240103S183219.916592E184233.360624_scanAz_slow.dat,1.3106
results/20240103S184234.322765E185247.769056_scanAz_slow.dat,1.1949
results/20240103S185248.731887E185636.251561_scanAz_slow.dat,1.2992
read results/20240103_190135_scanAz_slow.txt,0.0053
results/20240103S190136.395566E191149.947599_scanAz_slow.dat,1.2034
results/20240103S191150.903103E192204.357126_scanAz_slow.dat,1.3517
results/20240103S192205.314954E193218.763544_scanAz_slow.dat,1.1924
results/20240103S193219.719668E194233.170259_scanAz_slow.dat,1.2217
results/20240103S194234.132691E195247.575783_scanAz_slow.dat,1.2680
results/20240103S195248.538513E195636.060103_scanAz_slow.dat,1.1437
read results/20240103_210135_scanAz_slow.txt,0.0053
results/20240103S210136.251129E211149.802299_scanAz_slow.dat,1.2413
results/20240103S211150.764196E212204.210626_scanAz_slow.dat,1.1597
results/20240103S212205.169372E213218.618415_scanAz_slow.dat,1.2911
results/20240103S213219.575387E214233.023721_scanAz_slow.dat,1.2563
results/20240103S214233.987066E215247.436557_scanAz_slow.dat,1.1649
results/20240103S215248.394386E215635.915072_scanAz_slow.dat,1.1631
read results/20240103_220135_scanAz_slow.txt,0.0053
results/20240103S220136.069354E221149.610513_scanAz_slow.dat,1.1669
results/20240103S221150.566585E222204.014922_scanAz_slow.dat,1.2266
results/20240103S222204.978833E223218.425959_scanAz_slow.dat,1.1266
results/20240103S223219.382862E224232.834387_scanAz_slow.dat,1.2038
results/20240103S224233.791586E225247.240166_scanAz_slow.dat,1.1636
results/20240103S225248.198480E225635.720769_scanAz_slow.dat,1.2765
read results/20240104_010134_scanAz_slow.txt,0.0053
results/20240104S010135.768275E011149.317818_scanAz_slow.dat,1.2464
results/20240104S011150.279155E012203.731326_scanAz_slow.dat,1.1360
results/20240104S012204.688330E013218.134627_scanAz_slow.dat,1.2097
results/20240104S013219.096180E014232.548026_scanAz_slow.dat,1.1544
results/20240104S014233.504057E015246.953235_scanAz_slow.dat,1.1930
results/20240104S015247.915120E015635.435670_scanAz_slow.dat,1.2193
read results/20240104_020135_scanAz_slow.txt,0.0053
results/20240104S020136.587061E021150.138514_scanAz_slow.dat,1.2371
results/20240104S021151.099318E022204.546672_scanAz_slow.dat,1.1972
results/20240104S022205.504575E023218.952665_scanAz_slow.dat,1.2263
results/20240104S023219.914818E024233.358029_scanAz_slow.dat,1.1488
results/20240104S024234.320243E025247.768036_scanAz_slow.dat,1.1434
results/20240104S025248.730390E025636.248602_scanAz_slow.dat,1.1477
read results/20240104_030135_scanAz_slow.txt,0.0053
results/20240104S030136.440384E031149.992233_scanAz_slow.dat,1.1910
results/20240104S031150.952895E032204.401077_scanAz_slow.dat,1.1625
results/20240104S032205.356906E033218.808566_scanAz_slow.dat,1.1993
results/20240104S033219.765788E034233.216674_scanAz_slow.dat,1.1569
results/20240104S034234.172721E035247.624907_scanAz_slow.dat,1.1565
results/20240104S035248.580742E035636.102685_scanAz_slow.dat,1.1637
read results/20240104_050135_scanAz_slow.txt,0.0105
results/20240104S050136.296528E051149.896058_scanAz_slow.dat,1.3089
results/20240104S051150.852888E052204.303723_scanAz_slow.dat,1.2349
results/20240104S052205.261209E053218.716493_scanAz_slow.dat,1.2050
results/20240104S053219.667776E054233.119433_scanAz_slow.dat,1.3838
results/20240104S054234.076362E055247.524879_scanAz_slow.dat,1.1889
results/20240104S055248.487929E055636.008392_scanAz_slow.dat,1.1349
read results/20240104_060135_scanAz_slow.txt,0.0053
results/20240104S060136.113285E061149.653938_scanAz_slow.dat,1.2037
results/20240104S061150.610895E062204.061107_scanAz_slow.dat,1.2126
results/20240104S062205.018071E063218.466724_scanAz_slow.dat,1.1561
results/20240104S063219.430035E064232.878049_scanAz_slow.dat,1.2151
results/20240104S064233.835066E065247.284742_scanAz_slow.dat,1.1820
results/20240104S065248.247771E065635.767580_scanAz_slow.dat,1.2368
read results/20240104_070134_scanAz_slow.txt,0.0053
results/20240104S070135.923068E071149.459888_scanAz_slow.dat,1.1955
results/20240104S071150.421752E072203.871343_scanAz_slow.dat,1.2162
results/20240104S072204.828821E073218.276885_scanAz_slow.dat,1.2858
results/20240104S073219.239647E074232.685701_scanAz_slow.dat,1.1376
results/20240104S074233.642640E075247.093314_scanAz_slow.dat,1.3336
results/20240104S075248.051807E075635.574351_scanAz_slow.dat,1.2201
read results/20240104_090134_scanAz_slow.txt,0.0053
results/20240104S090135.766299E091149.315552_scanAz_slow.dat,1.1441
results/20240104S091150.276277E092203.725895_scanAz_slow.dat,1.2215
results/20240104S092204.682590E093218.130604_scanAz_slow.dat,1.1447
results/20240104S093219.092444E094232.542073_scanAz_slow.dat,1.2755
results/20240104S094233.498888E095246.949417_scanAz_slow.dat,1.1667
results/20240104S095247.905903E095635.428176_scanAz_slow.dat,1.1314
read results/20240104_100135_scanAz_slow.txt,0.0053
results/20240104S100136.581081E101150.130350_scanAz_slow.dat,1.1363
results/20240104S101151.092426E102204.539634_scanAz_slow.dat,1.1526
results/20240104S102205.496299E103218.944319_scanAz_slow.dat,1.3324
results/20240104S103219.906194E104233.353982_scanAz_slow.dat,1.5343
results/20240104S104234.317062E105247.765525_scanAz_slow.dat,1.1611
results/20240104S105248.722158E105636.245331_scanAz_slow.dat,1.2393
read results/20240104_110135_scanAz_slow.txt,0.0053
results/20240104S110136.436290E111149.983641_scanAz_slow.dat,1.2479
results/20240104S111150.944898E112204.394814_scanAz_slow.dat,1.1727
results/20240104S112205.356626E113218.801633_scanAz_slow.dat,1.1935
results/20240104S113219.764423E114233.208981_scanAz_slow.dat,1.1980
results/20240104S114234.170849E115247.618454_scanAz_slow.dat,1.3287
results/20240104S115248.580274E115636.099102_scanAz_slow.dat,1.3001
read results/20240104_130135_scanAz_slow.txt,0.0053
results/20240104S130136.292942E131149.843853_scanAz_slow.dat,1.2438
results/20240104S131150.801076E132204.247382_scanAz_slow.dat,1.1884
results/20240104S132205.210299E133218.660828_scanAz_slow.dat,1.3810
results/20240104S133219.617881E134233.065886_scanAz_slow.dat,1.2621
results/20240104S134234.028654E135247.472188_scanAz_slow.dat,1.3123
results/20240104S135248.434878E135635.955815_scanAz_slow.dat,1.1551
read results/20240104_140135_scanAz_slow.txt,0.0053
results/20240104S140136.100703E141149.646108_scanAz_slow.dat,1.3120
results/20240104S141150.609787E142204.054305_scanAz_slow.dat,1.2331
results/20240104S142205.018494E143218.465955_scanAz_slow.dat,1.2340
results/20240104S143219.424255E144232.875143_scanAz_slow.dat,1.2310
results/20240104S144233.832401E145247.282897_scanAz_slow.dat,1.2356
results/20240104S145248.239888E145635.761492_scanAz_slow.dat,1.2243
read results/20240104_150134_scanAz_slow.txt,0.0053
results/20240104S150135.906125E151149.456828_scanAz_slow.dat,1.1676
results/20240104S151150.419389E152203.864200_scanAz_slow.dat,1.2019
results/20240104S152204.827242E153218.270373_scanAz_slow.dat,1.2277
results/20240104S153219.230634E154232.682850_scanAz_slow.dat,1.1886
results/20240104S154233.640436E155247.090486_scanAz_slow.dat,1.3102
results/20240104S155248.047723E155635.570698_scanAz_slow.dat,1.2185
read results/20240104_170134_scanAz_slow.txt,0.0053
results/20240104S170135.766966E171149.313261_scanAz_slow.dat,1.1917
results/20240104S171150.268454E172203.718003_scanAz_slow.dat,1.2409
results/20240104S172204.679642E173218.123831_scanAz_slow.dat,1.1459
results/20240104S173219.086564E174232.536617_scanAz_slow.dat,1.1517
results/20240104S174233.492552E175246.943372_scanAz_slow.dat,1.1796
results/20240104S175247.900391E175635.426006_scanAz_slow.dat,1.2419
read results/20240104_180135_scanAz_slow.txt,0.0053
results/20240104S180136.577325E181150.128601_scanAz_slow.dat,1.1831
results/20240104S181151.084967E182204.533138_scanAz_slow.dat,1.1624
results/20240104S182205.494951E183218.945080_scanAz_slow.dat,1.3039
results/20240104S183219.902025E184234.355910_scanAz_slow.dat,1.2177
