DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20240606,180136.467275,181150.015790,613.548515,271.682 um_pwv,331.663 um_pwv,35.0,4.691 K,0.636612
20240606,181150.977366,182204.425303,613.447937,271.336 um_pwv,331.24 um_pwv,35.0,4.679 K,0.635793
20240606,182205.386990,183218.834193,613.447203,271.656 um_pwv,331.63 um_pwv,35.0,4.659 K,0.636549
20240606,183219.790458,184233.240579,613.450121,273.85 um_pwv,334.31 um_pwv,35.0,4.704 K,0.641737
20240606,184234.202307,185247.645041,613.442734,273.77 um_pwv,334.211 um_pwv,35.0,4.744 K,0.641547
20240606,185248.607402,185636.129959,227.522557,271.576 um_pwv,331.533 um_pwv,35.0,4.701 K,0.636360
20240731,010135.892092,011149.442366,613.550274,373.638 um_pwv,456.128 um_pwv,35.0,6.733 K,0.877596
20240731,011150.404181,012203.850515,613.446334,377.629 um_pwv,461 um_pwv,35.0,6.778 K,0.887029
20240731,012204.807439,013218.258384,613.450945,381.587 um_pwv,465.832 um_pwv,35.0,6.742 K,0.896386
20240731,013219.215357,014232.667738,613.452381,385.322 um_pwv,470.392 um_pwv,35.0,6.759 K,0.905214
20240731,014233.625837,015247.073659,613.447822,396.788 um_pwv,484.389 um_pwv,35.0,6.795 K,0.932314
20240731,015248.030570,015635.553978,227.523408,404.278 um_pwv,493.532 um_pwv,35.0,6.872 K,0.950015
20240427,050136.171162,051149.718162,613.547,426.013 um_pwv,520.065 um_pwv,35.0,4.551 K,1.00139
20240427,051150.680936,052204.126998,613.446062,425.468 um_pwv,519.4 um_pwv,35.0,4.523 K,1.00010
20240427,052205.089479,053218.536608,613.447129,424.38 um_pwv,518.072 um_pwv,35.0,4.512 K,0.997528
20240427,053219.498096,054232.946202,613.448106,424.004 um_pwv,517.614 um_pwv,35.0,4.507 K,0.996640
20240427,054233.902224,055247.352744,613.45052,426.097 um_pwv,520.168 um_pwv,35.0,4.493 K,1.00159
20240427,055248.309052,055635.832834,227.523782,425.468 um_pwv,519.4 um_pwv,35.0,4.455 K,1.00010
20240325,210136.465435,211150.016036,613.550601,478.84 um_pwv,584.555 um_pwv,35.0,5.072 K,1.12624
20240325,211150.972382,212204.423937,613.451555,486.207 um_pwv,593.55 um_pwv,35.0,5.043 K,1.14366
20240325,212205.380262,213218.832898,613.452636,491.07 um_pwv,599.485 um_pwv,35.0,5.113 K,1.15515
20240325,213219.791635,214233.234623,613.442988,494.334 um_pwv,603.471 um_pwv,35.0,5.121 K,1.16286
20240325,214234.197380,215247.646846,613.449466,494.395 um_pwv,603.545 um_pwv,35.0,5.151 K,1.16301
20240325,215248.602786,215636.126873,227.524087,490.586 um_pwv,598.895 um_pwv,35.0,5.108 K,1.15401
20240825,100135.841101,101149.392575,613.551474,385.778 um_pwv,470.947 um_pwv,35.0,5.697 K,0.906289
20240825,101150.348578,102203.796354,613.447776,381.55 um_pwv,465.786 um_pwv,35.0,5.629 K,0.896297
20240825,102204.760255,103218.203612,613.443357,382.678 um_pwv,467.163 um_pwv,35.0,5.672 K,0.898963
20240825,103219.166856,104232.615082,613.448226,385.436 um_pwv,470.531 um_pwv,35.0,5.648 K,0.905482
20240825,104233.572585,105247.020954,613.448369,385.057 um_pwv,470.068 um_pwv,35.0,5.663 K,0.904586
20240825,105247.983579,105635.502787,227.519208,384.414 um_pwv,469.282 um_pwv,35.0,5.629 K,0.903065
20241003,060136.555890,061150.106760,613.55087,340.479 um_pwv,415.649 um_pwv,35.0,4.57 K,0.799224
20241003,061151.067946,062204.513702,613.445756,343.556 um_pwv,419.405 um_pwv,35.0,4.533 K,0.806496
20241003,062205.475402,063218.919300,613.443898,335.463 um_pwv,409.524 um_pwv,35.0,4.512 K,0.787366
20241003,063219.882335,064233.327828,613.445493,297.567 um_pwv,363.262 um_pwv,35.0,4.081 K,0.697795
20241003,064234.289620,065247.736279,613.446659,286.922 um_pwv,350.266 um_pwv,35.0,4.069 K,0.672633
20241003,065248.698706,065636.217164,227.518458,285.18 um_pwv,348.141 um_pwv,35.0,4.02 K,0.668517
20241120,210136.313293,211149.863381,613.550088,431.097 um_pwv,526.272 um_pwv,35.0,6.693 K,1.01340
20241120,211150.824031,212204.269599,613.445568,427.63 um_pwv,522.04 um_pwv,35.0,6.67 K,1.00521
20241120,212205.231672,213218.677507,613.445835,427.862 um_pwv,522.323 um_pwv,35.0,6.633 K,1.00576
20241120,213219.639876,214233.088358,613.448482,427.42 um_pwv,521.783 um_pwv,35.0,6.55 K,1.00471
20241120,214234.050224,215247.497089,613.446865,427.483 um_pwv,521.861 um_pwv,35.0,6.501 K,1.00486
20241120,215248.458856,215635.978934,227.520078,425.677 um_pwv,519.656 um_pwv,35.0,6.399 K,1.00059
20240521,220136.397741,221149.947898,613.550157,400.082 um_pwv,488.41 um_pwv,35.0,4.894 K,0.940099
20240521,221150.905011,222204.353406,613.448395,399.453 um_pwv,487.642 um_pwv,35.0,4.973 K,0.938611
20240521,222205.316352,223218.763843,613.447491,402.412 um_pwv,491.254 um_pwv,35.0,4.977 K,0.945606
20240521,223219.723113,224233.171828,613.448715,402.254 um_pwv,491.061 um_pwv,35.0,4.909 K,0.945231
20240521,224234.130197,225247.574682,613.444485,399.807 um_pwv,488.074 um_pwv,35.0,4.969 K,0.939448
20240521,225248.538275,225636.057521,227.519246,397.883 um_pwv,485.726 um_pwv,35.0,4.925 K,0.934902
20240605,010135.831936,011149.375310,613.543374,458.688 um_pwv,559.955 um_pwv,35.0,3.705 K,1.07862
20240605,011150.335903,012203.782918,613.447015,455.447 um_pwv,555.998 um_pwv,35.0,3.819 K,1.07096
20240605,012204.744323,013218.189641,613.445318,445.093 um_pwv,543.359 um_pwv,35.0,3.902 K,1.04648
20240605,013219.151444,014232.599422,613.447978,439.757 um_pwv,536.844 um_pwv,35.0,4.028 K,1.03387
20240605,014233.561212,015247.009367,613.448155,428.579 um_pwv,523.198 um_pwv,35.0,4.037 K,1.00745
20240605,015247.965134,015635.487872,227.522738,421.798 um_pwv,514.92 um_pwv,35.0,3.985 K,0.991425
20241008,070136.150025,071150.459649,614.309624,250.487 um_pwv,305.788 um_pwv,35.0,5.322 K,0.586514
20241008,071151.420619,072205.442073,614.021454,254.698 um_pwv,310.929 um_pwv,35.0,5.27 K,0.596468
20241008,072206.399380,073220.763058,614.363678,255.85 um_pwv,312.335 um_pwv,35.0,5.273 K,0.599190
20241008,073221.719667,074235.503876,613.784209,254.399 um_pwv,310.563 um_pwv,35.0,5.344 K,0.595759
20241008,074236.465725,075251.113047,614.647322,255.073 um_pwv,311.387 um_pwv,35.0,5.267 K,0.597354
20241008,075252.071607,075636.137379,224.065772,251.842 um_pwv,307.442 um_pwv,35.0,5.17 K,0.589716
20240509,210135.603796,211149.145559,613.541763,609.751 um_pwv,744.368 um_pwv,35.0,3.833 K,1.43564
20240509,211150.107506,212203.554905,613.447399,609.8 um_pwv,744.428 um_pwv,35.0,3.753 K,1.43576
20240509,212204.511484,213217.962076,613.450592,614.353 um_pwv,749.987 um_pwv,35.0,3.717 K,1.44652
20240509,213218.923809,214232.367130,613.443321,619.796 um_pwv,756.631 um_pwv,35.0,3.68 K,1.45938
20240509,214233.329331,215246.776379,613.447048,622.48 um_pwv,759.908 um_pwv,35.0,3.584 K,1.46573
20240509,215247.732707,215635.257287,227.52458,622.756 um_pwv,760.245 um_pwv,35.0,3.565 K,1.46638
20240430,090135.804297,091149.347624,613.543327,728.378 um_pwv,889.185 um_pwv,35.0,2.488 K,1.71600
20240430,091150.309904,092203.756468,613.446564,743.931 um_pwv,908.172 um_pwv,35.0,2.418 K,1.75275
20240430,092204.713661,093218.163552,613.449891,750.024 um_pwv,915.61 um_pwv,35.0,2.499 K,1.76715
20240430,093219.120352,094232.572971,613.452619,740.536 um_pwv,904.028 um_pwv,35.0,2.422 K,1.74473
20240430,094233.531350,095246.975838,613.444488,735.554 um_pwv,897.945 um_pwv,35.0,2.357 K,1.73295
20240430,095247.939042,095635.459190,227.520148,727.749 um_pwv,888.418 um_pwv,35.0,2.211 K,1.71451
20240609,110136.060196,111149.656015,613.595819,468.113 um_pwv,571.46 um_pwv,35.0,4.17 K,1.10089
20240609,111150.617069,112204.068103,613.451034,474.192 um_pwv,578.882 um_pwv,35.0,4.118 K,1.11526
20240609,112205.024556,113218.473377,613.448821,481.844 um_pwv,588.223 um_pwv,35.0,4.045 K,1.13335
20240609,113219.436551,114232.884718,613.448167,487.334 um_pwv,594.925 um_pwv,35.0,3.958 K,1.14632
