TIME,take TIME (seconds)
unzip 20240614.tar.gz,0.3925
delete_unneeded_files,0.1833
unzip 20241009.tar.gz,0.6683
delete_unneeded_files,0.1987
unzip 20240917.tar.gz,0.6671
delete_unneeded_files,0.1995
unzip 20240401.tar.gz,0.6705
delete_unneeded_files,0.2004
unzip 20240813.tar.gz,0.6688
delete_unneeded_files,0.2009
unzip 20241203.tar.gz,0.6671
delete_unneeded_files,0.2013
unzip 20240526.tar.gz,0.6683
delete_unneeded_files,0.2019
unzip 20240824.tar.gz,0.6677
delete_unneeded_files,0.2023
unzip 20240113.tar.gz,0.6710
delete_unneeded_files,0.2025
unzip 20240819.tar.gz,0.6699
delete_unneeded_files,0.2029
unzip 20240702.tar.gz,0.6693
delete_unneeded_files,0.2037
unzip 20241127.tar.gz,0.6696
delete_unneeded_files,0.2034
unzip 20240724.tar.gz,0.6668
delete_unneeded_files,0.2034
unzip 20240705.tar.gz,0.6687
delete_unneeded_files,0.2038
unzip 20240825.tar.gz,0.6698
delete_unneeded_files,0.2036
unzip 20240121.tar.gz,0.6718
delete_unneeded_files,0.2042
unzip 20240303.tar.gz,0.6734
delete_unneeded_files,0.2043
unzip 20241207.tar.gz,0.6708
delete_unneeded_files,0.2052
unzip 20240826.tar.gz,0.6721
delete_unneeded_files,0.2048
unzip 20240725.tar.gz,0.6691
delete_unneeded_files,0.2050
unzip 20241024.tar.gz,0.6719
delete_unneeded_files,0.2053
unzip 20240323.tar.gz,0.6721
delete_unneeded_files,0.2052
unzip 20240903.tar.gz,0.6700
delete_unneeded_files,0.2052
unzip 20240712.tar.gz,0.6696
delete_unneeded_files,0.2053
unzip 20240320.tar.gz,0.6749
delete_unneeded_files,0.2056
unzip 20240312.tar.gz,0.6705
delete_unneeded_files,0.2057
unzip 20240527.tar.gz,0.6690
delete_unneeded_files,0.2063
unzip 20240616.tar.gz,0.6569
delete_unneeded_files,0.2052
unzip 20240125.tar.gz,0.6738
delete_unneeded_files,0.2063
unzip 20241117.tar.gz,0.6711
delete_unneeded_files,0.2066
unzip 20240112.tar.gz,0.6726
delete_unneeded_files,0.2078
unzip 20240422.tar.gz,0.6706
delete_unneeded_files,0.2064
unzip 20240417.tar.gz,0.6712
delete_unneeded_files,0.2065
unzip 20240911.tar.gz,0.6704
delete_unneeded_files,0.2065
unzip 20241105.tar.gz,0.6730
delete_unneeded_files,0.2068
unzip 20240622.tar.gz,0.6606
delete_unneeded_files,0.2074
unzip 20240325.tar.gz,0.6715
delete_unneeded_files,0.2060
unzip 20241015.tar.gz,0.6683
delete_unneeded_files,0.2063
unzip 20240902.tar.gz,0.6681
delete_unneeded_files,0.2062
unzip 20240309.tar.gz,0.6713
delete_unneeded_files,0.2063
unzip failed 20240516.tar.gz empty file,0.0000
unzip 20240516.tar.gz,0.0001
delete_unneeded_files,0.1641
unzip 20250114.tar.gz,0.6744
delete_unneeded_files,0.2015
unzip 20240307.tar.gz,0.6764
delete_unneeded_files,0.2027
unzip 20240222.tar.gz,0.6740
delete_unneeded_files,0.2026
