DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20250202,010138.954801,010640.502936,301.548135,972.582 um_pwv,1187.3 um_pwv,35.0,1.189 K,2.29309
20250202,010641.461992,011142.903960,301.441968,971.958 um_pwv,1186.54 um_pwv,35.0,1.132 K,2.29161
20250202,011143.867382,011645.306143,301.438761,971.046 um_pwv,1185.43 um_pwv,35.0,1.101 K,2.28946
20250202,011646.269771,012147.711545,301.441774,973.807 um_pwv,1188.8 um_pwv,35.0,1.086 K,2.29598
20250202,012148.675777,012650.115585,301.439808,975.661 um_pwv,1191.06 um_pwv,35.0,1.041 K,2.30036
20250202,012651.077477,013152.520898,301.443421,978.302 um_pwv,1194.29 um_pwv,35.0,1.026 K,2.30661
20250202,013153.479367,013654.923114,301.443747,980.406 um_pwv,1196.85 um_pwv,35.0,0.9911 K,2.31158
20250202,013655.886078,014157.327559,301.441481,975.865 um_pwv,1191.31 um_pwv,35.0,1.015 K,2.30085
20250202,014158.287221,014659.730363,301.443142,972.63 um_pwv,1187.36 um_pwv,35.0,1.036 K,2.29320
20250202,014700.688625,015202.136669,301.448044,974.878 um_pwv,1190.11 um_pwv,35.0,1.047 K,2.29851
20250202,015203.096510,015638.623634,275.527124,973.303 um_pwv,1188.18 um_pwv,35.0,1.056 K,2.29479
20250202,020121.770857,020623.316729,301.545872,976.564 um_pwv,1192.17 um_pwv,35.0,1.012 K,2.30250
20250202,020624.279553,021125.718431,301.438878,978.363 um_pwv,1194.36 um_pwv,35.0,1.021 K,2.30675
20250202,021126.681794,021628.124357,301.442563,978.302 um_pwv,1194.29 um_pwv,35.0,1.003 K,2.30661
20250202,021629.084309,022130.527229,301.44292,978.556 um_pwv,1194.6 um_pwv,35.0,1.005 K,2.30720
20250202,022131.488889,022632.931328,301.442439,979.088 um_pwv,1195.25 um_pwv,35.0,1.04 K,2.30846
20250202,022633.893123,023135.336728,301.443605,980.951 um_pwv,1197.52 um_pwv,35.0,0.9961 K,2.31286
20250202,023136.296796,023637.741744,301.444948,985.917 um_pwv,1203.58 um_pwv,35.0,1.001 K,2.32460
20250202,023638.701971,024140.146455,301.444484,990.333 um_pwv,1208.97 um_pwv,35.0,0.9785 K,2.33504
20250202,024141.103993,024642.548844,301.444851,991.544 um_pwv,1210.45 um_pwv,35.0,1.028 K,2.33790
20250202,024643.509234,025144.954883,301.445649,988.415 um_pwv,1206.63 um_pwv,35.0,1.035 K,2.33050
20250202,025145.915055,025621.435461,275.520406,986.27 um_pwv,1204.01 um_pwv,35.0,1.061 K,2.32543
20250202,030131.180542,030632.727450,301.546908,984.372 um_pwv,1201.7 um_pwv,35.0,1.028 K,2.32095
20250202,030633.683762,031135.128484,301.444722,986.611 um_pwv,1204.43 um_pwv,35.0,1.036 K,2.32624
20250202,031136.088933,031637.531771,301.442838,988.013 um_pwv,1206.14 um_pwv,35.0,1.017 K,2.32955
20250202,031638.496811,032139.937278,301.440467,986.002 um_pwv,1203.69 um_pwv,35.0,0.9805 K,2.32480
20250202,032140.896723,032642.340134,301.443411,985.041 um_pwv,1202.51 um_pwv,35.0,0.9668 K,2.32253
20250202,032643.300147,033144.744766,301.444619,985.868 um_pwv,1203.52 um_pwv,35.0,0.9191 K,2.32448
20250202,033145.705575,033647.149753,301.444178,985.759 um_pwv,1203.39 um_pwv,35.0,0.9415 K,2.32423
20250202,033648.109710,034149.554049,301.444339,982.963 um_pwv,1199.98 um_pwv,35.0,0.985 K,2.31762
20250202,034150.513935,034651.956210,301.442275,981.823 um_pwv,1198.58 um_pwv,35.0,0.9978 K,2.31493
20250202,034652.919802,035154.360092,301.44029,981.896 um_pwv,1198.67 um_pwv,35.0,1.031 K,2.31510
20250202,035155.325889,035630.846977,275.521088,978.508 um_pwv,1194.54 um_pwv,35.0,1.08 K,2.30709
