TIME,take TIME (seconds)
read results/20240606_180135_scanAz_slow.txt,0.0060
results/20240606S180136.467275E181150.015790_scanAz_slow.dat,1.1285
results/20240606S181150.977366E182204.425303_scanAz_slow.dat,1.1381
results/20240606S182205.386990E183218.834193_scanAz_slow.dat,1.2210
results/20240606S183219.790458E184233.240579_scanAz_slow.dat,1.2442
results/20240606S184234.202307E185247.645041_scanAz_slow.dat,1.4816
results/20240606S185248.607402E185636.129959_scanAz_slow.dat,1.2370
read results/20240731_010134_scanAz_slow.txt,0.0053
results/20240731S010135.892092E011149.442366_scanAz_slow.dat,1.1633
results/20240731S011150.404181E012203.850515_scanAz_slow.dat,1.1838
results/20240731S012204.807439E013218.258384_scanAz_slow.dat,1.1330
results/20240731S013219.215357E014232.667738_scanAz_slow.dat,1.1734
results/20240731S014233.625837E015247.073659_scanAz_slow.dat,1.2155
results/20240731S015248.030570E015635.553978_scanAz_slow.dat,1.2216
read results/20240427_050135_scanAz_slow.txt,0.0052
results/20240427S050136.171162E051149.718162_scanAz_slow.dat,1.3545
results/20240427S051150.680936E052204.126998_scanAz_slow.dat,1.1429
results/20240427S052205.089479E053218.536608_scanAz_slow.dat,1.1456
results/20240427S053219.498096E054232.946202_scanAz_slow.dat,1.2253
results/20240427S054233.902224E055247.352744_scanAz_slow.dat,1.2312
results/20240427S055248.309052E055635.832834_scanAz_slow.dat,1.1336
read results/20240325_210135_scanAz_slow.txt,0.0052
results/20240325S210136.465435E211150.016036_scanAz_slow.dat,1.1799
results/20240325S211150.972382E212204.423937_scanAz_slow.dat,1.3115
results/20240325S212205.380262E213218.832898_scanAz_slow.dat,1.2064
results/20240325S213219.791635E214233.234623_scanAz_slow.dat,1.2527
results/20240325S214234.197380E215247.646846_scanAz_slow.dat,1.2030
results/20240325S215248.602786E215636.126873_scanAz_slow.dat,1.3181
read results/20240825_100134_scanAz_slow.txt,0.0065
results/20240825S100135.841101E101149.392575_scanAz_slow.dat,1.1627
results/20240825S101150.348578E102203.796354_scanAz_slow.dat,1.2157
results/20240825S102204.760255E103218.203612_scanAz_slow.dat,1.2762
results/20240825S103219.166856E104232.615082_scanAz_slow.dat,1.1965
results/20240825S104233.572585E105247.020954_scanAz_slow.dat,1.1770
results/20240825S105247.983579E105635.502787_scanAz_slow.dat,1.2314
read results/20241003_060135_scanAz_slow.txt,0.0052
results/20241003S060136.555890E061150.106760_scanAz_slow.dat,1.4057
results/20241003S061151.067946E062204.513702_scanAz_slow.dat,1.2452
results/20241003S062205.475402E063218.919300_scanAz_slow.dat,1.1938
results/20241003S063219.882335E064233.327828_scanAz_slow.dat,1.4381
results/20241003S064234.289620E065247.736279_scanAz_slow.dat,1.1337
results/20241003S065248.698706E065636.217164_scanAz_slow.dat,1.1192
read results/20241120_210135_scanAz_slow.txt,0.0052
results/20241120S210136.313293E211149.863381_scanAz_slow.dat,1.2406
results/20241120S211150.824031E212204.269599_scanAz_slow.dat,1.4315
results/20241120S212205.231672E213218.677507_scanAz_slow.dat,1.3361
results/20241120S213219.639876E214233.088358_scanAz_slow.dat,1.1160
results/20241120S214234.050224E215247.497089_scanAz_slow.dat,1.1518
results/20241120S215248.458856E215635.978934_scanAz_slow.dat,1.1295
read results/20240521_220135_scanAz_slow.txt,0.0053
results/20240521S220136.397741E221149.947898_scanAz_slow.dat,1.2164
results/20240521S221150.905011E222204.353406_scanAz_slow.dat,1.2126
results/20240521S222205.316352E223218.763843_scanAz_slow.dat,1.1739
results/20240521S223219.723113E224233.171828_scanAz_slow.dat,1.2470
results/20240521S224234.130197E225247.574682_scanAz_slow.dat,1.1821
results/20240521S225248.538275E225636.057521_scanAz_slow.dat,1.2229
read results/20240605_010134_scanAz_slow.txt,0.0053
results/20240605S010135.831936E011149.375310_scanAz_slow.dat,1.1563
results/20240605S011150.335903E012203.782918_scanAz_slow.dat,1.4136
results/20240605S012204.744323E013218.189641_scanAz_slow.dat,1.1549
results/20240605S013219.151444E014232.599422_scanAz_slow.dat,1.3095
results/20240605S014233.561212E015247.009367_scanAz_slow.dat,1.1502
results/20240605S015247.965134E015635.487872_scanAz_slow.dat,1.2553
read results/20241008_070135_scanAz_slow.txt,0.0053
results/20241008S070136.150025E071150.459649_scanAz_slow.dat,1.2780
results/20241008S071151.420619E072205.442073_scanAz_slow.dat,1.3514
results/20241008S072206.399380E073220.763058_scanAz_slow.dat,1.3122
results/20241008S073221.719667E074235.503876_scanAz_slow.dat,1.2889
results/20241008S074236.465725E075251.113047_scanAz_slow.dat,1.2413
results/20241008S075252.071607E075636.137379_scanAz_slow.dat,1.2499
read results/20240509_210134_scanAz_slow.txt,0.0054
results/20240509S210135.603796E211149.145559_scanAz_slow.dat,1.2336
results/20240509S211150.107506E212203.554905_scanAz_slow.dat,1.2729
results/20240509S212204.511484E213217.962076_scanAz_slow.dat,1.1857
results/20240509S213218.923809E214232.367130_scanAz_slow.dat,1.2044
results/20240509S214233.329331E215246.776379_scanAz_slow.dat,1.1808
results/20240509S215247.732707E215635.257287_scanAz_slow.dat,1.1263
read results/20240430_090134_scanAz_slow.txt,0.0054
results/20240430S090135.804297E091149.347624_scanAz_slow.dat,1.1253
results/20240430S091150.309904E092203.756468_scanAz_slow.dat,1.1639
results/20240430S092204.713661E093218.163552_scanAz_slow.dat,1.2044
results/20240430S093219.120352E094232.572971_scanAz_slow.dat,1.2352
results/20240430S094233.531350E095246.975838_scanAz_slow.dat,1.1378
results/20240430S095247.939042E095635.459190_scanAz_slow.dat,1.2668
read results/20240609_110134_scanAz_slow.txt,0.0054
results/20240609S110136.060196E111149.656015_scanAz_slow.dat,1.2291
results/20240609S111150.617069E112204.068103_scanAz_slow.dat,1.2567
results/20240609S112205.024556E113218.473377_scanAz_slow.dat,1.2960
results/20240609S113219.436551E114232.884718_scanAz_slow.dat,1.2096
results/20240609S114233.840489E115247.289098_scanAz_slow.dat,1.1492
results/20240609S115248.251054E115635.770996_scanAz_slow.dat,1.3006
read results/20240720_010135_scanAz_slow.txt,0.0053
results/20240720S010136.500243E011150.048274_scanAz_slow.dat,1.1286
results/20240720S011151.010384E012204.453498_scanAz_slow.dat,1.1426
results/20240720S012205.416784E013218.864480_scanAz_slow.dat,1.4820
results/20240720S013219.821402E014233.272929_scanAz_slow.dat,1.9228
results/20240720S014234.230197E015247.679689_scanAz_slow.dat,1.1689
results/20240720S015248.640362E015636.160133_scanAz_slow.dat,1.1847
read results/20240120_060134_scanAz_slow.txt,0.0053
results/20240120S060135.734641E061149.286140_scanAz_slow.dat,1.1786
results/20240120S061150.245658E062203.696267_scanAz_slow.dat,1.2244
results/20240120S062204.655468E063218.104033_scanAz_slow.dat,1.2071
results/20240120S063219.065006E064232.510129_scanAz_slow.dat,1.2391
results/20240120S064233.470119E065246.919961_scanAz_slow.dat,1.1600
results/20240120S065247.880619E065635.402060_scanAz_slow.dat,1.3782
read results/20241105_110135_scanAz_slow.txt,0.0053
results/20241105S110136.424936E111149.972487_scanAz_slow.dat,1.2143
results/20241105S111150.935581E112204.379778_scanAz_slow.dat,1.1891
results/20241105S112205.343804E113218.790948_scanAz_slow.dat,1.3304
results/20241105S113219.747916E114233.197948_scanAz_slow.dat,1.4990
results/20241105S114234.155527E115247.607626_scanAz_slow.dat,1.1290
results/20241105S115248.567597E115636.086564_scanAz_slow.dat,1.2777
read results/20241130_020135_scanAz_slow.txt,0.0054
results/20241130S020136.100757E021149.644459_scanAz_slow.dat,1.3532
results/20241130S021150.600591E022204.052643_scanAz_slow.dat,1.1935
results/20241130S022205.011976E023218.456774_scanAz_slow.dat,1.1637
results/20241130S023219.420386E024232.867893_scanAz_slow.dat,1.3522
results/20241130S024233.827878E025247.274159_scanAz_slow.dat,1.1932
results/20241130S025248.236892E025635.756830_scanAz_slow.dat,1.1570
read results/20240216_190135_scanAz_slow.txt,0.0053
results/20240216S190136.090390E191149.638808_scanAz_slow.dat,1.1726
results/20240216S191150.601223E192204.051116_scanAz_slow.dat,1.2488
results/20240216S192205.010485E193218.455333_scanAz_slow.dat,1.1380
results/20240216S193219.419226E194232.862913_scanAz_slow.dat,1.3053
results/20240216S194233.826526E195247.273352_scanAz_slow.dat,1.1629
results/20240216S195248.236324E195635.754003_scanAz_slow.dat,1.1637
read results/20241018_190135_scanAz_slow.txt,0.0054
results/20241018S190136.430731E191149.983803_scanAz_slow.dat,1.2057
results/20241018S191150.940130E192204.390965_scanAz_slow.dat,1.1487
