TIME,take TIME (seconds)
unzip 20260202.zip,0.1054
delete_unneeded_files,0.0166
unzip 20260203.zip,0.6236
delete_unneeded_files,0.0426
unzip 20260204.zip,0.6206
delete_unneeded_files,0.0431
unzip 20260205.zip,0.6181
delete_unneeded_files,0.0427
unzip 20260206.zip,0.6203
delete_unneeded_files,0.0433
unzip 20260207.zip,0.6197
delete_unneeded_files,0.0434
unzip 20260208.zip,0.6200
delete_unneeded_files,0.0434
unzip 20260209.zip,0.6207
delete_unneeded_files,0.0432
unzip 20260210.zip,0.6458
delete_unneeded_files,0.0458

Total time taken: 5.4583 seconds
