Time,AZ,Zen
2025-01-02 01:01:36.356480,2.625,35.0
2025-01-02 01:01:37.417590,14.25,35.0
2025-01-02 01:01:38.377669,25.95,35.0
2025-01-02 01:01:39.338350,37.65,35.0
2025-01-02 01:01:40.299059,49.275,35.0
2025-01-02 01:01:41.254655,60.975,35.0
2025-01-02 01:01:42.216149,72.675,35.0
2025-01-02 01:01:43.177546,84.375,35.0
2025-01-02 01:01:44.138573,96.075,35.0
2025-01-02 01:01:45.094391,107.7,35.0
2025-01-02 01:01:46.057301,119.4,35.0
2025-01-02 01:01:47.018278,131.1,35.0
2025-01-02 01:01:47.979661,142.725,35.0
2025-01-02 01:01:48.934871,154.425,35.0
2025-01-02 01:01:49.896213,166.125,35.0
2025-01-02 01:01:50.857540,177.825,35.0
2025-01-02 01:01:51.818602,189.525,35.0
2025-01-02 01:01:52.775320,201.15,35.0
2025-01-02 01:01:53.737538,212.85,35.0
2025-01-02 01:01:54.698590,224.55,35.0
2025-01-02 01:01:55.654795,236.175,35.0
2025-01-02 01:01:56.617265,247.875,35.0
2025-01-02 01:01:57.578854,259.575,35.0
2025-01-02 01:01:58.534728,271.2,35.0
2025-01-02 01:01:59.496715,282.9,35.0
2025-01-02 01:02:00.458360,294.6,35.0
2025-01-02 01:02:01.413928,306.225,35.0
2025-01-02 01:02:02.375645,317.925,35.0
2025-01-02 01:02:03.337579,329.625,35.0
2025-01-02 01:02:04.298611,341.325,35.0
2025-01-02 01:02:05.259671,352.95,35.0
2025-01-02 01:02:06.257508,365.175,35.0
2025-01-02 01:02:07.225271,376.95,35.0
2025-01-02 01:02:08.187088,388.65,35.0
2025-01-02 01:02:09.148121,400.275,35.0
2025-01-02 01:02:10.103645,411.975,35.0
2025-01-02 01:02:11.066149,423.675,35.0
2025-01-02 01:02:12.027791,435.3,35.0
2025-01-02 01:02:12.983396,447.0,35.0
2025-01-02 01:02:13.944725,458.7,35.0
2025-01-02 01:02:14.906145,470.4,35.0
2025-01-02 01:02:15.864064,482.025,35.0
2025-01-02 01:02:16.825963,493.725,35.0
2025-01-02 01:02:17.787645,505.35,35.0
2025-01-02 01:02:18.743164,517.05,35.0
2025-01-02 01:02:19.705177,528.75,35.0
2025-01-02 01:02:20.667019,540.375,35.0
2025-01-02 01:02:21.623207,552.075,35.0
2025-01-02 01:02:22.584933,563.775,35.0
2025-01-02 01:02:23.547197,575.4,35.0
2025-01-02 01:02:24.503049,587.1,35.0
2025-01-02 01:02:25.465035,598.8,35.0
2025-01-02 01:02:26.427073,610.5,35.0
2025-01-02 01:02:27.382899,622.125,35.0
2025-01-02 01:02:28.345110,633.825,35.0
2025-01-02 01:02:29.306717,645.525,35.0
2025-01-02 01:02:30.267757,657.15,35.0
2025-01-02 01:02:31.223432,668.85,35.0
2025-01-02 01:02:32.185129,680.55,35.0
2025-01-02 01:02:33.147171,692.25,35.0
2025-01-02 01:02:34.108287,703.875,35.0
2025-01-02 01:02:35.064098,715.575,35.0
2025-01-02 01:02:36.025102,727.275,35.0
2025-01-02 01:02:36.987154,739.05,35.0
2025-01-02 01:02:37.948332,750.6,35.0
2025-01-02 01:02:38.905656,762.3,35.0
2025-01-02 01:02:39.867552,773.925,35.0
2025-01-02 01:02:40.823813,785.625,35.0
2025-01-02 01:02:41.787215,797.325,35.0
2025-01-02 01:02:42.743212,808.95,35.0
2025-01-02 01:02:43.706587,820.65,35.0
2025-01-02 01:02:44.662679,832.275,35.0
2025-01-02 01:02:45.624897,843.975,35.0
2025-01-02 01:02:46.587784,855.6,35.0
2025-01-02 01:02:47.544944,867.3,35.0
2025-01-02 01:02:48.507560,879.0,35.0
2025-01-02 01:02:49.463570,890.625,35.0
2025-01-02 01:02:50.427559,902.325,35.0
2025-01-02 01:02:51.383619,913.95,35.0
2025-01-02 01:02:52.345759,925.65,35.0
2025-01-02 01:02:53.307983,937.275,35.0
2025-01-02 01:02:54.264377,948.975,35.0
2025-01-02 01:02:55.227837,960.6,35.0
2025-01-02 01:02:56.185369,972.3,35.0
2025-01-02 01:02:57.147882,983.925,35.0
2025-01-02 01:02:58.105121,995.625,35.0
2025-01-02 01:02:59.068192,1007.25,35.0
2025-01-02 01:03:00.026667,1018.95,35.0
2025-01-02 01:03:00.988545,1030.575,35.0
2025-01-02 01:03:01.948551,1042.2,35.0
2025-01-02 01:03:02.906828,1053.9,35.0
2025-01-02 01:03:03.863213,1065.525,35.0
2025-01-02 01:03:04.825383,1077.225,35.0
2025-01-02 01:03:05.788083,1088.85,35.0
2025-01-02 01:03:06.748111,1100.475,35.0
2025-01-02 01:03:07.704562,1112.175,35.0
2025-01-02 01:03:08.667796,1123.875,35.0
2025-01-02 01:03:09.624046,1135.5,35.0
2025-01-02 01:03:10.585912,1147.2,35.0
2025-01-02 01:03:11.547768,1158.9,35.0
2025-01-02 01:03:12.503836,1170.525,35.0
2025-01-02 01:03:13.467604,1182.15,35.0
2025-01-02 01:03:14.425179,1193.85,35.0
2025-01-02 01:03:15.388003,1205.55,35.0
2025-01-02 01:03:16.344041,1217.175,35.0
2025-01-02 01:03:17.307734,1228.875,35.0
2025-01-02 01:03:18.263732,1240.5,35.0
2025-01-02 01:03:19.226081,1252.2,35.0
2025-01-02 01:03:20.188460,1263.825,35.0
2025-01-02 01:03:21.144719,1275.525,35.0
2025-01-02 01:03:22.107674,1287.225,35.0
2025-01-02 01:03:23.063995,1298.85,35.0
2025-01-02 01:03:24.028151,1310.475,35.0
2025-01-02 01:03:24.984368,1322.175,35.0
2025-01-02 01:03:25.947643,1333.875,35.0
2025-01-02 01:03:26.903633,1345.5,35.0
2025-01-02 01:03:27.865361,1357.2,35.0
2025-01-02 01:03:28.828076,1368.825,35.0
2025-01-02 01:03:29.784664,1380.525,35.0
2025-01-02 01:03:30.746472,1392.225,35.0
2025-01-02 01:03:31.708749,1403.85,35.0
2025-01-02 01:03:32.665997,1415.55,35.0
2025-01-02 01:03:33.629239,1427.175,35.0
2025-01-02 01:03:34.585500,1438.875,35.0
2025-01-02 01:03:35.547912,1450.575,35.0
2025-01-02 01:03:36.503899,1462.2,35.0
2025-01-02 01:03:37.467148,1473.9,35.0
2025-01-02 01:03:38.428895,1485.525,35.0
2025-01-02 01:03:39.384963,1497.225,35.0
2025-01-02 01:03:40.347351,1508.925,35.0
2025-01-02 01:03:41.309048,1520.55,35.0
2025-01-02 01:03:42.266531,1532.25,35.0
2025-01-02 01:03:43.228890,1543.875,35.0
2025-01-02 01:03:44.184885,1555.575,35.0
2025-01-02 01:03:45.147245,1567.275,35.0
2025-01-02 01:03:46.108935,1578.9,35.0
2025-01-02 01:03:47.066100,1590.6,35.0
2025-01-02 01:03:48.032051,1602.225,35.0
2025-01-02 01:03:48.988351,1613.925,35.0
2025-01-02 01:03:49.944322,1625.55,35.0
2025-01-02 01:03:50.906696,1637.25,35.0
2025-01-02 01:03:51.868655,1648.875,35.0
2025-01-02 01:03:52.824365,1660.575,35.0
2025-01-02 01:03:53.785781,1672.275,35.0
2025-01-02 01:03:54.747802,1683.975,35.0
2025-01-02 01:03:55.708872,1695.6,35.0
2025-01-02 01:03:56.664560,1707.3,35.0
2025-01-02 01:03:57.625702,1719.0,35.0
2025-01-02 01:03:58.587218,1730.7,35.0
2025-01-02 01:03:59.548786,1742.325,35.0
2025-01-02 01:04:00.505114,1754.025,35.0
2025-01-02 01:04:01.466877,1765.725,35.0
2025-01-02 01:04:02.429002,1777.35,35.0
2025-01-02 01:04:03.386549,1789.05,35.0
2025-01-02 01:04:04.343495,1800.675,35.0
2025-01-02 01:04:05.304964,1812.375,35.0
2025-01-02 01:04:06.267404,1824.075,35.0
2025-01-02 01:04:07.228486,1835.775,35.0
2025-01-02 01:04:08.184490,1847.4,35.0
2025-01-02 01:04:09.145687,1859.1,35.0
2025-01-02 01:04:10.107486,1870.8,35.0
2025-01-02 01:04:11.068858,1882.425,35.0
