DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20240724,110136.000000,110638.000000,302.0,354.974 um_pwv,433.343 um_pwv,35.0,5.073 K,0.833483
20240724,110639.000000,111140.000000,301.0,350.086 um_pwv,427.376 um_pwv,35.0,5.041 K,0.821930
20240724,111141.000000,111642.000000,301.0,344.283 um_pwv,420.292 um_pwv,35.0,5.051 K,0.808214
20240724,111643.000000,112145.000000,302.0,339.777 um_pwv,414.791 um_pwv,35.0,5.117 K,0.797564
20240724,112146.000000,112647.000000,301.0,336.917 um_pwv,411.3 um_pwv,35.0,5.04 K,0.790803
20240724,112648.000000,113150.000000,302.0,336.123 um_pwv,410.33 um_pwv,35.0,5.028 K,0.788926
20240724,113151.000000,113652.000000,301.0,331.822 um_pwv,405.08 um_pwv,35.0,5.067 K,0.778762
20240724,113653.000000,114154.000000,301.0,291.866 um_pwv,356.302 um_pwv,35.0,4.59 K,0.684319
20240724,114155.000000,114657.000000,302.0,288.617 um_pwv,352.336 um_pwv,35.0,4.642 K,0.676640
20240724,114658.000000,115159.000000,301.0,286.106 um_pwv,349.271 um_pwv,35.0,4.643 K,0.670704
20240724,115200.000000,115636.000000,276.0,282.228 um_pwv,344.537 um_pwv,35.0,4.57 K,0.661539
20240811,190135.000000,190637.000000,302.0,447.445 um_pwv,546.229 um_pwv,35.0,5.476 K,1.05204
20240811,190638.000000,191139.000000,301.0,449.686 um_pwv,548.966 um_pwv,35.0,5.462 K,1.05734
20240811,191140.000000,191642.000000,302.0,452.518 um_pwv,552.423 um_pwv,35.0,5.461 K,1.06403
20240811,191643.000000,192144.000000,301.0,451.839 um_pwv,551.594 um_pwv,35.0,5.467 K,1.06243
20240811,192145.000000,192646.000000,301.0,449.299 um_pwv,548.493 um_pwv,35.0,5.465 K,1.05642
20240811,192647.000000,193149.000000,302.0,450.484 um_pwv,549.94 um_pwv,35.0,5.466 K,1.05923
20240811,193150.000000,193651.000000,301.0,455.537 um_pwv,556.108 um_pwv,35.0,5.512 K,1.07117
20240811,193652.000000,194154.000000,302.0,459.05 um_pwv,560.396 um_pwv,35.0,5.512 K,1.07947
20240811,194155.000000,194656.000000,301.0,463.011 um_pwv,565.233 um_pwv,35.0,5.451 K,1.08883
20240811,194657.000000,195158.000000,301.0,464.873 um_pwv,567.506 um_pwv,35.0,5.436 K,1.09323
20240811,195159.000000,195635.000000,276.0,464.862 um_pwv,567.492 um_pwv,35.0,5.372 K,1.09321
20250102,210136.000000,210638.000000,302.0,671.601 um_pwv,819.874 um_pwv,35.0,6.142 K,1.58182
20250102,210639.000000,211140.000000,301.0,697.751 um_pwv,851.797 um_pwv,35.0,5.95 K,1.64362
20250102,211141.000000,211642.000000,301.0,716.597 um_pwv,874.803 um_pwv,35.0,5.691 K,1.68815
20250102,211643.000000,212145.000000,302.0,730.495 um_pwv,891.769 um_pwv,35.0,5.532 K,1.72100
20250102,212146.000000,212647.000000,301.0,742.109 um_pwv,905.948 um_pwv,35.0,5.518 K,1.74845
20250102,212648.000000,213150.000000,302.0,751.55 um_pwv,917.473 um_pwv,35.0,5.379 K,1.77076
20250102,213151.000000,213652.000000,301.0,763.939 um_pwv,932.597 um_pwv,35.0,5.256 K,1.80003
20250102,213653.000000,214154.000000,301.0,771.821 um_pwv,942.219 um_pwv,35.0,5.238 K,1.81866
20250102,214155.000000,214657.000000,302.0,783.971 um_pwv,957.052 um_pwv,35.0,5.151 K,1.84738
20250102,214658.000000,215159.000000,301.0,803.252 um_pwv,980.59 um_pwv,35.0,5.048 K,1.89294
20250102,215200.000000,215636.000000,276.0,809.03 um_pwv,987.644 um_pwv,35.0,5.025 K,1.90660
