DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20250101,010136.531267,010237.111976,60.580709,848.752 um_pwv,1036.13 um_pwv,35.0,2.785 K,2.00046
20250101,010238.073702,010338.553587,60.479885,848.74 um_pwv,1036.12 um_pwv,35.0,2.813 K,2.00044
20250101,010339.515718,010439.995459,60.479741,848.563 um_pwv,1035.9 um_pwv,35.0,2.837 K,2.00002
20250101,010440.952438,010541.433113,60.480675,848.479 um_pwv,1035.8 um_pwv,35.0,2.87 K,1.99982
20250101,010542.394360,010642.878734,60.484374,847.872 um_pwv,1035.06 um_pwv,35.0,2.826 K,1.99839
20250101,010643.834092,010744.316182,60.48209,848.195 um_pwv,1035.46 um_pwv,35.0,2.803 K,1.99915
20250101,010745.278340,010845.761350,60.48301,848.365 um_pwv,1035.66 um_pwv,35.0,2.801 K,1.99955
20250101,010846.718948,010947.199449,60.480501,847.621 um_pwv,1034.75 um_pwv,35.0,2.756 K,1.99779
20250101,010948.161569,011048.639626,60.478057,846.775 um_pwv,1033.72 um_pwv,35.0,2.759 K,1.99579
20250101,011049.601724,011150.083026,60.481302,846.689 um_pwv,1033.62 um_pwv,35.0,2.823 K,1.99559
20250101,011151.039968,011251.520436,60.480468,846.313 um_pwv,1033.16 um_pwv,35.0,2.812 K,1.99470
20250101,011252.483774,011352.963205,60.479431,845.991 um_pwv,1032.76 um_pwv,35.0,2.856 K,1.99394
20250101,011353.920206,011454.404088,60.483882,844.188 um_pwv,1030.56 um_pwv,35.0,2.787 K,1.98968
20250101,011455.363945,011555.845291,60.481346,843.917 um_pwv,1030.23 um_pwv,35.0,2.802 K,1.98904
20250101,011556.804934,011657.282985,60.478051,844.134 um_pwv,1030.5 um_pwv,35.0,2.809 K,1.98955
20250101,011658.245687,011758.727166,60.481479,844.259 um_pwv,1030.65 um_pwv,35.0,2.821 K,1.98985
20250101,011759.684070,011900.165217,60.481147,844.686 um_pwv,1031.17 um_pwv,35.0,2.86 K,1.99086
20250101,011901.128778,012001.610332,60.481554,844.813 um_pwv,1031.33 um_pwv,35.0,2.809 K,1.99116
20250101,012002.569137,012103.049782,60.480645,844.051 um_pwv,1030.4 um_pwv,35.0,2.756 K,1.98936
20250101,012104.006733,012204.487716,60.480983,843.063 um_pwv,1029.19 um_pwv,35.0,2.774 K,1.98702
20250101,012205.451016,012305.931881,60.480865,844.009 um_pwv,1030.35 um_pwv,35.0,2.806 K,1.98926
20250101,012306.890885,012407.371921,60.481036,844.551 um_pwv,1031.01 um_pwv,35.0,2.776 K,1.99054
20250101,012408.328807,012508.812290,60.483483,844.188 um_pwv,1030.56 um_pwv,35.0,2.839 K,1.98968
20250101,012509.775009,012610.254981,60.479972,843.655 um_pwv,1029.91 um_pwv,35.0,2.835 K,1.98842
20250101,012611.212790,012711.695955,60.483165,842.897 um_pwv,1028.99 um_pwv,35.0,2.772 K,1.98663
20250101,012712.654082,012813.134856,60.480774,841.691 um_pwv,1027.51 um_pwv,35.0,2.729 K,1.98378
20250101,012814.097559,012914.574382,60.476823,841.4 um_pwv,1027.16 um_pwv,35.0,2.787 K,1.98309
20250101,012915.537340,013016.013754,60.476414,840.837 um_pwv,1026.47 um_pwv,35.0,2.781 K,1.98176
20250101,013016.977090,013117.455038,60.477948,841.026 um_pwv,1026.7 um_pwv,35.0,2.802 K,1.98221
20250101,013118.417912,013218.897595,60.479683,840.92 um_pwv,1026.57 um_pwv,35.0,2.798 K,1.98196
20250101,013219.860375,013320.336468,60.476093,842.125 um_pwv,1028.04 um_pwv,35.0,2.843 K,1.98480
20250101,013321.299215,013421.781095,60.48188,841.846 um_pwv,1027.7 um_pwv,35.0,2.827 K,1.98414
20250101,013422.740149,013523.220685,60.480536,840.787 um_pwv,1026.41 um_pwv,35.0,2.787 K,1.98164
20250101,013524.183325,013624.661690,60.478365,840.941 um_pwv,1026.6 um_pwv,35.0,2.792 K,1.98201
20250101,013625.618611,013726.103544,60.484933,841.149 um_pwv,1026.85 um_pwv,35.0,2.759 K,1.98250
20250101,013727.061914,013827.543960,60.482046,841.243 um_pwv,1026.97 um_pwv,35.0,2.745 K,1.98272
20250101,013828.502568,013928.981748,60.47918,843.343 um_pwv,1029.53 um_pwv,35.0,2.812 K,1.98768
20250101,013929.944721,014030.427209,60.482488,843.385 um_pwv,1029.58 um_pwv,35.0,2.808 K,1.98778
20250101,014031.384190,014131.863415,60.479225,843.167 um_pwv,1029.32 um_pwv,35.0,2.813 K,1.98727
20250101,014132.826772,014233.307726,60.480954,844.104 um_pwv,1030.46 um_pwv,35.0,2.874 K,1.98948
20250101,014234.266722,014334.744561,60.477839,844.019 um_pwv,1030.36 um_pwv,35.0,2.819 K,1.98928
20250101,014335.708787,014436.189242,60.480455,845.448 um_pwv,1032.1 um_pwv,35.0,2.765 K,1.99266
20250101,014437.146511,014537.630149,60.483638,847.131 um_pwv,1034.16 um_pwv,35.0,2.787 K,1.99663
20250101,014538.588549,014639.066918,60.478369,849.066 um_pwv,1036.52 um_pwv,35.0,2.831 K,2.00121
20250101,014640.030866,014740.510933,60.480067,850.586 um_pwv,1038.37 um_pwv,35.0,2.843 K,2.00480
20250101,014741.467874,014841.953920,60.486046,851.51 um_pwv,1039.5 um_pwv,35.0,2.796 K,2.00698
20250101,014842.911788,014943.392625,60.480837,852.657 um_pwv,1040.9 um_pwv,35.0,2.738 K,2.00969
20250101,014944.350450,015044.834055,60.483605,853.626 um_pwv,1042.08 um_pwv,35.0,2.712 K,2.01198
20250101,015045.790967,015146.274040,60.483073,854.743 um_pwv,1043.45 um_pwv,35.0,2.753 K,2.01462
20250101,015147.236786,015247.715389,60.478603,856.148 um_pwv,1045.16 um_pwv,35.0,2.811 K,2.01794
20250101,015248.672981,015349.157043,60.484062,856.264 um_pwv,1045.3 um_pwv,35.0,2.797 K,2.01822
20250101,015350.114635,015450.593866,60.479231,856.221 um_pwv,1045.25 um_pwv,35.0,2.809 K,2.01812
20250101,015451.558371,015552.039061,60.48069,856.285 um_pwv,1045.33 um_pwv,35.0,2.813 K,2.01827
20250101,015552.996934,015636.196302,43.199368,845.74 um_pwv,1032.46 um_pwv,35.0,2.735 K,1.99335
