TIME,take TIME (seconds)
read results/20250101_010135_scanAz_slow.txt,0.0570
results/20250101S010136.531267E011150.083026_scanAz_slow.dat,0.7420
results/20250101S011151.039968E012204.487716_scanAz_slow.dat,0.6789
results/20250101S012205.451016E013218.897595_scanAz_slow.dat,0.6658
results/20250101S013219.860375E014233.307726_scanAz_slow.dat,0.6452
results/20250101S014234.266722E015247.715389_scanAz_slow.dat,0.5999
results/20250101S015248.672981E015636.196302_scanAz_slow.dat,0.6999
read results/20250102_010135_scanAz_slow.txt,0.0296
results/20250102S010136.356480E011149.953715_scanAz_slow.dat,0.6477
results/20250102S011150.915879E012204.359759_scanAz_slow.dat,0.6507
results/20250102S012205.322679E013218.766506_scanAz_slow.dat,0.6685
results/20250102S013219.731056E014233.179346_scanAz_slow.dat,0.6498
results/20250102S014234.136250E015247.585208_scanAz_slow.dat,0.6415
results/20250102S015248.547936E015636.065059_scanAz_slow.dat,0.6271
read results/20250102_020135_scanAz_slow.txt,0.0270
results/20250102S020136.161843E021149.714923_scanAz_slow.dat,0.6431
results/20250102S021150.671925E022204.121943_scanAz_slow.dat,0.6380
results/20250102S022205.078901E023218.530152_scanAz_slow.dat,0.6167
results/20250102S023219.487067E024232.939080_scanAz_slow.dat,0.6366
results/20250102S024233.896000E025247.345976_scanAz_slow.dat,0.6316
results/20250102S025248.302864E025635.827338_scanAz_slow.dat,0.6390
read results/20250102_030134_scanAz_slow.txt,0.0284
results/20250102S030135.969210E031149.522003_scanAz_slow.dat,0.6441
results/20250102S031150.478362E032203.929145_scanAz_slow.dat,0.6320
results/20250102S032204.886040E033218.338900_scanAz_slow.dat,0.6329
results/20250102S033219.298003E034232.746782_scanAz_slow.dat,0.5954
results/20250102S034233.704610E035247.152224_scanAz_slow.dat,0.6486
results/20250102S035248.115176E035635.633878_scanAz_slow.dat,0.6441
read results/20250102_050134_scanAz_slow.txt,0.0290
results/20250102S050135.825848E051149.376553_scanAz_slow.dat,0.6224
results/20250102S051150.331754E052203.781619_scanAz_slow.dat,0.6473
results/20250102S052204.743887E053218.192683_scanAz_slow.dat,0.6352
results/20250102S053219.148347E054232.599324_scanAz_slow.dat,0.6377
results/20250102S054233.557168E055247.008843_scanAz_slow.dat,0.6120
results/20250102S055247.964887E055635.486667_scanAz_slow.dat,0.6099
read results/20250102_060134_scanAz_slow.txt,0.0292
results/20250102S060135.631573E061149.183934_scanAz_slow.dat,0.6420
results/20250102S061150.139475E062203.590296_scanAz_slow.dat,0.6328
results/20250102S062204.546204E063217.997959_scanAz_slow.dat,0.6331
results/20250102S063218.953960E064232.405161_scanAz_slow.dat,0.7036
results/20250102S064233.366680E065246.811653_scanAz_slow.dat,0.6308
results/20250102S065247.773065E065635.292223_scanAz_slow.dat,0.6081
read results/20250102_070135_scanAz_slow.txt,0.0246
results/20250102S070136.445728E071149.994491_scanAz_slow.dat,0.6772
results/20250102S071150.955791E072204.401091_scanAz_slow.dat,0.6483
results/20250102S072205.362822E073218.807651_scanAz_slow.dat,0.6314
results/20250102S073219.771606E074233.216689_scanAz_slow.dat,0.6068
results/20250102S074234.179638E075247.628171_scanAz_slow.dat,0.6227
results/20250102S075248.583857E075636.107427_scanAz_slow.dat,0.6329
read results/20250102_090135_scanAz_slow.txt,0.0276
results/20250102S090136.262711E091149.845875_scanAz_slow.dat,0.6337
results/20250102S091150.807729E092204.254304_scanAz_slow.dat,0.6754
results/20250102S092205.212100E093218.661090_scanAz_slow.dat,0.7419
results/20250102S093219.623838E094233.072135_scanAz_slow.dat,0.6612
results/20250102S094234.029654E095247.479160_scanAz_slow.dat,0.6817
results/20250102S095248.437603E095635.958766_scanAz_slow.dat,0.6820
read results/20250102_100135_scanAz_slow.txt,0.0279
results/20250102S100136.065966E101149.605609_scanAz_slow.dat,0.6885
results/20250102S101150.561637E102204.012832_scanAz_slow.dat,0.6608
results/20250102S102204.970041E103218.421514_scanAz_slow.dat,0.6861
results/20250102S103219.378733E104232.825329_scanAz_slow.dat,0.6243
results/20250102S104233.788623E105247.237632_scanAz_slow.dat,0.6301
results/20250102S105248.196120E105635.716201_scanAz_slow.dat,0.6405
read results/20250102_110134_scanAz_slow.txt,0.0269
results/20250102S110135.878483E111149.456134_scanAz_slow.dat,0.6518
results/20250102S111150.418549E112203.867666_scanAz_slow.dat,0.6393
results/20250102S112204.825139E113218.271757_scanAz_slow.dat,0.6536
results/20250102S113219.235057E114232.680046_scanAz_slow.dat,0.6218
results/20250102S114233.639722E115247.087691_scanAz_slow.dat,0.6235
results/20250102S115248.051603E115635.571280_scanAz_slow.dat,0.6256
read results/20250102_130134_scanAz_slow.txt,0.0270
results/20250102S130135.690326E131149.261024_scanAz_slow.dat,0.6072
results/20250102S131150.221747E132203.673074_scanAz_slow.dat,0.6059
results/20250102S132204.629967E133218.080226_scanAz_slow.dat,0.6073
results/20250102S133219.041971E134232.488648_scanAz_slow.dat,0.6426
results/20250102S134233.444788E135247.324961_scanAz_slow.dat,0.6255
results/20250102S135248.287476E135634.850784_scanAz_slow.dat,0.6118
read results/20250102_140135_scanAz_slow.txt,0.0299
results/20250102S140136.495194E141150.027974_scanAz_slow.dat,0.6313
results/20250102S141150.990758E142204.439179_scanAz_slow.dat,0.6413
results/20250102S142205.400880E143218.845541_scanAz_slow.dat,0.6754
results/20250102S143219.807838E144233.256453_scanAz_slow.dat,0.6219
results/20250102S144234.212325E145247.661663_scanAz_slow.dat,0.6140
results/20250102S145248.623168E145636.145091_scanAz_slow.dat,0.6244
read results/20250102_150135_scanAz_slow.txt,0.0270
results/20250102S150136.336160E151149.884705_scanAz_slow.dat,0.6161
results/20250102S151150.845696E152204.293822_scanAz_slow.dat,0.6084
results/20250102S152205.255998E153218.701331_scanAz_slow.dat,0.6412
results/20250102S153219.663435E154233.106663_scanAz_slow.dat,0.6350
results/20250102S154234.068200E155247.519884_scanAz_slow.dat,0.5993
results/20250102S155248.478331E155635.998458_scanAz_slow.dat,0.6028
read results/20250102_170135_scanAz_slow.txt,0.0260
results/20250102S170136.148398E171149.694199_scanAz_slow.dat,0.6046
results/20250102S171150.651739E172204.100654_scanAz_slow.dat,0.5965
results/20250102S172205.059006E173218.508831_scanAz_slow.dat,0.6138
results/20250102S173219.466312E174232.918718_scanAz_slow.dat,0.6019
results/20250102S174233.877172E175247.323194_scanAz_slow.dat,0.6066
results/20250102S175248.286499E175635.806436_scanAz_slow.dat,0.6112
read results/20250102_180134_scanAz_slow.txt,0.0334
results/20250102S180135.949811E181149.500525_scanAz_slow.dat,0.6158
results/20250102S181150.456887E182203.907337_scanAz_slow.dat,0.6045
results/20250102S182204.865087E183218.313064_scanAz_slow.dat,0.5899
results/20250102S183219.277282E184232.725569_scanAz_slow.dat,0.5982
results/20250102S184233.685262E185247.134465_scanAz_slow.dat,0.5880
results/20250102S185248.093238E185635.611916_scanAz_slow.dat,0.6087
read results/20250102_190134_scanAz_slow.txt,0.0263
results/20250102S190135.767758E191149.307608_scanAz_slow.dat,0.6119
results/20250102S191150.269980E192203.714509_scanAz_slow.dat,0.6067
results/20250102S192204.672018E193218.122135_scanAz_slow.dat,0.5930
results/20250102S193219.085350E194232.532006_scanAz_slow.dat,0.5996
results/20250102S194233.490140E195246.940224_scanAz_slow.dat,0.6131
results/20250102S195247.897237E195635.420871_scanAz_slow.dat,0.6178
read results/20250102_210135_scanAz_slow.txt,0.0266
results/20250102S210136.528704E211150.075462_scanAz_slow.dat,0.6106
results/20250102S211151.036470E212204.483320_scanAz_slow.dat,0.5986
results/20250102S212205.446046E213218.891572_scanAz_slow.dat,0.5987
results/20250102S213219.853311E214233.302641_scanAz_slow.dat,0.5884
results/20250102S214234.259652E215247.708932_scanAz_slow.dat,0.6015
results/20250102S215248.670573E215636.190952_scanAz_slow.dat,0.6102
read results/20250102_220135_scanAz_slow.txt,0.0262
results/20250102S220136.333024E221149.883288_scanAz_slow.dat,0.6254
results/20250102S221150.844459E222204.292448_scanAz_slow.dat,0.7767
results/20250102S222205.249623E223218.698654_scanAz_slow.dat,0.8146
results/20250102S223219.661574E224233.107077_scanAz_slow.dat,0.7951
results/20250102S224234.070211E225247.519529_scanAz_slow.dat,0.6182
results/20250102S225248.476116E225635.999357_scanAz_slow.dat,0.7204
read results/20250131_010134_scanAz_slow.txt,0.0228
results/20250131S010135.719037E011149.271670_scanAz_slow.dat,0.7096
results/20250131S011150.229366E012203.678145_scanAz_slow.dat,0.6664
results/20250131S012204.636571E012749.282046_scanAz_slow.dat,0.6673

Total time taken: 71.4224 seconds
