TIME,take TIME (seconds)
read results/20240110_130134_scanAz_slow.txt,0.0402
results/20240110S130135.746796E130637.322668_scanAz_slow.dat,1.2651
results/20240110S130638.278444E131139.724724_scanAz_slow.dat,2.3012
results/20240110S131140.687207E131642.129091_scanAz_slow.dat,3.1575
results/20240110S131643.092184E132144.535179_scanAz_slow.dat,3.9835
results/20240110S132145.492439E132646.934611_scanAz_slow.dat,4.7793
results/20240110S132647.897928E133149.344120_scanAz_slow.dat,5.5768
results/20240110S133150.302243E133651.747481_scanAz_slow.dat,6.4368
results/20240110S133652.705269E134154.152503_scanAz_slow.dat,7.2653
results/20240110S134155.109868E134656.555184_scanAz_slow.dat,8.0731
results/20240110S134657.512739E135158.955613_scanAz_slow.dat,8.8675
results/20240110S135159.920146E135635.439248_scanAz_slow.dat,9.6615
read results/20240612_190135_scanAz_slow.txt,0.0176
read results/20240724_110135_scanAz_slow.txt,0.0123
results/20240724S110136.506027E110638.051106_scanAz_slow.dat,0.7192
results/20240724S110639.012623E111140.455886_scanAz_slow.dat,1.4737
results/20240724S111141.412573E111642.855149_scanAz_slow.dat,2.2758
results/20240724S111643.818778E112145.262317_scanAz_slow.dat,3.0318
results/20240724S112146.220391E112647.666601_scanAz_slow.dat,3.7937
results/20240724S112648.624400E113150.067707_scanAz_slow.dat,4.5774
results/20240724S113151.025430E113652.472673_scanAz_slow.dat,5.3086
results/20240724S113653.430140E114154.874587_scanAz_slow.dat,6.0602
results/20240724S114155.837348E114657.279808_scanAz_slow.dat,6.8309
results/20240724S114658.236610E115159.683824_scanAz_slow.dat,7.6325
results/20240724S115200.641698E115636.163135_scanAz_slow.dat,8.5346
read results/20250101_010135_scanAz_slow.txt,0.0733
results/20250101S010136.531267E010638.075036_scanAz_slow.dat,0.7913
results/20250101S010639.036932E011140.481158_scanAz_slow.dat,1.5852
results/20250101S011141.438147E011642.883528_scanAz_slow.dat,2.3086
results/20250101S011643.846837E012145.289752_scanAz_slow.dat,3.2246
results/20250101S012146.247601E012647.693919_scanAz_slow.dat,4.0905
results/20250101S012648.650890E013150.099608_scanAz_slow.dat,4.8405
results/20250101S013151.057684E013652.502847_scanAz_slow.dat,5.6120
results/20250101S013653.461336E014154.903066_scanAz_slow.dat,6.3796
results/20250101S014155.867169E014657.308458_scanAz_slow.dat,7.1384
results/20250101S014658.272029E015159.715081_scanAz_slow.dat,7.9044
results/20250101S015200.672392E015636.196302_scanAz_slow.dat,8.6534

Total time taken: 164.2779 seconds
