TIME,PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20250101T010136.531267,836.679 um_pwv,1021.4 um_pwv,35.0,2.715 K,1.97193
20250101T010137.592410,840.817 um_pwv,1026.45 um_pwv,35.0,2.8 K,1.98171
20250101T010138.552774,842.76 um_pwv,1028.82 um_pwv,35.0,2.819 K,1.98631
20250101T010139.513093,844.144 um_pwv,1030.51 um_pwv,35.0,2.831 K,1.98957
20250101T010140.473619,849.497 um_pwv,1037.04 um_pwv,35.0,2.948 K,2.00222
20250101T010141.434115,850.693 um_pwv,1038.5 um_pwv,35.0,2.956 K,2.00505
20250101T010142.394270,852.573 um_pwv,1040.8 um_pwv,35.0,2.857 K,2.00949
20250101T010143.355159,851.29 um_pwv,1039.23 um_pwv,35.0,2.974 K,2.00646
20250101T010144.311045,849.557 um_pwv,1037.12 um_pwv,35.0,2.816 K,2.00237
20250101T010145.272953,851.827 um_pwv,1039.89 um_pwv,35.0,2.772 K,2.00773
20250101T010146.233995,849.192 um_pwv,1036.67 um_pwv,35.0,2.659 K,2.00150
20250101T010147.191706,848.626 um_pwv,1035.98 um_pwv,35.0,2.527 K,2.00017
20250101T010148.153605,846.241 um_pwv,1033.07 um_pwv,35.0,2.467 K,1.99453
20250101T010149.114722,844.947 um_pwv,1031.49 um_pwv,35.0,2.508 K,1.99147
20250101T010150.069942,848.04 um_pwv,1035.27 um_pwv,35.0,2.575 K,1.99878
20250101T010151.031321,850.576 um_pwv,1038.36 um_pwv,35.0,2.473 K,2.00478
20250101T010151.993550,852.257 um_pwv,1040.41 um_pwv,35.0,2.591 K,2.00875
20250101T010152.954881,854.638 um_pwv,1043.32 um_pwv,35.0,2.654 K,2.01437
20250101T010153.910534,854.268 um_pwv,1042.87 um_pwv,35.0,2.731 K,2.01350
20250101T010154.871799,856.719 um_pwv,1045.86 um_pwv,35.0,2.816 K,2.01929
20250101T010155.833775,857.406 um_pwv,1046.7 um_pwv,35.0,2.972 K,2.02091
20250101T010156.795119,855.895 um_pwv,1044.85 um_pwv,35.0,2.945 K,2.01734
20250101T010157.750924,858.295 um_pwv,1047.78 um_pwv,35.0,3.024 K,2.02302
20250101T010158.712901,855.451 um_pwv,1044.31 um_pwv,35.0,3.062 K,2.01630
20250101T010159.674230,852.362 um_pwv,1040.54 um_pwv,35.0,2.937 K,2.00900
20250101T010200.630207,851.953 um_pwv,1040.04 um_pwv,35.0,2.939 K,2.00803
20250101T010201.592454,847.705 um_pwv,1034.86 um_pwv,35.0,2.783 K,1.99799
20250101T010202.554090,844.623 um_pwv,1031.09 um_pwv,35.0,2.788 K,1.99071
20250101T010203.515500,840.081 um_pwv,1025.55 um_pwv,35.0,2.682 K,1.97997
20250101T010204.471423,838.466 um_pwv,1023.58 um_pwv,35.0,2.559 K,1.97616
20250101T010205.432987,836.522 um_pwv,1021.21 um_pwv,35.0,2.621 K,1.97156
20250101T010206.395233,842.719 um_pwv,1028.77 um_pwv,35.0,2.727 K,1.98621
20250101T010207.351154,840.402 um_pwv,1025.94 um_pwv,35.0,2.745 K,1.98073
20250101T010208.313109,842.24 um_pwv,1028.19 um_pwv,35.0,2.745 K,1.98508
20250101T010209.274217,844.396 um_pwv,1030.82 um_pwv,35.0,2.829 K,1.99017
20250101T010210.231038,848.94 um_pwv,1036.36 um_pwv,35.0,2.93 K,2.00091
20250101T010211.193352,849.369 um_pwv,1036.89 um_pwv,35.0,2.929 K,2.00192
20250101T010212.154726,851.5 um_pwv,1039.49 um_pwv,35.0,2.945 K,2.00696
20250101T010213.110242,853.741 um_pwv,1042.22 um_pwv,35.0,2.994 K,2.01225
20250101T010214.072396,851.489 um_pwv,1039.48 um_pwv,35.0,2.89 K,2.00693
20250101T010215.033765,849.159 um_pwv,1036.63 um_pwv,35.0,2.821 K,2.00143
20250101T010215.995151,850.219 um_pwv,1037.93 um_pwv,35.0,2.662 K,2.00393
20250101T010216.950721,847.591 um_pwv,1034.72 um_pwv,35.0,2.589 K,1.99772
20250101T010217.913259,845.353 um_pwv,1031.99 um_pwv,35.0,2.614 K,1.99243
20250101T010218.874303,844.134 um_pwv,1030.5 um_pwv,35.0,2.423 K,1.98955
20250101T010219.835348,846.241 um_pwv,1033.07 um_pwv,35.0,2.53 K,1.99453
20250101T010220.791093,850.849 um_pwv,1038.69 um_pwv,35.0,2.523 K,2.00542
20250101T010221.753382,852.405 um_pwv,1040.59 um_pwv,35.0,2.64 K,2.00910
20250101T010222.710251,856.106 um_pwv,1045.11 um_pwv,35.0,2.785 K,2.01784
20250101T010223.673616,856.39 um_pwv,1045.46 um_pwv,35.0,2.85 K,2.01852
20250101T010224.634964,858.231 um_pwv,1047.71 um_pwv,35.0,3.099 K,2.02287
20250101T010225.590580,859.694 um_pwv,1049.49 um_pwv,35.0,2.962 K,2.02632
20250101T010226.552256,859.366 um_pwv,1049.09 um_pwv,35.0,3.196 K,2.02555
20250101T010227.513688,858.878 um_pwv,1048.5 um_pwv,35.0,3.083 K,2.02439
20250101T010228.475021,854.795 um_pwv,1043.51 um_pwv,35.0,3.132 K,2.01475
20250101T010229.431184,854.204 um_pwv,1042.79 um_pwv,35.0,3.019 K,2.01335
20250101T010230.392596,851.101 um_pwv,1039 um_pwv,35.0,2.905 K,2.00602
20250101T010231.354359,846.084 um_pwv,1032.88 um_pwv,35.0,2.827 K,1.99416
20250101T010232.315722,842.511 um_pwv,1028.52 um_pwv,35.0,2.676 K,1.98572
20250101T010233.271623,842.063 um_pwv,1027.97 um_pwv,35.0,2.689 K,1.98466
20250101T010234.232678,839.418 um_pwv,1024.74 um_pwv,35.0,2.662 K,1.97841
20250101T010235.194370,838.486 um_pwv,1023.6 um_pwv,35.0,2.705 K,1.97621
20250101T010236.155471,838.785 um_pwv,1023.97 um_pwv,35.0,2.743 K,1.97691
20250101T010237.111976,840.259 um_pwv,1025.77 um_pwv,35.0,2.78 K,1.98039
20250101T010238.073702,843.623 um_pwv,1029.87 um_pwv,35.0,2.831 K,1.98834
20250101T010239.035668,842.666 um_pwv,1028.7 um_pwv,35.0,2.823 K,1.98608
20250101T010239.992890,849.233 um_pwv,1036.72 um_pwv,35.0,3.04 K,2.00160
20250101T010240.954984,850.04 um_pwv,1037.71 um_pwv,35.0,2.974 K,2.00351
20250101T010241.911918,853.268 um_pwv,1041.65 um_pwv,35.0,2.984 K,2.01114
20250101T010242.874376,851.942 um_pwv,1040.03 um_pwv,35.0,2.965 K,2.00800
20250101T010243.836234,849.884 um_pwv,1037.52 um_pwv,35.0,2.778 K,2.00314
20250101T010244.793670,851.858 um_pwv,1039.93 um_pwv,35.0,2.679 K,2.00780
20250101T010245.750110,848.929 um_pwv,1036.35 um_pwv,35.0,2.743 K,2.00088
20250101T010246.713007,847.809 um_pwv,1034.98 um_pwv,35.0,2.603 K,1.99824
20250101T010247.675208,846.095 um_pwv,1032.89 um_pwv,35.0,2.658 K,1.99419
20250101T010248.632306,846.188 um_pwv,1033 um_pwv,35.0,2.605 K,1.99441
20250101T010249.594552,847.716 um_pwv,1034.87 um_pwv,35.0,2.522 K,1.99802
20250101T010250.551404,850.576 um_pwv,1038.36 um_pwv,35.0,2.65 K,2.00478
20250101T010251.513550,852.521 um_pwv,1040.74 um_pwv,35.0,2.699 K,2.00937
20250101T010252.475458,855.102 um_pwv,1043.89 um_pwv,35.0,2.768 K,2.01547
20250101T010253.432516,855.027 um_pwv,1043.8 um_pwv,35.0,2.878 K,2.01529
20250101T010254.394755,860.427 um_pwv,1050.39 um_pwv,35.0,3.124 K,2.02805
20250101T010255.350890,859.047 um_pwv,1048.7 um_pwv,35.0,2.992 K,2.02479
20250101T010256.315211,858.454 um_pwv,1047.98 um_pwv,35.0,3.102 K,2.02339
20250101T010257.272911,858.136 um_pwv,1047.59 um_pwv,35.0,3.251 K,2.02264
20250101T010258.235117,856.252 um_pwv,1045.29 um_pwv,35.0,3.062 K,2.01819
20250101T010259.191595,854.216 um_pwv,1042.81 um_pwv,35.0,3.096 K,2.01338
20250101T010300.154385,849.641 um_pwv,1037.22 um_pwv,35.0,2.887 K,2.00257
