TIME,take TIME (seconds)
read results/20250101_130134_scanAz_slow.txt,0.0063
20250101S130135.942056E131149.519896,1.1667
20250101S131150.480926E132203.927564,1.1977
20250101S132204.890877E133218.339627,1.1650
20250101S133219.296003E134232.743332,1.1094
20250101S134233.705874E135247.153208,1.1273
20250101S135248.115374E135635.634445,1.1958
read results/20250101_190134_scanAz_slow.txt,0.0055
20250101S190136.020372E191149.571146,1.2501
20250101S191150.533251E192203.977397,1.1498
20250101S192204.940985E193218.389948,1.1615
20250101S193219.346854E194232.798900,1.1310
20250101S194233.755898E195247.202278,1.1899
20250101S195248.166152E195635.686223,1.1918
read results/20250113_130134_scanAz_slow.txt,0.0053
20250113S130135.730259E131149.267750,1.3479
20250113S131150.229119E132203.675539,1.2864
20250113S132204.636980E133218.083767,1.1403
20250113S133219.042224E134232.491496,1.2161
20250113S134233.453337E135246.898525,1.2114
20250113S135247.860026E135635.381192,1.1894
read results/20250107_170134_scanAz_slow.txt,0.0053
20250107S170135.735609E171149.309076,1.1884
20250107S171150.270914E172203.719495,1.1476
20250107S172204.678225E173218.129161,1.1539
20250107S173219.087655E174232.532403,1.1876
20250107S174233.496906E175246.945199,1.1291
20250107S175247.902369E175635.423415,1.1922
read results/20250102_130134_scanAz_slow.txt,0.0054
20250102S130135.690326E131149.261024,1.4141
20250102S131150.221747E132203.673074,1.2397
20250102S132204.629967E133218.080226,1.2072
20250102S133219.041971E134232.488648,1.4155
20250102S134233.444788E135247.324961,1.1838
20250102S135248.287476E135634.850784,1.2363
read results/20250113_110134_scanAz_slow.txt,0.0063
20250113S110135.914479E111149.459383,1.1932
20250113S111150.417236E112203.867799,1.1397
20250113S112204.827135E113218.276356,1.1334
20250113S113219.235436E114232.683754,1.2033
20250113S114233.641257E115247.092161,1.1716
20250113S115248.051854E115635.570527,1.1574
read results/20250103_050135_scanAz_slow.txt,0.0053
20250103S050136.543915E051150.084905,1.2305
20250103S051151.045620E052204.491708,1.1203
20250103S052205.453880E053218.900453,1.1191
20250103S053219.861920E054233.306375,1.2262
20250103S054234.268875E055247.717613,1.1558
20250103S055248.674222E055636.198202,1.6545
read results/20250109_050134_scanAz_slow.txt,0.0053
20250109S050135.800561E051149.378193,1.2132
20250109S051150.339769E052203.788101,1.1424
20250109S052204.743753E053218.196103,1.4070
20250109S053219.153354E054232.602800,1.1392
20250109S054233.558548E055247.007197,1.1929
20250109S055247.969567E055635.490355,1.1758
read results/20250120_170134_scanAz_slow.txt,0.0054
20250120S170135.998543E171149.573200,1.3288
20250120S171150.537145E172203.984489,1.1826
20250120S172204.941445E173218.388883,1.1524
20250120S173219.354063E174232.798356,1.2698
20250120S174233.761692E175247.207870,1.1722
20250120S175248.170954E175635.688175,1.2286
read results/20250119_180135_scanAz_slow.txt,0.0054
20250119S180136.153934E181149.703391,1.1637
20250119S181150.662467E182204.114800,1.1540
20250119S182205.073906E183218.520542,1.1573
20250119S183219.483592E184232.930860,1.2187
20250119S184233.889312E185247.337177,1.2784
20250119S185248.294800E185635.818086,1.1416
read results/20250119_010135_scanAz_slow.txt,0.0054
20250119S010136.579725E011150.132277,1.1354
20250119S011151.088368E012204.538523,1.2169
20250119S012205.495480E013218.947585,1.1785
20250119S013219.904562E014233.352296,1.1575
20250119S014234.314983E015247.761883,1.1450
20250119S015248.719514E015636.243463,1.3878
read results/20250121_060135_scanAz_slow.txt,0.0054
20250121S060136.137025E061149.718551,1.2470
20250121S061150.674353E062204.123427,1.2447
20250121S062205.085146E063218.531077,1.1486
20250121S063219.494188E064232.938534,1.3459
20250121S064233.900104E065247.347624,1.2494
20250121S065248.309911E065635.830222,1.2593
read results/20250128_130134_scanAz_slow.txt,0.0077
20250128S130135.413645E131148.965541,1.3493
20250128S131149.921975E132203.372400,1.1992
20250128S132204.335323E133217.782191,1.1387
20250128S133218.740015E134232.186379,1.1179
20250128S134233.146564E135246.595091,1.1983
20250128S135247.554205E135635.080695,1.2466
read results/20250113_050134_scanAz_slow.txt,0.0054
20250113S050135.833161E051149.407704,1.1653
20250113S051150.368525E052203.818120,1.2064
20250113S052204.774551E053218.225558,1.2105
20250113S053219.182278E054232.632437,1.1452
20250113S054233.594618E055247.042099,1.2395
20250113S055247.998391E055635.521234,1.1693
read results/20250107_110135_scanAz_slow.txt,0.0053
20250107S110136.517541E111150.066683,1.1568
20250107S111151.029153E112204.479702,1.1610
20250107S112205.437227E113218.885699,1.1345
