TIME,take TIME (seconds)
read results/20250101_010135_scanAz_slow.txt,0.0204
20250101T010136.531267,0.5473
20250101T010137.592410,0.5088
20250101T010138.552774,0.6005
20250101T010139.513093,0.5483
20250101T010140.473619,0.5200
20250101T010141.434115,0.5733
20250101T010142.394270,0.6022
20250101T010143.355159,0.6370
20250101T010144.311045,1.0230
20250101T010145.272953,0.8430
20250101T010146.233995,0.7509
20250101T010147.191706,0.7065
20250101T010148.153605,0.7623
20250101T010149.114722,0.7491
20250101T010150.069942,0.7017
20250101T010151.031321,0.6779
20250101T010151.993550,0.7162
20250101T010152.954881,0.7024
20250101T010153.910534,0.6503
20250101T010154.871799,0.8142
20250101T010155.833775,0.8270
20250101T010156.795119,0.7647
20250101T010157.750924,0.7869
20250101T010158.712901,0.7659
20250101T010159.674230,0.8057
20250101T010200.630207,0.7171
20250101T010201.592454,0.6191
20250101T010202.554090,0.7226
20250101T010203.515500,0.7089
20250101T010204.471423,0.7033
20250101T010205.432987,0.7005
20250101T010206.395233,0.7414
20250101T010207.351154,0.8032
20250101T010208.313109,0.5978
20250101T010209.274217,0.7002
20250101T010210.231038,0.7163
20250101T010211.193352,0.6292
20250101T010212.154726,0.5799
20250101T010213.110242,0.7353
20250101T010214.072396,0.6468
20250101T010215.033765,0.6777
20250101T010215.995151,0.6083
20250101T010216.950721,0.6924
20250101T010217.913259,0.7801
20250101T010218.874303,0.6108
20250101T010219.835348,0.7313
20250101T010220.791093,0.6310
20250101T010221.753382,0.5952
20250101T010222.710251,0.5786
20250101T010223.673616,0.6701
20250101T010224.634964,0.6498
20250101T010225.590580,0.6789
20250101T010226.552256,0.6167
20250101T010227.513688,0.6065
20250101T010228.475021,0.5833
20250101T010229.431184,0.5949
20250101T010230.392596,0.6817
20250101T010231.354359,0.6603
20250101T010232.315722,0.6137
20250101T010233.271623,0.6270
20250101T010234.232678,0.6152
20250101T010235.194370,0.5987
20250101T010236.155471,0.6167
20250101T010237.111976,0.6676
20250101T010238.073702,0.6691
20250101T010239.035668,0.6346
20250101T010239.992890,0.6196
20250101T010240.954984,0.6353
20250101T010241.911918,0.6097
20250101T010242.874376,0.6149
20250101T010243.836234,0.6115
20250101T010244.793670,0.6300
20250101T010245.750110,0.6112
20250101T010246.713007,0.6297
20250101T010247.675208,0.6300
20250101T010248.632306,0.6030
20250101T010249.594552,0.6455
20250101T010250.551404,0.6178
20250101T010251.513550,0.6447
20250101T010252.475458,0.6725
20250101T010253.432516,0.6001
20250101T010254.394755,0.6049
20250101T010255.350890,0.6590
20250101T010256.315211,0.6379
20250101T010257.272911,0.6498
20250101T010258.235117,0.6369
20250101T010259.191595,0.6442
20250101T010300.154385,0.6795
